# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.151
metadata : {}


# id : NWRW1800000025.151.1.1
[인천/부천]‘갯벌 생태계 보호’ 올해 10억원 투입

[인천/부천]‘갯벌	[/SS+인천/NNP+//SP+부천/NNP+]/SS+‘/SS+갯벌/NNG
생태계	생태/NNG+계/XSN
보호’	보호/NNG+’/SS
올해	올해/NNG
10억원	10/SN+억/NR+원/NNB
투입	투입/NNG


# id : NWRW1800000025.151.2.1
인천 앞바다 갯벌과 시내 해양보호구역 3곳에 대한 체계적인 관리방안이 만들어진다.

인천	인천/NNP
앞바다	앞바다/NNG
갯벌과	갯벌/NNG+과/JC
시내	시내/NNG
해양보호구역	해양/NNG+보호/NNG+구역/NNG
3곳에	3/SN+곳/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
관리방안이	관리/NNG+방안/NNG+이/JKS
만들어진다.	만들/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.151.2.2
31일 인천시에 따르면 송도 갯벌 등 시내 해양보호구역 3곳 130km²의 체계적인 생태계 보전을 위한 관리방안을 마련해 시행할 계획이다.

31일	31/SN+일/NNB
인천시에	인천시/NNP+에/JKB
따르면	따르/VV+면/EC
송도	송도/NNP
갯벌	갯벌/NNG
등	등/NNB
시내	시내/NNG
해양보호구역	해양/NNG+보호/NNG+구역/NNG
3곳	3/SN+곳/NNG
130km²의	130/SN+km²/SW+의/JKG
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
생태계	생태/NNG+계/XSN
보전을	보전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
관리방안을	관리/NNG+방안/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
시행할	시행/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.151.2.3
이번에 관리방안이 수립되는 곳은 생태계보전지역인 옹진군 대이작도(55.7km²)와 습지보호구역인 옹진군 장봉도(68.4km²), 연수구 송도 갯벌(6.11km²) 등 3곳이다.

이번에	이번/NNG+에/JKB
관리방안이	관리/NNG+방안/NNG+이/JKS
수립되는	수립/NNG+되/XSV+는/ETM
곳은	곳/NNG+은/JX
생태계보전지역인	생태/NNG+계/XSN+보전/NNG+지역/NNG+이/VCP+ㄴ/ETM
옹진군	옹진군/NNP
대이작도(55.7km²)와	대이작도/NNP+(/SS+55/SN+./SP+7/SN+km²/SW+)/SS+와/JC
습지보호구역인	습지/NNG+보호/NNG+구역/NNG+이/VCP+ㄴ/ETM
장봉도(68.4km²),	장봉도/NNP+(/SS+68/SN+./SP+4/SN+km²/SW+)/SS+,/SP
연수구	연수구/NNP
송도	송도/NNP
갯벌(6.11km²)	갯벌/NNG+(/SS+6/SN+./SP+11/SN+km²/SW+)/SS
등	등/NNB
