# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.351
metadata : {}


# id : NWRW1800000026.351.1.1
[2010 대한민국 뉴 웨이브 문학상] '2010 뉴웨이브 문학상' 당선자 김장환;"기억과 망각… 어느쪽이 더 행복할까"

[2010	[/SS+2010/SN
대한민국	대한민국/NNP
뉴	뉴/NNG
웨이브	웨이브/NNG
문학상]	문학상/NNG+]/SS
'2010	'/SS+2010/SN
뉴웨이브	뉴/NNG+웨이브/NNG
문학상'	문학상/NNG+'/SS
당선자	당선자/NNG
김장환;"기억과	김장환/NNP+;/SP+"/SS+기억/NNG+과/JC
망각…	망각/NNG+…/SE
어느쪽이	어느/MMD+쪽/NNB+이/JKS
더	더/MAG
행복할까"	행복/NNG+하/XSA+ㄹ까/EF+"/SS


# id : NWRW1800000026.351.2.1
인간의 뇌가 지닌 정보를 사이버 공간에 다운로드하는 방식으로 영생(永生)을 얻는 것이 가능해진 미래 사회를 배경으로 삶과 죽음과 사랑의 의미를 탐색했습니다.

인간의	인간/NNG+의/JKG
뇌가	뇌/NNG+가/JKS
지닌	지니/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
사이버	사이버/NNG
공간에	공간/NNG+에/JKB
다운로드하는	다운로드/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
영생(永生)을	영생/NNG+(/SS+永生/SH+)/SS+을/JKO
얻는	얻/VV+는/ETM
것이	것/NNB+이/JKS
가능해진	가능/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
미래	미래/NNG
사회를	사회/NNG+를/JKO
배경으로	배경/NNG+으로/JKB
삶과	삶/NNG+과/JC
죽음과	죽음/NNG+과/JC
사랑의	사랑/NNG+의/JKG
의미를	의미/NNG+를/JKO
탐색했습니다.	탐색/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.351.3.1
2010 대한민국 뉴웨이브 문학상을 받은 김장환(48)씨의 장편 '욘더'(YONDER)는 독특하고도 참신한 상상력이 돋보이는 작품이다.

2010	2010/SN
대한민국	대한민국/NNP
뉴웨이브	뉴/NNG+웨이브/NNG
문학상을	문학상/NNG+을/JKO
받은	받/VV+은/ETM
김장환(48)씨의	김장환/NNP+(/SS+48/SN+)/SS+씨/NNB+의/JKG
장편	장편/NNG
'욘더'(YONDER)는	'/SS+욘더/NNG+'/SS+(/SS+YONDER/SL+)/SS+는/JX
독특하고도	독특/NNG+하/XSA+고/EC+도/JX
참신한	참신하/VA+ㄴ/ETM
상상력이	상상력/NNG+이/JKS
돋보이는	돋보이/VV+는/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.351.3.2
김씨는 그간 당선 계보를 이어온 팩션(faction)을 밀어내고 과학소설(SF)과 로맨스를 결합한 작품으로 수상의 영예와 등단의 기쁨을 함께 안았다.

김씨는	김/NNP+씨/NNB+는/JX
그간	그/NP+간/XSN
당선	당선/NNG
계보를	계보/NNG+를/JKO
이어온	잇/VV+어/EC+오/VX+ㄴ/ETM
팩션(faction)을	팩션/NNG+(/SS+faction/SL+)/SS+을/JKO
밀어내고	밀어내/VV+고/EC
과학소설(SF)과	과학/NNG+소설/NNG+(/SS+SF/SL+)/SS+과/JC
로맨스를	로맨스/NNG+를/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
작품으로	작품/NNG+으로/JKB
수상의	수상/NNG+의/JKG
영예와	영예/NNG+와/JC
등단의	등단/NNG+의/JKG
기쁨을	기쁨/NNG+을/JKO
함께	함께/MAG
안았다.	안/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.351.3.3
암으로 세상을 떠난 아내를 잊지 못해 그녀의 기억이 저장된 사이버 공간의 인공천국 '욘더'로 들어가는 남자의 지극한 사랑이 감성을 자극하고, 물리적 공간과 사이버 스페이스가 혼재하는 미래의 현실 공간에서 벌어지는 기기묘묘한 풍경들과 작가의 머리에서 탄생한 각종 첨단 장비들은 미래 세계에 대한 호기심과 상상력을 자극한다.

암으로	암/NNG+으로/JKB
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
아내를	아내/NNG+를/JKO
잊지	잊/VV+지/EC
못해	못하/VX+아/EC
그녀의	그녀/NP+의/JKG
기억이	기억/NNG+이/JKS
저장된	저장/NNG+되/XSV+ㄴ/ETM
사이버	사이버/NNG
공간의	공간/NNG+의/JKG
인공천국	인공/NNG+천국/NNG
'욘더'로	'/SS+욘더/NNG+'/SS+로/JKB
들어가는	들어가/VV+는/ETM
남자의	남자/NNG+의/JKG
지극한	지극하/VA+ㄴ/ETM
사랑이	사랑/NNG+이/JKS
감성을	감성/NNG+을/JKO
자극하고,	자극/NNG+하/XSV+고/EC+,/SP
물리적	물리/NNG+적/XSN
공간과	공간/NNG+과/JC
스페이스가	스페이스/NNG+가/JKS
혼재하는	혼재/NNG+하/XSV+는/ETM
미래의	미래/NNG+의/JKG
현실	현실/NNG
공간에서	공간/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
기기묘묘한	기기묘묘하/VA+ㄴ/ETM
풍경들과	풍경/NNG+들/XSN+과/JC
작가의	작가/NNG+의/JKG
머리에서	머리/NNG+에서/JKB
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
각종	각종/NNG
첨단	첨단/NNG
장비들은	장비/NNG+들/XSN+은/JX
미래	미래/NNG
세계에	세계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
호기심과	호기심/NNG+과/JC
상상력을	상상력/NNG+을/JKO
자극한다.	자극/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.351.4.1
철학을 전공한 작가는 이 소설의 테마인 영생과 죽음에 대해 신화와 종교·철학을 아우르는 지적인 성찰의 세계를 보여준다.

철학을	철학/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
작가는	작가/NNG+는/JX
이	이/MMD
소설의	소설/NNG+의/JKG
테마인	테마/NNG+이/VCP+ㄴ/ETM
영생과	영생/NNG+과/JC
죽음에	죽음/NNG+에/JKB
대해	대하/VV+아/EC
신화와	신화/NNG+와/JC
종교·철학을	종교/NNG+·/SP+철학/NNG+을/JKO
아우르는	아우르/VV+는/ETM
지적인	지/NNG+적/XSN+이/VCP+ㄴ/ETM
성찰의	성찰/NNG+의/JKG
세계를	세계/NNG+를/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.351.4.2
뉴질랜드의 오클랜드에 거주하는 김장환씨가 수상 인터뷰를 위해 태평양을 수직으로 가로질러 왔다.

뉴질랜드의	뉴질랜드/NNP+의/JKG
오클랜드에	오클랜드/NNP+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
김장환씨가	김장환/NNP+씨/NNB+가/JKS
수상	수상/NNG
인터뷰를	인터뷰/NNG+를/JKO
위해	위하/VV+아/EC
태평양을	태평양/NNP+을/JKO
수직으로	수직/NNG+으로/JKB
가로질러	가로지르/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.351.5.1
―수상을 기대했는가.

―수상을	―/SS+수상/NNG+을/JKO
기대했는가.	기대/NNG+하/XSV+았/EP+는가/EF+./SF


# id : NWRW1800000026.351.6.1
