# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.379
metadata : {}


# id : NWRW1800000046.379.1.1
최태원(SK그룹 회장) 포함 222만명 광복절 특사

최태원(SK그룹	최태원/NNP+(/SS+SK그룹/NNP
회장)	회장/NNG+)/SS
포함	포함/NNG
222만명	222/SN+만/NR+명/NNB
광복절	광복절/NNG
특사	특사/NNG


# id : NWRW1800000046.379.2.1
경제인은 14명으로 최소화… 김승연·최재원·구본상 제외

경제인은	경제인/NNG+은/JX
14명으로	14/SN+명/NNB+으로/JKB
최소화…	최소/NNG+화/XSN+…/SE
김승연·최재원·구본상	김승연/NNP+·/SP+최재원/NNP+·/SP+구본상/NNP
제외	제외/NNG


# id : NWRW1800000046.379.3.1
정부는 광복 70주년을 맞아 최태원 SK그룹 회장 등 총 6527명을 특별사면, 감형, 복권했다고 13일 발표했다.

정부는	정부/NNG+는/JX
광복	광복/NNG
70주년을	70/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
최태원	최태원/NNP
SK그룹	SK그룹/NNP
회장	회장/NNG
등	등/NNB
총	총/MMA
6527명을	6527/SN+명/NNB+을/JKO
특별사면,	특별/NNG+사면/NNG+,/SP
감형,	감형/NNG+,/SP
복권했다고	복권/NNG+하/XSV+았/EP+다고/EC
13일	13/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.379.3.2
모범수와 서민 생계형 수형자 588명에 대해 가석방이 이뤄졌고, 62명의 모범 소년원생에 대해선 임시 퇴원 조치가 내려졌다.

모범수와	모범수/NNG+와/JC
서민	서민/NNG
생계형	생계/NNG+형/XSN
수형자	수형자/NNG
588명에	588/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
가석방이	가/XPN+석방/NNG+이/JKS
이뤄졌고,	이뤄지/VV+었/EP+고/EC+,/SP
62명의	62/SN+명/NNB+의/JKG
모범	모범/NNG
