# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.347
metadata : {}


# id : NWRW1800000046.347.1.1
여론 악화… 재보선 全敗 위기감에 與도 '李 자진 사퇴' 전방위 압박

여론	여론/NNG
악화…	악화/NNG+…/SE
재보선	재보선/NNG
全敗	全敗/SH
위기감에	위기감/NNG+에/JKB
與도	與/SH+도/JX
'李	'/SS+李/SH
자진	자진/NNG
사퇴'	사퇴/NNG+'/SS
전방위	전방위/NNG
압박	압박/NNG


# id : NWRW1800000046.347.2.1
이완구, 전격 辭意 표명까지

이완구,	이완구/NNP+,/SP
전격	전격/NNG
辭意	辭意/SH
표명까지	표명/NNG+까지/JX


# id : NWRW1800000046.347.3.1
이완구 국무총리가 20일 밤 중남미를 순방 중인 박근혜 대통령에게 사의를 표명한 것은 야권뿐 아니라 여권 내에서도 자신에 대한 '자진 사퇴(辭退) 요구가 좀처럼 수그러들지 않고 계속 확산된 것과 무관치 않다는 지적이다.

이완구	이완구/NNP
국무총리가	국무총리/NNG+가/JKS
20일	20/SN+일/NNB
밤	밤/NNG
중남미를	중남미/NNP+를/JKO
순방	순방/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
박근혜	박근혜/NNP
대통령에게	대통령/NNG+에게/JKB
사의를	사의/NNG+를/JKO
표명한	표명/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
야권뿐	야권/NNG+뿐/JX
아니라	아니/VCN+라/EC
여권	여권/NNG
내에서도	내/NNB+에서/JKB+도/JX
자신에	자신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'자진	'/SS+자진/NNG
사퇴(辭退)	사퇴/NNG+(/SS+辭退/SH+)/SS
요구가	요구/NNG+가/JKS
좀처럼	좀처럼/MAG
수그러들지	수그러들/VV+지/EC
않고	않/VX+고/EC
계속	계속/MAG
확산된	확산/NNG+되/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
무관치	무관하/VA+지/EC
않다는	않/VX+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.347.3.2
지난주까지만 해도 '박근혜 대통령이 중남미 순방에서 돌아오는 27일까지는 일단 지켜보자'는 차단 벽이 쳐져 있었지만 주말을 보내고 나서 여권(與圈)의 기류가 자진 사퇴 불가피 쪽으로 급격히 바뀐 데 영향을 받았다는 것이다.

지난주까지만	지난주/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
'박근혜	'/SS+박근혜/NNP
대통령이	대통령/NNG+이/JKS
중남미	중남미/NNP
순방에서	순방/NNG+에서/JKB
돌아오는	돌아오/VV+는/ETM
27일까지는	27/SN+일/NNB+까지/JX+는/JX
일단	일단/MAG
지켜보자'는	지켜보/VV+자/EF+'/SS+는/ETM
차단	차단/NNG
벽이	벽/NNG+이/JKS
쳐져	치/VV+어/EC+지/VX+어/EC
있었지만	있/VX+었/EP+지만/EC
주말을	주말/NNG+을/JKO
보내고	보내/VV+고/EC
나서	나/VX+아서/EC
여권(與圈)의	여권/NNG+(/SS+與圈/SH+)/SS+의/JKG
기류가	기류/NNG+가/JKS
자진	자진/NNG
사퇴	사퇴/NNG
불가피	불가피/XR
쪽으로	쪽/NNB+으로/JKB
급격히	급격히/MAG
바뀐	바뀌/VV+ㄴ/ETM
데	데/NNB
영향을	영향/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.347.4.1
새누리당 지도부는 공식적으론 "박 대통령 귀국 때까지 일주일만 참아주길 바란다"는 요청을 되풀이했었다.

새누리당	새누리당/NNP
지도부는	지도부/NNG+는/JX
공식적으론	공식/NNG+적/XSN+으로/JKB+ㄴ/JX
"박	"/SS+박/NNP
대통령	대통령/NNG
귀국	귀국/NNG
때까지	때/NNG+까지/JX
일주일만	일주일/NNG+만/JX
참아주길	참/VV+아/EC+주/VX+기/ETN+ㄹ/JKO
바란다"는	바라/VV+ㄴ다/EF+"/SS+는/ETM
요청을	요청/NNG+을/JKO
되풀이했었다.	되풀이/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000046.347.4.2
김무성 대표는 이날 경기 성남 중원 유세를 마친 뒤 기자들과 만나 "(이 총리 거취 문제는) 며칠 지나면 본인과 대통령께서 해결할 거라 생각한다"며 "(대통령의 결단이나 이 총리의 자진 사퇴 가능성) 둘 다 포함되는 것"이라고 했었다.

김무성	김무성/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
경기	경기/NNP
성남	성남/NNP
중원	중원/NNP
유세를	유세/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"(이	"/SS+(/SS+이/NNP
총리	총리/NNG
거취	거취/NNG
문제는)	문제/NNG+는/JX+)/SS
며칠	며칠/NNG
지나면	지나/VV+면/EC
본인과	본인/NNG+과/JC
대통령께서	대통령/NNG+께서/JKS
해결할	해결/NNG+하/XSV+ㄹ/ETM
거라	거/NNB+이/VCP+라/EC
생각한다"며	생각/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"(대통령의	"/SS+(/SS+대통령/NNG+의/JKG
결단이나	결단/NNG+이나/JC
이	이/NNP
총리의	총리/NNG+의/JKG
자진	자진/NNG
사퇴	사퇴/NNG
가능성)	가능/NNG+성/XSN+)/SS
둘	둘/NR
다	다/MAG
포함되는	포함/NNG+되/XSV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000046.347.5.1
그러나 당내 물밑 기류는 달랐다.

그러나	그러나/MAJ
당내	당내/NNG
물밑	물밑/NNG
기류는	기류/NNG+는/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.347.5.2
새누리당 초·재선 의원들 모임인 '아침소리'는 이날 오전 주례 회의를 갖고 "대통령의 개혁 추진에 부담을 주지 않는 국정 2인자의 결단이 필요한 시점이다. 이 총리는 대통령이 귀국하기 전에 거취에 대한 의사를 표명해야 한다"고 결단을 촉구하기도 했다.

새누리당	새누리당/NNP
초·재선	초·재선/NNG
의원들	의원/NNG+들/XSN
모임인	모임/NNG+이/VCP+ㄴ/ETM
'아침소리'는	'/SS+아침소리/NNP+'/SS+는/JX
이날	이날/NNG
오전	오전/NNG
주례	주례/NNG
회의를	회의/NNG+를/JKO
갖고	갖/VV+고/EC
