# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.406
metadata : {}


# id : NWRW1800000026.406.1.1
[더 나은 미래] '착한카드'로기부할 수 있는비영리단체어디 어디 있나?

[더	[/SS+더/MAG
나은	낫/VA+은/ETM
미래]	미래/NNG+]/SS
'착한카드'로기부할	'/SS+착하/VA+ㄴ/ETM+카드/NNG+'/SS+로/JKB+기부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는비영리단체어디	있/VA+는/ETM+비/XPN+영리/NNG+단체/NNG+어디/NP
어디	어디/NP
있나?	있/VA+나/EF+?/SF


# id : NWRW1800000026.406.2.1
위기가정 어린이가 행복하도록

위기가정	위기/NNG+가정/NNG
어린이가	어린이/NNG+가/JKS
행복하도록	행복/NNG+하/XSA+도록/EC


# id : NWRW1800000026.406.3.1
'월드비전 인터내셔널'은 1950년 6·25전쟁 때 고아와 여성을 돕기 위해 만들어졌다.

'월드비전	'/SS+월드비전/NNP
인터내셔널'은	인터내셔널/NNP+'/SS+은/JX
1950년	1950/SN+년/NNB
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
때	때/NNG
고아와	고아/NNG+와/JC
여성을	여성/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.406.3.2
현재 월드비전 인터내셔널은 전 세계 100여 개국에서 4만여명의 직원이 일하는 세계적인 규모의 국제구호개발 NGO가 됐다.

현재	현재/MAG
월드비전	월드비전/NNP
인터내셔널은	인터내셔널/NNP+은/JX
전	전/MMN
세계	세계/NNG
100여	100/SN+여/XSN
개국에서	개국/NNB+에서/JKB
4만여명의	4/SN+만/NR+여/XSN+명/NNB+의/JKG
직원이	직원/NNG+이/JKS
일하는	일/NNG+하/XSV+는/ETM
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
규모의	규모/NNG+의/JKG
국제구호개발	국제/NNG+구호/NNG+개발/NNG
NGO가	NGO/SL+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.406.4.1
한국 월드비전은 1950년부터 월드비전 국제본부의 원조를 받아 일대일 아동결연, 청소년 직업교육 사업을 위한 '직업보도소' 설립, 사회복지관 설립 등의 국내 사업을 실시했다.

한국	한국/NNP
월드비전은	월드비전/NNP+은/JX
1950년부터	1950/SN+년/NNB+부터/JX
월드비전	월드비전/NNP
국제본부의	국제/NNG+본부/NNG+의/JKG
원조를	원조/NNG+를/JKO
받아	받/VV+아/EC
일대일	일대일/NNG
아동결연,	아동/NNG+결연/NNG+,/SP
청소년	청소년/NNG
직업교육	직업/NNG+교육/NNG
사업을	사업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
'직업보도소'	'/SS+직업/NNG+보도소/NNG+'/SS
설립,	설립/NNG+,/SP
사회복지관	사회/NNG+복지관/NNG
설립	설립/NNG
등의	등/NNB+의/JKG
국내	국내/NNG
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.406.4.2
한국 월드비전이 국제본부를 통해 받아온 해외원조를 중단하고 경제적으로 자립한 것은 1991년이었다.

한국	한국/NNP
월드비전이	월드비전/NNP+이/JKS
국제본부를	국제/NNG+본부/NNG+를/JKO
통해	통하/VV+아/EC
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
해외원조를	해외/NNG+원조/NNG+를/JKO
중단하고	중단/NNG+하/XSV+고/EC
경제적으로	경제/NNG+적/XSN+으로/JKB
자립한	자립/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
1991년이었다.	1991/SN+년/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.406.4.3
이후에는 국내 사업뿐만 아니라 해외사업, 북한사업을 수행해왔다

이후에는	이후/NNG+에/JKB+는/JX
국내	국내/NNG
사업뿐만	사업/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
해외사업,	해외/NNG+사업/NNG+,/SP
북한사업을	북한/NNP+사업/NNG+을/JKO
수행해왔다	수행/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF


# id : NWRW1800000026.406.5.1
올해로 60주년을 맞은 한국 월드비전은 전 세계 47개국 288개 사업장에서 지역개발사업, 에이즈 예방사업, 아동노동예방사업 등을 펼치고 있다.

올해로	올해/NNG+로/JKB
60주년을	60/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
한국	한국/NNP
월드비전은	월드비전/NNP+은/JX
전	전/MMN
세계	세계/NNG
47개국	47/SN+개국/NNB
288개	288/SN+개/NNB
