# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.354
metadata : {}


# id : NWRW1800000032.354.1.1
민주 “정동기<감사원장 후보> 가족 예금, 소득보다 1억9천만원 많아”

민주	민주/NNP
“정동기<감사원장	“/SS+정동기/NNP+</SS+감사원장/NNG
후보>	후보/NNG+>/SS
가족	가족/NNG
예금,	예금/NNG+,/SP
소득보다	소득/NNG+보다/JKB
1억9천만원	1/SN+억/NR+9/SN+천만/NR+원/NNB
많아”	많/VA+아/EF+”/SS


# id : NWRW1800000032.354.2.1
“2007~10년 소득 5억2천만…예금은 7억1천만 늘어”

“2007~10년	“/SS+2007/SN+~/SO+10/SN+년/NNB
소득	소득/NNG
5억2천만…예금은	5/SN+억/NR+2/SN+천만/NR+…/SE+예금/NNG+은/JX
7억1천만	7/SN+억/NR+1/SN+천만/NR
늘어”	늘/VV+어/EF+”/SS


# id : NWRW1800000032.354.3.1
감사원장 인사청문특위 소속 민주당 의원들은 9일 공동 보도자료를 내어 “정동기 감사원장 후보자의 2007~2010년 소득 자료를 보면 총소득 가운데 지출 등을 뺀 순수한 소득 증가는 5억2000만원인데 예금증가는 7억1000만원에 달한다”며 “1억9000만원의 출처가 불분명하다”고 밝혔다.

감사원장	감사원장/NNG
인사청문특위	인사/NNG+청문/NNG+특위/NNG
소속	소속/NNG
민주당	민주당/NNP
의원들은	의원/NNG+들/XSN+은/JX
9일	9/SN+일/NNB
공동	공동/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“정동기	“/SS+정동기/NNP
후보자의	후보자/NNG+의/JKG
2007~2010년	2007/SN+~/SO+2010/SN+년/NNB
소득	소득/NNG
자료를	자료/NNG+를/JKO
보면	보/VV+면/EC
총소득	총소득/NNG
가운데	가운데/NNG
지출	지출/NNG
등을	등/NNB+을/JKO
뺀	빼/VV+ㄴ/ETM
순수한	순수/NNG+하/XSA+ㄴ/ETM
증가는	증가/NNG+는/JX
5억2000만원인데	5/SN+억/NR+2000/SN+만/NR+원/NNB+이/VCP+ㄴ데/EC
예금증가는	예금/NNG+증가/NNG+는/JX
7억1000만원에	7/SN+억/NR+1000/SN+만/NR+원/NNB+에/JKB
달한다”며	달하/VV+ㄴ다/EF+”/SS+며/EC
“1억9000만원의	“/SS+1/SN+억/NR+9000/SN+만/NR+원/NNB+의/JKG
출처가	출처/NNG+가/JKS
불분명하다”고	불분명하/VA+다/EF+”/SS+고/JKQ
