# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.71
metadata : {}


# id : NWRW1800000049.71.1.1
[2016 한국 시니어산업 대상]시니어 환자들에게 최상의 임플란트 선물

[2016	[/SS+2016/SN
한국	한국/NNP
시니어산업	시니어/NNG+산업/NNG
대상]시니어	대상/NNG+]/SS+시니어/NNG
환자들에게	환자/NNG+들/XSN+에게/JKB
최상의	최상/NNG+의/JKG
임플란트	임플란트/NNG
선물	선물/NNG


# id : NWRW1800000049.71.2.1
임플란트 중점병원 부문 안양연합치과의원

임플란트	임플란트/NNG
중점병원	중점/NNG+병원/NNG
부문	부문/NNG
안양연합치과의원	안양연합치과의원/NNP


# id : NWRW1800000049.71.3.1
안양연합치과의원(대표원장 권태규)이 ‘2016 한국 시니어산업 대상’의 임플란트 중점병원 부문 대상을 수상했다.

안양연합치과의원(대표원장	안양연합치과의원/NNP+(/SS+대표/NNG+원장/NNG
권태규)이	권태규/NNP+)/SS+이/JKS
‘2016	‘/SS+2016/SN
한국	한국/NNP
시니어산업	시니어/NNG+산업/NNG
대상’의	대상/NNG+’/SS+의/JKG
임플란트	임플란트/NNG
중점병원	중점/NNG+병원/NNG
부문	부문/NNG
대상을	대상/NNG+을/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.71.4.1
안양연합치과의원은 국내 임플란트 시술 1세대로서 20년 이상의 넓고 깊은 경륜을 자랑하는 권태규 대표원장 이하 전문 의료진의 사명감과 최첨단 디지털 장비 시스템을 바탕으로 시니어 환자들에게 최상의 임플란트를 선사하고 있다.

안양연합치과의원은	안양연합치과의원/NNP+은/JX
국내	국내/NNG
임플란트	임플란트/NNG
시술	시술/NNG
1세대로서	1/SN+세대/NNG+로서/JKB
20년	20/SN+년/NNB
이상의	이상/NNG+의/JKG
넓고	넓/VA+고/EC
깊은	깊/VA+은/ETM
경륜을	경륜/NNG+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
권태규	권태규/NNP
대표원장	대표/NNG+원장/NNG
이하	이하/NNG
전문	전문/NNG
의료진의	의료진/NNG+의/JKG
사명감과	사명감/NNG+과/JC
최첨단	최/XPN+첨단/NNG
디지털	디지털/NNG
장비	장비/NNG
시스템을	시스템/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
시니어	시니어/NNG
환자들에게	환자/NNG+들/XSN+에게/JKB
최상의	최상/NNG+의/JKG
임플란트를	임플란트/NNG+를/JKO
선사하고	선사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.71.4.2
미국 베이어 치과대학 치주과와 서울대학교 치의학대학원 턱교정 및 외과를 수료한 권 원장은 국내에 임플란트가 처음 도입된 당시부터 세계적인 수준에 도달한 현재에 이르기까지 임플란트의 발전상을 가장 가까이에서 지켜봐 왔다.

미국	미국/NNP
베이어	베이어/NNP
치과대학	치과/NNG+대학/NNG
치주과와	치주과/NNG+와/JC
서울대학교	서울대학교/NNP
치의학대학원	치의학/NNG+대학원/NNG
턱교정	턱/NNG+교정/NNG
및	및/MAG
외과를	외과/NNG+를/JKO
수료한	수료/NNG+하/XSV+ㄴ/ETM
권	권/NNP
원장은	원장/NNG+은/JX
국내에	국내/NNG+에/JKB
임플란트가	임플란트/NNG+가/JKS
처음	처음/NNG
도입된	도입/NNG+되/XSV+ㄴ/ETM
당시부터	당시/NNG+부터/JX
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
수준에	수준/NNG+에/JKB
도달한	도달/NNG+하/XSV+ㄴ/ETM
현재에	현재/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
임플란트의	임플란트/NNG+의/JKG
발전상을	발전상/NNG+을/JKO
가장	가장/MAG
가까이에서	가까이/NNG+에서/JKB
