# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.366
metadata : {}


# id : NWRW1800000054.366.1.1
"美中, 빅딜도 좋지만 韓日과 대화를" "시진핑, 상상 이상의 방법 쓸 수도"

"美中,	"/SS+美中/SH+,/SP
빅딜도	빅딜/NNG+도/JX
좋지만	좋/VA+지만/EC
韓日과	韓日/SH+과/JKB
대화를"	대화/NNG+를/JKO+"/SS
"시진핑,	"/SS+시진핑/NNP+,/SP
상상	상상/NNG
이상의	이상/NNG+의/JKG
방법	방법/NNG
쓸	쓰/VV+ㄹ/ETM
수도"	수/NNB+도/JX+"/SS


# id : NWRW1800000054.366.2.1
북핵 해결 놓고도 뜨거운 토론

북핵	북핵/NNG
해결	해결/NNG
놓고도	놓/VV+고/EC+도/JX
뜨거운	뜨겁/VA+ㄴ/ETM
토론	토론/NNG


# id : NWRW1800000054.366.3.1
2017 한·중·일 협력 국제포럼에서는 3국 갈등을 해소하고 협력을 촉진할 다양한 방안이 제시됐다.

2017	2017/SN
한·중·일	한·중·일/NNP
협력	협력/NNG
국제포럼에서는	국제/NNG+포럼/NNG+에서/JKB+는/JX
3국	3국/NNG
갈등을	갈등/NNG+을/JKO
해소하고	해소/NNG+하/XSV+고/EC
협력을	협력/NNG+을/JKO
촉진할	촉진/NNG+하/XSV+ㄹ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
방안이	방안/NNG+이/JKS
제시됐다.	제시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.366.3.2
특히 안보 이슈 해소를 위한 '중국의 역할'을 강조하는 목소리가 많았다.

특히	특히/MAG
안보	안보/NNG
이슈	이슈/NNG
해소를	해소/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
'중국의	'/SS+중국/NNP+의/JKG
역할'을	역할/NNG+'/SS+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
목소리가	목소리/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.366.4.1
소에야 요시히데 일본 게이오대 법학부 교수는 "북한 김정은보다 미국 트럼프 대통령이 더 예측 불가"라며 "이럴 때일수록 지역 내 강대국의 역할이 중요해진다"고 했다.

소에야	소에야/NNP
요시히데	요시히데/NNP
일본	일본/NNP
게이오대	게이오대/NNP
법학부	법학부/NNG
교수는	교수/NNG+는/JX
"북한	"/SS+북한/NNP
김정은보다	김정은/NNP+보다/JKB
미국	미국/NNP
