# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.201
metadata : {}


# id : NWRW1800000026.201.1.1
[차이나 마켓 리포트] 중국 시장에서성공한 기업들_아모레퍼시픽;'라네즈' 아시아 브랜드화… 중국 여심 사로잡아

[차이나	[/SS+차이나/NNP
마켓	마켓/NNG
리포트]	리포트/NNG+]/SS
중국	중국/NNP
시장에서성공한	시장/NNG+에서/JKB+성공/NNG+하/XSV+ㄴ/ETM
기업들_아모레퍼시픽;'라네즈'	기업/NNG+들/XSN+_/SW+아모레퍼시픽/NNP+;/SW+'/SS+라네즈/NNP+'/SS
아시아	아시아/NNP
브랜드화…	브랜드/NNG+화/XSN+…/SE
여심	여심/NNG
사로잡아	사로잡/VV+아/EF


# id : NWRW1800000026.201.2.1
아모레퍼시픽은 세계 금융위기의 영향에도 불구하고 지난해 중국 시장에서 55%의 높은 성장을 기록하며, 한국의 미(美)로 중국의 여심을 사로잡는 데 성공했다.

아모레퍼시픽은	아모레퍼시픽/NNP+은/JX
세계	세계/NNG
금융위기의	금융/NNG+위기/NNG+의/JKG
영향에도	영향/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
지난해	지난해/NNG
중국	중국/NNP
시장에서	시장/NNG+에서/JKB
55%의	55/SN+%/SW+의/JKG
높은	높/VA+은/ETM
성장을	성장/NNG+을/JKO
기록하며,	기록/NNG+하/XSV+며/EC+,/SP
한국의	한국/NNP+의/JKG
미(美)로	미/NNG+(/SS+美/SH+)/SS+로/JKB
중국의	중국/NNP+의/JKG
여심을	여심/NNG+을/JKO
사로잡는	사로잡/VV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.201.2.2
글로벌 브랜드의 공세가 치열한 중국 시장에서 아모레퍼시픽이 이런 성공을 거둘수 있었던 비결은 '프리미엄전략'이다.

글로벌	글로벌/NNG
브랜드의	브랜드/NNG+의/JKG
공세가	공세/NNG+가/JKS
