# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.62
metadata : {}


# id : NWRW1800000038.62.1.1
[디자인 TALK] 가전, 꽃무늬 벗고 순백으로 돌아왔다

[디자인	[/SS+디자인/NNG
TALK]	TALK/SL+]/SS
가전,	가전/NNG+,/SP
꽃무늬	꽃무늬/NNG
벗고	벗/VV+고/EC
순백으로	순백/NNG+으로/JKB
돌아왔다	돌아오/VV+았/EP+다/EF


# id : NWRW1800000038.62.2.1
올 초 결혼을 앞둔 가구 디자이너 A씨는 최근 혼수로 마련할 가전제품을 알아보다 적잖이 놀랐다고 한다.

올	올/NNG
초	초/NNB
결혼을	결혼/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
가구	가구/NNG
디자이너	디자이너/NNG
A씨는	A/SL+씨/NNB+는/JX
최근	최근/MAG
혼수로	혼수/NNG+로/JKB
마련할	마련/NNG+하/XSV+ㄹ/ETM
가전제품을	가전제품/NNG+을/JKO
알아보다	알아보/VV+다/EC
적잖이	적잖이/MAG
놀랐다고	놀라/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.62.2.2
4~5년 전까지만 해도 가뭄에 콩 나듯 드물었던 순백(純白)의 가전제품들이 눈에 띄게 확 늘었기 때문.

4~5년	4/SN+~/SO+5/SN+년/NNB
전까지만	전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
가뭄에	가뭄/NNG+에/JKB
콩	콩/NNG
나듯	나/VV+듯/EC
드물었던	드물/VA+었/EP+던/ETM
순백(純白)의	순백/NNG+(/SS+純白/SH+)/SS+의/JKG
가전제품들이	가전제품/NNG+들/XSN+이/JKS
눈에	눈/NNG+에/JKB
띄게	띄/VV+게/EC
확	확/MAG
늘었기	늘/VV+었/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000038.62.2.3
화려한 문양과 튀는 색상의 디자인은 대부분 사라지고, 아무 무늬 없는 깔끔하고 모던한 백색 제품이 대부분이었다.

화려한	화려하/VA+ㄴ/ETM
문양과	문양/NNG+과/JC
튀는	튀/VV+는/ETM
색상의	색상/NNG+의/JKG
디자인은	디자인/NNG+은/JX
대부분	대/XPN+부분/NNG
사라지고,	사라지/VV+고/EC+,/SP
아무	아무/MMD
무늬	무늬/NNG
없는	없/VA+는/ETM
깔끔하고	깔끔/NNG+하/XSA+고/EC
모던한	모던/NNG+하/XSA+ㄴ/ETM
백색	백색/NNG
제품이	제품/NNG+이/JKS
대부분이었다.	대/XPN+부분/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.62.2.4
"몇년 전 결혼한 친구는 울며 겨자 먹기로 와인색 꽃무늬 냉장고를 사갔다는데 이제는 트렌드가 확 달라졌더라고요.

"몇년	"/SS+몇/NR+년/NNB
전	전/NNG
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
친구는	친구/NNG+는/JX
울며	울/VV+며/EC
겨자	겨자/NNG
먹기로	먹/VV+기/ETN+로/JKB
와인색	와인색/NNG
꽃무늬	꽃무늬/NNG
냉장고를	냉장고/NNG+를/JKO
사갔다는데	사/VV+아/EC+가/VX+았/EP+다는데/EC
이제는	이제/NNG+는/JX
트렌드가	트렌드/NNG+가/JKS
확	확/MAG
달라졌더라고요.	달라지/VV+었/EP+더라고/EF+요/JX+./SF


# id : NWRW1800000038.62.2.5
우리나라 가전제품도 서구처럼 깔끔한 기본 스타일로 회귀하는 것 아닌가 싶어요."

우리나라	우리나라/NNG
가전제품도	가전제품/NNG+도/JX
서구처럼	서구/NNG+처럼/JKB
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
기본	기본/NNG
스타일로	스타일/NNG+로/JKB
회귀하는	회귀/NNG+하/XSV+는/ETM
것	것/NNB
아닌가	아니/VCN+ㄴ가/EF
싶어요."	싶/VX+어요/EF+./SF+"/SS


# id : NWRW1800000038.62.3.1
민무늬 흰색 냉장고, 흰색 김치냉장고, 흰색 에어컨, 흰색 세탁기….

민무늬	민무늬/NNG
흰색	흰색/NNG
냉장고,	냉장고/NNG+,/SP
김치냉장고,	김치냉장고/NNG+,/SP
에어컨,	에어컨/NNG+,/SP
세탁기….	세탁기/NNG+…/SE+./SF


# id : NWRW1800000038.62.3.2
불과 얼마 전까지만 해도 화려한 꽃무늬 일색이던 국내 가전제품이 바뀌고 있다.

불과	불과/MAG
얼마	얼마/NNG
전까지만	전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
화려한	화려하/VA+ㄴ/ETM
꽃무늬	꽃무늬/NNG
일색이던	일색/NNG+이/VCP+던/ETM
국내	국내/NNG
가전제품이	가전제품/NNG+이/JKS
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.62.3.3
단순하고 하얀, 모서리를 둥글게 한 디자인 제품이 쏟아져 나오고 있는 것.

단순하고	단순/NNG+하/XSA+고/EC
하얀,	하얗/VA+ㄴ/ETM+,/SP
모서리를	모서리/NNG+를/JKO
둥글게	둥글/VA+게/EC
한	하/VX+ㄴ/ETM
디자인	디자인/NNG
제품이	제품/NNG+이/JKS
쏟아져	쏟아지/VV+어/EC
나오고	나오/VV+고/EC
있는	있/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000038.62.3.4
1970년대 디자인을 연상시키는 흰색 민무늬 기본형 냉장고도 등장하고 있다.

1970년대	1970/SN+년대/NNB
디자인을	디자인/NNG+을/JKO
연상시키는	연상/NNG+시키/XSV+는/ETM
흰색	흰색/NNG
민무늬	민무늬/NNG
기본형	기본/NNG+형/XSN
냉장고도	냉장고/NNG+도/JX
등장하고	등장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.62.4.1
한 국내 대기업이 최근 내놓은 냉장고 모델만 봐도 이런 트렌드가 확연하다.

한	한/MMN
국내	국내/NNG
대기업이	대/XPN+기업/NNG+이/JKS
최근	최근/MAG
내놓은	내놓/VV+은/ETM
냉장고	냉장고/NNG
모델만	모델/NNG+만/JX
봐도	보/VV+아도/EC
이런	이런/MMD
트렌드가	트렌드/NNG+가/JKS
확연하다.	확연하/VA+다/EF+./SF


# id : NWRW1800000038.62.4.2
최근 이 회사가 출시한 냉장고 모델 96개 중 흰색 제품이 절반 가까운 42개나 되고, 이 중 30여개는 아예 무늬가 하나도 없다.

최근	최근/MAG
이	이/NP
회사가	회사/NNG+가/JKS
출시한	출시/NNG+하/XSV+ㄴ/ETM
냉장고	냉장고/NNG
모델	모델/NNG
96개	96/SN+개/NNB
중	중/NNB
흰색	흰색/NNG
제품이	제품/NNG+이/JKS
절반	절반/NNG
가까운	가깝/VA+ㄴ/ETM
42개나	42/SN+개/NNB+나/JX
되고,	되/VV+고/EC+,/SP
30여개는	30/SN+여/XSN+개/NNB+는/JX
아예	아예/MAG
무늬가	무늬/NNG+가/JKS
하나도	하나/NR+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.62.4.3
반면 수년 전 인기 모델이었던 와인색·빨간색 등 유채색 모델은 3개뿐이다.

반면	반면/NNG
수년	수년/NNG
전	전/NNG
인기	인기/NNG
모델이었던	모델/NNG+이/VCP+었/EP+던/ETM
와인색·빨간색	와인색/NNG+·/SP+빨간색/NNG
등	등/NNB
유채색	유채색/NNG
모델은	모델/NNG+은/JX
3개뿐이다.	3/SN+개/NNB+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000038.62.4.4
김치냉장고와 세탁기, 에어컨 등도 절반 이상이 흰색이다.

김치냉장고와	김치냉장고/NNG+와/JC
세탁기,	세탁기/NNG+,/SP
에어컨	에어컨/NNG
등도	등/NNB+도/JX
절반	절반/NNG
이상이	이상/NNG+이/JKS
흰색이다.	흰색/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.62.4.5
다른 가전회사들의 사정도 비슷하다.

다른	다른/MMD
가전회사들의	가전/NNG+회사/NNG+들/XSN+의/JKG
사정도	사정/NNG+도/JX
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000038.62.5.1
전문가들은 "'과시용' '튀는 것'만 중시하던 국내 소비자들이 오래 두고 쓰는 가전제품의 본질에 더 가까이 다가간 경향을 반영한 것"이라고 분석한다.

전문가들은	전문가/NNG+들/XSN+은/JX
"'과시용'	"/SS+'/SS+과시/NNG+용/XSN+'/SS
'튀는	'/SS+튀/VV+는/ETM
것'만	것/NNB+'/SS+만/JX
중시하던	중시/NNG+하/XSV+던/ETM
국내	국내/NNG
소비자들이	소비자/NNG+들/XSN+이/JKS
오래	오래/MAG
두고	두/VV+고/EC
쓰는	쓰/VV+는/ETM
가전제품의	가전제품/NNG+의/JKG
본질에	본질/NNG+에/JKB
더	더/MAG
가까이	가까이/MAG
다가간	다가가/VV+ㄴ/ETM
경향을	경향/NNG+을/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.62.5.2
"수년 전 가전회사들이 세계적 그래픽·패션 디자이너들을 섭외해 제품에 꽃·별 등을 수놓은 '아트가전'을 내놓았을 때는 소비자들도 집의 전체 분위기를 고려하지 않은 '홀로 튀는 오브제' 같은 제품을 선호했지만 이젠 그렇지 않다"는 것이다.

"수년	"/SS+수년/NNG
전	전/NNG
가전회사들이	가전/NNG+회사/NNG+들/XSN+이/JKS
세계적	세계/NNG+적/XSN
그래픽·패션	그래픽/NNG+·/SP+패션/NNG
디자이너들을	디자이너/NNG+들/XSN+을/JKO
섭외해	섭외/NNG+하/XSV+아/EC
제품에	제품/NNG+에/JKB
꽃·별	꽃/NNG+·/SP+별/NNG
등을	등/NNB+을/JKO
수놓은	수놓/VV+은/ETM
'아트가전'을	'/SS+아트/NNG+가전/NNG+'/SS+을/JKO
내놓았을	내놓/VV+았/EP+을/ETM
때는	때/NNG+는/JX
소비자들도	소비자/NNG+들/XSN+도/JX
집의	집/NNG+의/JKG
전체	전체/NNG
분위기를	분위기/NNG+를/JKO
고려하지	고려/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
'홀로	'/SS+홀로/MAG
튀는	튀/VV+는/ETM
오브제'	오브제/NNG+'/SS
같은	같/VA+은/ETM
제품을	제품/NNG+을/JKO
선호했지만	선호/NNG+하/XSV+았/EP+지만/EC
이젠	이제/NNG+ㄴ/JX
그렇지	그렇/VA+지/EC
않다"는	않/VX+다/EF+"/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.62.5.3
한 가전회사 디자인실 관계자는 "사실 아트 가전은 구매 고객으로부터 '가구와 안 어울린다' '보다 보니 질린다'는 불만도 적잖게 들었다"며 "한번 구입하면 10년 이상 써야 하는 데다 주변 가구와 조화롭게 녹아들어야 한다는 점에서 흰색 민무늬만큼 가전제품에 적합한 선택이 없다"고 했다.

한	한/MMN
가전회사	가전/NNG+회사/NNG
디자인실	디자인실/NNG
관계자는	관계자/NNG+는/JX
"사실	"/SS+사실/MAG
아트	아트/NNG
가전은	가전/NNG+은/JX
구매	구매/NNG
고객으로부터	고객/NNG+으로부터/JKB
'가구와	'/SS+가구/NNG+와/JKB
안	안/MAG
어울린다'	어울리/VV+ㄴ다/EF+'/SS
'보다	'/SS+보다/MAG
보니	보/VV+니/EC
질린다'는	질리/VV+ㄴ다/EF+'/SS+는/ETM
불만도	불만/NNG+도/JX
적잖게	적잖/VA+게/EC
들었다"며	듣/VV+었/EP+다/EF+"/SS+며/EC
"한번	"/SS+한/MMN+번/NNB
구입하면	구입/NNG+하/XSV+면/EC
10년	10/SN+년/NNB
이상	이상/NNG
써야	쓰/VV+어야/EC
하는	하/VX+는/ETM
데다	데/NNB+다/JX
주변	주변/NNG
가구와	가구/NNG+와/JKB
조화롭게	조화/NNG+롭/XSA+게/EC
녹아들어야	녹아들/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
흰색	흰색/NNG
민무늬만큼	민무늬/NNG+만큼/JKB
가전제품에	가전제품/NNG+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
선택이	선택/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.62.6.1
이순인 국제산업디자인협회 회장은 "서구에서 백색 가전은 그야말로 집 전체와 어우러지는 시스템과 같은 것"이라며 "실용성과 조화를 중시하는 디자인 트렌드에 맞춰 앞으로도 담백한 백색 가전 인기가 계속될 것"이라고 했다.

이순인	이순인/NNP
국제산업디자인협회	국제산업디자인협회/NNP
회장은	회장/NNG+은/JX
"서구에서	"/SS+서구/NNG+에서/JKB
백색	백색/NNG
가전은	가전/NNG+은/JX
그야말로	그야말로/MAG
집	집/NNG
전체와	전체/NNG+와/JKB
어우러지는	어우러지/VV+는/ETM
시스템과	시스템/NNG+과/JKB
같은	같/VA+은/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"실용성과	"/SS+실용/NNG+성/XSN+과/JC
조화를	조화/NNG+를/JKO
중시하는	중시/NNG+하/XSV+는/ETM
디자인	디자인/NNG
트렌드에	트렌드/NNG+에/JKB
맞춰	맞추/VV+어/EC
앞으로도	앞/NNG+으로/JKB+도/JX
담백한	담백하/VA+ㄴ/ETM
가전	가전/NNG
인기가	인기/NNG+가/JKS
계속될	계속/NNG+되/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


