# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.256
metadata : {}


# id : NWRW1800000040.256.1.1
[이사람] “민족·국가 넘어 인본주의 실천하는 길 찾겠다”

[이사람]	[/SS+이/MMD+사람/NNG+]/SS
“민족·국가	“/SS+민족/NNG+·/SP+국가/NNG
넘어	넘/VV+어/EC
인본주의	인본주의/NNG
실천하는	실천/NNG+하/XSV+는/ETM
길	길/NNG
찾겠다”	찾/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000040.256.2.1
‘아시아 가톨릭대학 협의체’ 총회 개최 박영식 가톨릭대 총장

‘아시아	‘/SS+아시아/NNP
가톨릭대학	가톨릭/NNG+대학/NNG
협의체’	협의체/NNG+’/SS
총회	총회/NNG
개최	개최/NNG
박영식	박영식/NNP
가톨릭대	가톨릭대/NNP
총장	총장/NNG


# id : NWRW1800000040.256.3.1
22일 개막…8개국 44개 대학 참가

22일	22/SN+일/NNB
개막…8개국	개막/NNG+…/SE+8/SN+개국/NNB
44개	44/SN+개/NNB
대학	대학/NNG
참가	참가/NNG


# id : NWRW1800000040.256.4.1
‘가톨릭 고등교육의 사명’ 주제 토론

‘가톨릭	‘/SS+가톨릭/NNG
고등교육의	고등/NNG+교육/NNG+의/JKG
사명’	사명/NNG+’/SS
주제	주제/NNG
토론	토론/NNG


# id : NWRW1800000040.256.5.1
“윤리적 인재 양성이 절실한 시대”

“윤리적	“/SS+윤리/NNG+적/XSN
인재	인재/NNG
양성이	양성/NNG+이/JKS
절실한	절실하/VA+ㄴ/ETM
시대”	시대/NNG+”/SS


# id : NWRW1800000040.256.6.1
“민족과 국가의 벽을 넘어 가톨릭 인본주의의 가치를 실현하는 길을 모색하고 나눔으로써 인류에 기여하는 가톨릭대학의 정체성을 새롭게 확인하고 실천할 수 있기를 기대합니다.”

“민족과	“/SS+민족/NNG+과/JC
국가의	국가/NNG+의/JKG
벽을	벽/NNG+을/JKO
넘어	넘/VV+어/EC
가톨릭	가톨릭/NNG
인본주의의	인본주의/NNG+의/JKG
가치를	가치/NNG+를/JKO
실현하는	실현/NNG+하/XSV+는/ETM
길을	길/NNG+을/JKO
모색하고	모색/NNG+하/XSV+고/EC
나눔으로써	나누/VV+ㅁ/ETN+으로써/JKB
인류에	인류/NNG+에/JKB
기여하는	기여/NNG+하/XSV+는/ETM
가톨릭대학의	가톨릭/NNG+대학/NNG+의/JKG
정체성을	정체/NNG+성/XSN+을/JKO
새롭게	새롭/VA+게/EC
확인하고	확인/NNG+하/XSV+고/EC
실천할	실천/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
기대합니다.”	기대/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000040.256.7.1
오는 22~25일 가톨릭대 성심교정과 성신교정에서 열릴 아세아쿠 총회를 준비중인 박영식(사진) 가톨릭대학교 총장은 18일 이런 취지를 밝히며 “아시아 가톨릭계 대학들의 소통과 문화교류 축제의 장이 되도록 준비하고 있다”고 말했다.

오는	오/VV+는/ETM
22~25일	22/SN+~/SO+25/SN+일/NNB
가톨릭대	가톨릭대/NNP
성심교정과	성심/NNP+교정/NNG+과/JC
성신교정에서	성신/NNP+교정/NNG+에서/JKB
열릴	열리/VV+ㄹ/ETM
아세아쿠	아세아쿠/NNG
총회를	총회/NNG+를/JKO
준비중인	준비/NNG+중/NNB+이/VCP+ㄴ/ETM
박영식(사진)	박영식/NNP+(/SS+사진/NNG+)/SS
가톨릭대학교	가톨릭대학교/NNP
총장은	총장/NNG+은/JX
18일	18/SN+일/NNB
이런	이런/MMD
취지를	취지/NNG+를/JKO
밝히며	밝히/VV+며/EC
“아시아	“/SS+아시아/NNP
가톨릭계	가톨릭/NNG+계/XSN
대학들의	대학/NNG+들/XSN+의/JKG
소통과	소통/NNG+과/JC
문화교류	문화/NNG+교류/NNG
축제의	축제/NNG+의/JKG
장이	장/NNG+이/JKC
되도록	되/VV+도록/EC
