# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.60
metadata : {}


# id : NWRW1800000052.60.1.1
알파고를 보는 바둑계의 눈 “알파고에 고맙다”

알파고를	알파고/NNP+를/JKO
보는	보/VV+는/ETM
바둑계의	바둑/NNG+계/XSN+의/JKG
눈	눈/NNG
“알파고에	“/SS+알파고/NNP+에/JKB
고맙다”	고맙/VA+다/EF+”/SS


# id : NWRW1800000052.60.2.1
“바둑의 낭만은 없지만…

“바둑의	“/SS+바둑/NNG+의/JKG
낭만은	낭만/NNG+은/JX
없지만…	없/VA+지만/EC+…/SE


# id : NWRW1800000052.60.3.1
패러다임 바꿔준 계기 고맙다”

패러다임	패러다임/NNG
바꿔준	바꾸/VV+어/EC+주/VX+ㄴ/ETM
계기	계기/NNG
고맙다”	고맙/VA+다/EF+”/SS


# id : NWRW1800000052.60.4.1
알파고는 냉정했다.

알파고는	알파고/NNP+는/JX
냉정했다.	냉정/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000052.60.4.2
알파고는 승리할 확률이 높다는 계산이 나오면 잡을 수 있는 돌도 잡지 않았다.

알파고는	알파고/NNP+는/JX
승리할	승리/NNG+하/XSV+ㄹ/ETM
확률이	확률/NNG+이/JKS
높다는	높/VA+다는/ETM
계산이	계산/NNG+이/JKS
나오면	나오/VV+면/EC
잡을	잡/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
돌도	돌/NNG+도/JX
잡지	잡/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.60.4.3
알파고에게 중요한 건 크게 이기는 것이 아니다.

알파고에게	알파고/NNP+에게/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
크게	크/VA+게/EC
이기는	이기/VV+는/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000052.60.4.4
반집을 이기더라도 이기기만 하면 된다.

반집을	반집/NNG+을/JKO
이기더라도	이기/VV+더라도/EC
이기기만	이기/VV+기/ETN+만/JX
하면	하/VX+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.60.4.5
프로의 세계에서 승부에 대한 집념은 물론 인정해야하지만 대국이 거듭될수록 이세돌 9단이 말했던 “바둑의 낭만”이 사라지는 게 아니냐는 우려의 목소리도 나온다.

프로의	프로/NNG+의/JKG
세계에서	세계/NNG+에서/JKB
승부에	승부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
집념은	집념/NNG+은/JX
물론	물론/MAG
인정해야하지만	인정/NNG+하/XSV+아야/EC+하/VX+지만/EC
대국이	대국/NNG+이/JKS
거듭될수록	거듭/MAG+되/XSV+ㄹ수록/EC
이세돌	이세돌/NNP
9단이	9/SN+단/NNG+이/JKS
말했던	말/NNG+하/XSV+았/EP+던/ETM
“바둑의	“/SS+바둑/NNG+의/JKG
낭만”이	낭만/NNG+”/SS+이/JKS
사라지는	사라지/VV+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
우려의	우려/NNG+의/JKG
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.60.5.1
프로 바둑기사들이 말하는 바둑의 낭만이란 무엇일까.

프로	프로/NNG
바둑기사들이	바둑/NNG+기사/NNG+들/XSN+이/JKS
말하는	말/NNG+하/XSV+는/ETM
바둑의	바둑/NNG+의/JKG
낭만이란	낭만/NNG+이란/JX
무엇일까.	무엇/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000052.60.5.2
김영삼 9단은 “기계적인 계산으로 이기는 데만 몰두하는 게 아니라 질 때 지더라도 자신의 실력과 창의력을 최대한 발휘한 다음 깨끗하게 승복하는 것이 바둑의 아름다움 중 하나다”라고 했다.

김영삼	김영삼/NNP
9단은	9/SN+단/NNG+은/JX
“기계적인	“/SS+기계/NNG+적/XSN+이/VCP+ㄴ/ETM
계산으로	계산/NNG+으로/JKB
이기는	이기/VV+는/ETM
데만	데/NNB+만/JX
몰두하는	몰두/NNG+하/XSV+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
질	지/VV+ㄹ/ETM
때	때/NNG
지더라도	지/VV+더라도/EC
자신의	자신/NNG+의/JKG
실력과	실력/NNG+과/JC
창의력을	창의력/NNG+을/JKO
최대한	최대한/MAG
발휘한	발휘/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
깨끗하게	깨끗하/VA+게/EC
승복하는	승복/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
바둑의	바둑/NNG+의/JKG
아름다움	아름다움/NNG
중	중/NNB
하나다”라고	하나/NR+이/VCP+다/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.60.6.1
프로 기사들의 대국에선 예선·본선·결선에 관계없이 흑과 백이 물고 물리면서 생겨난 대마의 생사여부에 따라 승부가 갈리는 경우가 흔하다.

프로	프로/NNG
기사들의	기사/NNG+들/XSN+의/JKG
대국에선	대국/NNG+에서/JKB+ㄴ/JX
예선·본선·결선에	예선/NNG+·/SP+본선/NNG+·/SP+결선/NNG+에/JKB
관계없이	관계없이/MAG
흑과	흑/NNG+과/JC
백이	백/NNG+이/JKS
물고	물/VV+고/EC
물리면서	물리/VV+면서/EC
생겨난	생겨나/VV+ㄴ/ETM
대마의	대마/NNG+의/JKG
생사여부에	생사/NNG+여부/NNG+에/JKB
따라	따르/VV+아/EC
승부가	승부/NNG+가/JKS
갈리는	갈리/VV+는/ETM
경우가	경우/NNG+가/JKS
흔하다.	흔하/VA+다/EF+./SF


# id : NWRW1800000052.60.6.2
바둑팬들이 긴장의 끈을 놓지 않고 4시간 가량 이어지는 장시간의 대국을 지켜보는 이유다.

바둑팬들이	바둑/NNG+팬/NNG+들/XSN+이/JKS
긴장의	긴장/NNG+의/JKG
끈을	끈/NNG+을/JKO
놓지	놓/VV+지/EC
않고	않/VX+고/EC
4시간	4/SN+시간/NNB
가량	가량/XSN
이어지는	이어지/VV+는/ETM
장시간의	장시간/NNG+의/JKG
대국을	대국/NNG+을/JKO
지켜보는	지켜보/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.60.6.3
알파고와 이 9단의 대결에선 이같은 백척간두의 싸움이 없었다.

알파고와	알파고/NNP+와/JKB
이	이/NNP
9단의	9/SN+단/NNG+의/JKG
대결에선	대결/NNG+에서/JKB+ㄴ/JX
이같은	이/NP+같/VA+은/ETM
백척간두의	백척간두/NNG+의/JKG
싸움이	싸움/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.60.6.4
김 9단은 “2국때 70수밖에 진행이 안됐는데 알파고가 판을 정리해나가기 시작했다.

김	김/NNP
9단은	9/SN+단/NNG+은/JX
“2국때	“/SS+2/SN+국/NNB+때/NNG
70수밖에	70/SN+수/NNB+밖에/JX
진행이	진행/NNG+이/JKC
안됐는데	안/MAG+되/XSV+었/EP+는데/EC
알파고가	알파고/NNP+가/JKS
판을	판/NNG+을/JKO
정리해나가기	정리/NNG+하/XSV+아/EC+나가/VX+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.60.6.5
이미 이겼다는 뜻이다.

이미	이미/MAG
이겼다는	이기/VV+었/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.60.6.6
프로기사들에게선 찾아볼 수 없는 모습이라 처음엔 신선했지만 알파고가 바둑을 마치 벽돌깨기 식 비디오게임으로 인식하고 있는 건 아닌지 안타까운 마음이 들었다”고 했다.

프로기사들에게선	프로/NNG+기사/NNG+들/XSN+에게서/JKB+ㄴ/JX
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
모습이라	모습/NNG+이/VCP+라/EC
처음엔	처음/NNG+에/JKB+ㄴ/JX
신선했지만	신선하/VA+았/EP+지만/EC
알파고가	알파고/NNP+가/JKS
바둑을	바둑/NNG+을/JKO
마치	마치/MAG
벽돌깨기	벽돌/NNG+깨/VV+기/ETN
식	식/NA
비디오게임으로	비디오/NNG+게임/NNG+으로/JKB
인식하고	인식/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
건	거/NNB+ㄴ/JX
아닌지	아니/VCN+ㄴ지/EC
안타까운	안타깝/VA+ㄴ/ETM
마음이	마음/NNG+이/JKS
들었다”고	들/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.60.7.1
김성룡 9단은 알파고와의 대국에서 사람들이 바둑의 진짜 ‘멋’을 발견하지 못한 점을 아쉬워했다.

김성룡	김성룡/NNP
9단은	9/SN+단/NNG+은/JX
알파고와의	알파고/NNP+와/JKB+의/JKG
대국에서	대국/NNG+에서/JKB
사람들이	사람/NNG+들/XSN+이/JKS
바둑의	바둑/NNG+의/JKG
진짜	진짜/NNG
‘멋’을	‘/SS+멋/NNG+’/SS+을/JKO
발견하지	발견/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
점을	점/NNG+을/JKO
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.60.7.2
그는 “바둑은 끝나고 복기를 한다.

그는	그/NP+는/JX
“바둑은	“/SS+바둑/NNG+은/JX
