# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.232
metadata : {}


# id : NWRW1800000056.232.1.1
파산야우

파산야우	파산야우/NNG


# id : NWRW1800000056.232.2.1
파산야우(巴山夜雨)

파산야우(巴山夜雨)	파산야우/NNG+(/SS+巴山夜雨/SH+)/SS


# id : NWRW1800000056.232.3.1
꼬리 파, 뫼 산, 밤 야, 비 우

꼬리	꼬리/NNG
파,	파/NNG+,/SP
뫼	뫼/NNG
산,	산/NNG+,/SP
밤	밤/NNG
야,	야/NNG+,/SP
비	비/NNG
우	우/NNG


# id : NWRW1800000056.232.4.1
입추(7일)가 지나니 아침저녁으로 선선한 바람이 분다.

입추(7일)가	입추/NNG+(/SS+7/SN+일/NNB+)/SS+가/JKS
지나니	지나/VV+니/EC
아침저녁으로	아침저녁/NNG+으로/JKB
선선한	선선하/VA+ㄴ/ETM
바람이	바람/NNG+이/JKS
분다.	불/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.232.4.2
다음 주 처서(23일)와 다음 달 백로(9월7일) 사이쯤이면 이미 가을이다.

다음	다음/NNG
주	주/NNG
처서(23일)와	처서/NNG+(/SS+23/SN+일/NNB+)/SS+와/JC
달	달/NNG
백로(9월7일)	백로/NNG+(/SS+9/SN+월/NNB+7/SN+일/NNB+)/SS
사이쯤이면	사이/NNG+쯤/XSN+이/VCP+면/EC
이미	이미/MAG
가을이다.	가을/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.232.4.3
계절을 심사(心思)로 구분하면 가을은 가슴을 파고드는 그리움의 계절이다.

계절을	계절/NNG+을/JKO
심사(心思)로	심사/NNG+(/SS+心思/SH+)/SS+로/JKB
구분하면	구분/NNG+하/XSV+면/EC
가을은	가을/NNG+은/JX
가슴을	가슴/NNG+을/JKO
파고드는	파고들/VV+는/ETM
그리움의	그리움/NNG+의/JKG
계절이다.	계절/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.232.4.4
숱한 이별과 그리움의 노래가 가을을 배경으로 삼은 건 우연이 아니다.

숱한	숱하/VA+ㄴ/ETM
이별과	이별/NNG+과/JC
그리움의	그리움/NNG+의/JKG
노래가	노래/NNG+가/JKS
가을을	가을/NNG+을/JKO
배경으로	배경/NNG+으로/JKB
삼은	삼/VV+은/ETM
건	거/NNB+ㄴ/JX
우연이	우연/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000056.232.5.1
파산야우(巴山夜雨)는 ‘파산(중국 쓰촨의 바산)의 밤에 내리는 비’라는 평범한 표현이지만, ‘그리운 연인과의 재회’라는 뜻을 지니고 있다.

파산야우(巴山夜雨)는	파산야우/NNG+(/SS+巴山夜雨/SH+)/SS+는/JX
‘파산(중국	‘/SS+파산/NNP+(/SS+중국/NNP
쓰촨의	쓰촨/NNP+의/JKG
바산)의	바산/NNP+)/SS+의/JKG
밤에	밤/NNG+에/JKB
내리는	내리/VV+는/ETM
비’라는	비/NNG+’/SS+이/VCP+라는/ETM
평범한	평범하/VA+ㄴ/ETM
표현이지만,	표현/NNG+이/VCP+지만/EC+,/SP
