# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.106
metadata : {}


# id : NWRW1800000048.106.1.1
사우디, 예멘 공습 종료…후티 반군 건재 ‘미래 불투명’

사우디,	사우디/NNP+,/SP
예멘	예멘/NNP
공습	공습/NNG
종료…후티	종료/NNG+…/SE+후티/NNP
반군	반군/NNG
건재	건재/NNG
‘미래	‘/SS+미래/NNG
불투명’	불/XPN+투명/NNG+’/SS


# id : NWRW1800000048.106.2.1
최소 944명 사망·3500명 중상

최소	최소/NNG
944명	944/SN+명/NNB
사망·3500명	사망/NNG+·/SP+3500/SN+명/NNB
중상	중상/NNG


# id : NWRW1800000048.106.3.1
국제사회 압력·중재 따른 듯

국제사회	국제/NNG+사회/NNG
압력·중재	압력/NNG+·/SP+중재/NNG
따른	따르/VV+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000048.106.4.1
미 항모, 공습 중단 담보물로

미	미/NNP
항모,	항모/NNG+,/SP
공습	공습/NNG
중단	중단/NNG
담보물로	담보물/NNG+로/JKB


# id : NWRW1800000048.106.5.1
예멘 내부 세력 알력 작용 커

예멘	예멘/NNP
내부	내부/NNG
세력	세력/NNG
알력	알력/NNG
작용	작용/NNG
커	크/VA+어/EC


# id : NWRW1800000048.106.6.1
정치적 해결 낳을지 회의적

정치적	정치/NNG+적/XSN
해결	해결/NNG
낳을지	낳/VV+을지/EC
회의적	회의/NNG+적/XSN


# id : NWRW1800000048.106.7.1
예멘 내전이 사우디아라비아의 공습 중단 발표로 기로에 섰다.

예멘	예멘/NNP
내전이	내전/NNG+이/JKS
사우디아라비아의	사우디아라비아/NNP+의/JKG
공습	공습/NNG
중단	중단/NNG
발표로	발표/NNG+로/JKB
기로에	기로/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.106.8.1
사우디 국방부는 21일 예멘 시아파 후티 반군에 대한 공습인 ‘결정적 폭풍 작전’이 “후티 반군 등이 장악한 중무기와 탄도미사일 등을 파괴해 사우디와 이웃국가들의 안보에 대한 위협을 제거하는 목적을 성취했다”면서 공습 중단을 발표했다.

사우디	사우디/NNP
국방부는	국방부/NNG+는/JX
21일	21/SN+일/NNB
예멘	예멘/NNP
시아파	시아파/NNG
후티	후티/NNP
반군에	반군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공습인	공습/NNG+이/VCP+ㄴ/ETM
‘결정적	‘/SS+결정/NNG+적/XSN
폭풍	폭풍/NNG
작전’이	작전/NNG+’/SS+이/JKS
“후티	“/SS+후티/NNP
반군	반군/NNG
등이	등/NNB+이/JKS
장악한	장악/NNG+하/XSV+ㄴ/ETM
중무기와	중무기/NNG+와/JC
탄도미사일	탄도/NNG+미사일/NNG
등을	등/NNB+을/JKO
파괴해	파괴/NNG+하/XSV+아/EC
사우디와	사우디/NNP+와/JC
이웃국가들의	이웃/NNG+국가/NNG+들/XSN+의/JKG
안보에	안보/NNG+에/JKB
위협을	위협/NNG+을/JKO
제거하는	제거/NNG+하/XSV+는/ETM
목적을	목적/NNG+을/JKO
성취했다”면서	성취/NNG+하/XSV+았/EP+다/EF+”/SS+면서/EC
공습	공습/NNG
중단을	중단/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.106.8.2
사우디 국방부는 성명에서 “‘희망 회복 작전’이라는 새로운 국면이 시작됐다”며 “이는 정치적, 외교적, 군사적 조처들을 결합하는 것으로, 예멘을 안정적이고 안전한 미래로 이끌 정치적 과정에 초점에 맞출 것”이라고 설명했다.

사우디	사우디/NNP
국방부는	국방부/NNG+는/JX
성명에서	성명/NNG+에서/JKB
“‘희망	“/SS+‘/SS+희망/NNG
회복	회복/NNG
작전’이라는	작전/NNG+’/SS+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
국면이	국면/NNG+이/JKS
시작됐다”며	시작/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
정치적,	정치/NNG+적/XSN+,/SP
외교적,	외교/NNG+적/XSN+,/SP
군사적	군사/NNG+적/XSN
조처들을	조처/NNG+들/XSN+을/JKO
결합하는	결합/NNG+하/XSV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
예멘을	예멘/NNP+을/JKO
안정적이고	안정/NNG+적/XSN+이/VCP+고/EC
안전한	안전/NNG+하/XSA+ㄴ/ETM
미래로	미래/NNG+로/JKB
이끌	이끌/VV+ㄹ/ETM
정치적	정치/NNG+적/XSN
과정에	과정/NNG+에/JKB
초점에	초점/NNG+에/JKB
맞출	맞추/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.106.9.1
사우디는 예멘 동북부 시아파 후티 반군들이 수도 사나를 점령하고 압드라부 만수르 하디 대통령이 이끌던 정부를 붕괴시키자, 지난 3월 초 전격적으로 예멘 공습을 시작했다.

사우디는	사우디/NNP+는/JX
예멘	예멘/NNP
동북부	동북부/NNG
시아파	시아파/NNG
후티	후티/NNP
반군들이	반군/NNG+들/XSN+이/JKS
수도	수도/NNG
사나를	사나/NNP+를/JKO
점령하고	점령/NNG+하/XSV+고/EC
압드라부	압드라부/NNP
만수르	만수르/NNP
하디	하디/NNP
대통령이	대통령/NNG+이/JKS
이끌던	이끌/VV+던/ETM
정부를	정부/NNG+를/JKO
붕괴시키자,	붕괴/NNG+시키/XSV+자/EC+,/SP
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
초	초/NNB
전격적으로	전격/NNG+적/XSN+으로/JKB
공습을	공습/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.106.9.2
또 수니파 아랍국가 동맹을 이끌며 예멘 내전에 개입해왔다.

또	또/MAG
수니파	수니파/NNG
아랍국가	아랍/NNP+국가/NNG
동맹을	동맹/NNG+을/JKO
이끌며	이끌/VV+며/EC
예멘	예멘/NNP
내전에	내전/NNG+에/JKB
개입해왔다.	개입/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.106.9.3
사우디는 시아파 이란이 후티 반군을 지원하며 예멘에 대리정권을 세우려 한다고 비난하며 자신들의 개입을 정당화했다.

사우디는	사우디/NNP+는/JX
시아파	시아파/NNG
이란이	이란/NNP+이/JKS
후티	후티/NNP
반군을	반군/NNG+을/JKO
지원하며	지원/NNG+하/XSV+며/EC
예멘에	예멘/NNP+에/JKB
대리정권을	대리/NNG+정권/NNG+을/JKO
세우려	세우/VV+려/EC
한다고	하/VX+ㄴ다고/EC
비난하며	비난/NNG+하/XSV+며/EC
자신들의	자신/NNG+들/XSN+의/JKG
개입을	개입/NNG+을/JKO
정당화했다.	정당화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.106.10.1
사우디의 공습 중단 발표 직후 후티 반군 쪽도 화답했다.

사우디의	사우디/NNP+의/JKG
공습	공습/NNG
중단	중단/NNG
발표	발표/NNG
직후	직후/NNG
후티	후티/NNP
반군	반군/NNG
쪽도	쪽/NNB+도/JX
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.106.10.2
후티 반군 쪽은 하디 대통령 정부의 마흐무드 수바이히 국방장관과 하디 대통령의 동생인 나시르 만수르 하디 장군을 석방했다.

후티	후티/NNP
반군	반군/NNG
쪽은	쪽/NNB+은/JX
하디	하디/NNP
대통령	대통령/NNG
정부의	정부/NNG+의/JKG
마흐무드	마흐무드/NNP
수바이히	수바이히/NNP
국방장관과	국방/NNG+장관/NNG+과/JC
대통령의	대통령/NNG+의/JKG
동생인	동생/NNG+이/VCP+ㄴ/ETM
나시르	나시르/NNP
만수르	만수르/NNP
장군을	장군/NNG+을/JKO
석방했다.	석방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.106.10.3
유엔 안보리는 예멘에 대한 금수조처를 결의하면서 수바이히 국방장관의 석방을 요구했었다.

유엔	유엔/NNP
안보리는	안보리/NNG+는/JX
예멘에	예멘/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
금수조처를	금수/NNG+조처/NNG+를/JKO
결의하면서	결의/NNG+하/XSV+면서/EC
수바이히	수바이히/NNP
국방장관의	국방/NNG+장관/NNG+의/JKG
석방을	석방/NNG+을/JKO
요구했었다.	요구/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000048.106.11.1
사우디의 공습 중단은 일단 미국 등 국제사회의 압력과 중재에 따른 것으로 보인다.

사우디의	사우디/NNP+의/JKG
공습	공습/NNG
중단은	중단/NNG+은/JX
일단	일단/MAG
미국	미국/NNP
등	등/NNB
국제사회의	국제/NNG+사회/NNG+의/JKG
압력과	압력/NNG+과/JC
중재에	중재/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.106.11.2
이번 공습으로 민간인 피해가 커지고 인도적 위기 사태가 악화하자 국제적 비난이 거세져왔다.

이번	이번/NNG
공습으로	공습/NNG+으로/JKB
민간인	민간인/NNG
피해가	피해/NNG+가/JKS
커지고	커지/VV+고/EC
인도적	인도/NNG+적/XSN
위기	위기/NNG
사태가	사태/NNG+가/JKS
악화하자	악화/NNG+하/XSV+자/EC
국제적	국제/NNG+적/XSN
비난이	비난/NNG+이/JKS
거세져왔다.	거세/VA+어/EC+지/VX+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.106.11.3
세계보건기구는 사우디의 공습 이후 적어도 944명이 숨지고, 3500명이 중상을 입었다고 발표했다.

세계보건기구는	세계보건기구/NNP+는/JX
사우디의	사우디/NNP+의/JKG
공습	공습/NNG
이후	이후/NNG
적어도	적어도/MAG
944명이	944/SN+명/NNB+이/JKS
숨지고,	숨지/VV+고/EC+,/SP
3500명이	3500/SN+명/NNB+이/JKS
중상을	중상/NNG+을/JKO
입었다고	입/VV+었/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.106.11.4
국제구호단체들은 이 공습이 민간인을 겨냥해 전쟁범죄에 준한다고 비난해왔다.

국제구호단체들은	국제/NNG+구호/NNG+단체/NNG+들/XSN+은/JX
이	이/MMD
공습이	공습/NNG+이/JKS
민간인을	민간인/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
전쟁범죄에	전쟁/NNG+범죄/NNG+에/JKB
준한다고	준하/VV+ㄴ다고/EC
비난해왔다.	비난/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.106.11.5
난민캠프 폭격으로 수십명이 숨지고, 치즈공장에 대한 공습으로 야간작업을 하던 노동자 31명이 숨지기도 했다.

난민캠프	난민/NNG+캠프/NNG
폭격으로	폭격/NNG+으로/JKB
수십명이	수십/NR+명/NNB+이/JKS
숨지고,	숨지/VV+고/EC+,/SP
치즈공장에	치즈/NNG+공장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공습으로	공습/NNG+으로/JKB
야간작업을	야간작업/NNG+을/JKO
하던	하/VV+던/ETM
노동자	노동자/NNG
31명이	31/SN+명/NNB+이/JKS
숨지기도	숨지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.106.11.6
또 사우디는 예멘을 봉쇄해 식량·연료·물 부족 사태를 야기했다.

또	또/MAG
사우디는	사우디/NNP+는/JX
예멘을	예멘/NNP+을/JKO
봉쇄해	봉쇄/NNG+하/XSV+아/EC
식량·연료·물	식량/NNG+·/SP+연료/NNG+·/SP+물/NNG
부족	부족/NNG
사태를	사태/NNG+를/JKO
야기했다.	야기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.106.12.1
미국은 중동의 최대 동맹국인 사우디의 이번 공습을 겉으로는 지지하면서도 정치·외교적 해결을 종용해왔다.

미국은	미국/NNP+은/JX
중동의	중동/NNP+의/JKG
최대	최대/NNG
동맹국인	동맹국/NNG+이/VCP+ㄴ/ETM
사우디의	사우디/NNP+의/JKG
이번	이번/NNG
공습을	공습/NNG+을/JKO
겉으로는	겉/NNG+으로/JKB+는/JX
지지하면서도	지지/NNG+하/XSV+면서/EC+도/JX
정치·외교적	정치/NNG+·/SP+외교/NNG+적/XSN
해결을	해결/NNG+을/JKO
종용해왔다.	종용/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.106.12.2
존 케리 국무장관과 존 브레넌 중앙정보국장의 최근 사우디 방문은 그 일환이었다.

존	존/NNP
케리	케리/NNP
국무장관과	국무/NNG+장관/NNG+과/JC
브레넌	브레넌/NNP
중앙정보국장의	중앙정보국장/NNG+의/JKG
최근	최근/NNG
사우디	사우디/NNP
방문은	방문/NNG+은/JX
그	그/MMD
일환이었다.	일환/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.106.13.1
20일 파견된 미국 해군력은 이번 공습 중단의 담보물이 됐다.

20일	20/SN+일/NNB
파견된	파견/NNG+되/XSV+ㄴ/ETM
미국	미국/NNP
해군력은	해군력/NNG+은/JX
이번	이번/NNG
공습	공습/NNG
중단의	중단/NNG+의/JKG
담보물이	담보물/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.106.13.2
