# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.165
metadata : {}


# id : NWRW1800000026.165.1.1
[충청][현장 6·2 지방선거] 대전 '대표區' 새 주인은 누굴까?

[충청][현장	[/SS+충청/NNP+]/SS+[/SS+현장/NNG
6·2	6/SN+·/SP+2/SN
지방선거]	지방/NNG+선거/NNG+]/SS
대전	대전/NNP
'대표區'	'/SS+대표/NNG+區/SH+'/SS
새	새/MMA
주인은	주인/NNG+은/JX
누굴까?	누구/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000026.165.1.2
_대전 서구청장;시의원·관료 출신 나서

_대전	_/SW+대전/NNP
서구청장;시의원·관료	서구청장/NNG+;/SW+시/NNG+의원/NNG+·/SP+관료/NNG
출신	출신/NNG
나서	나서/VV+어/EF


# id : NWRW1800000026.165.2.1
서구는 대전 전체 인구의 3분의 1인 50만명이 살고 있는 데다 대전시청, 정부 대전청사 등 각급 관공서와 기관·단체 사무실이 몰려 있는 대전의 중심지이다.

서구는	서구/NNP+는/JX
대전	대전/NNP
전체	전체/NNG
인구의	인구/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1인	1/SN+이/VCP+ㄴ/ETM
50만명이	50/SN+만/NR+명/NNB+이/JKS
살고	살/VV+고/EC
있는	있/VX+는/ETM
데다	데/NNB+다/JX
대전시청,	대전시청/NNP+,/SP
정부	정부/NNG
대전청사	대전청사/NNP
등	등/NNB
각급	각급/NNG
관공서와	관공서/NNG+와/JC
기관·단체	기관/NNG+·/SP+단체/NNG
사무실이	사무실/NNG+이/JKS
몰려	몰리/VV+어/EC
대전의	대전/NNP+의/JKG
중심지이다.	중심지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.165.2.2
그런 만큼 최대 승부처로 통한다.

그런	그런/MMD
만큼	만큼/NNB
최대	최대/NNG
승부처로	승부처/NNG+로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.165.2.3
각 당도 당력을 기울여 서구청장 선거 지원에 나서고 있다.

각	각/MMD
당도	당/NNG+도/JX
당력을	당력/NNG+을/JKO
기울여	기울이/VV+어/EC
서구청장	서구청장/NNG
선거	선거/NNG
지원에	지원/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.165.3.1
수년 전만 해도 둔산지역과 비둔산지역 간 불균형 해소가 서구의 가장 큰 해결 과제였으나 도안신도시 개발로 새로운 도약이 예고되고 있는 지역이기도 하다.

수년	수년/NNG
전만	전/NNG+만/JX
해도	하/VV+아도/EC
둔산지역과	둔산/NNP+지역/NNG+과/JC
비둔산지역	비/XPN+둔산/NNP+지역/NNG
간	간/NNB
불균형	불/XPN+균형/NNG
해소가	해소/NNG+가/JKS
서구의	서구/NNP+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
해결	해결/NNG
과제였으나	과제/NNG+이/VCP+었/EP+으나/EC
도안신도시	도안신도시/NNP
개발로	개발/NNG+로/JKB
새로운	새롭/VA+ㄴ/ETM
도약이	도약/NNG+이/JKS
예고되고	예고/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
지역이기도	지역/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000026.165.4.1
한나라당 소속의 가기산 현 청장이 3선 연임제한으로 출마하지 않음에 따라 각 정당별로 많은 후보가 치열한 공천경쟁을 벌인 끝에 4파전으로 압축됐다.

한나라당	한나라당/NNP
소속의	소속/NNG+의/JKG
가기산	가기산/NNP
현	현/MMD
청장이	청장/NNG+이/JKS
3선	3/SN+선/NNB
연임제한으로	연임/NNG+제한/NNG+으로/JKB
출마하지	출마/NNG+하/XSV+지/EC
않음에	않/VX+음/ETN+에/JKB
따라	따르/VV+아/EC
각	각/MMD
정당별로	정당/NNG+별/XSN+로/JKB
많은	많/VA+은/ETM
후보가	후보/NNG+가/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
공천경쟁을	공천/NNG+경쟁/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
4파전으로	4파전/NNG+으로/JKB
압축됐다.	압축/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.165.5.1
한나라당은 재선 대전시의원을 지낸 조신형(趙信衡·47) 후보가 나섰다.

한나라당은	한나라당/NNP+은/JX
재선	재선/NNG
대전시의원을	대전시/NNP+의원/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
조신형(趙信衡·47)	조신형/NNP+(/SS+趙信衡/SH+·/SP+47/SN+)/SS
후보가	후보/NNG+가/JKS
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.165.5.2
시의원 활동 중 좋은 평가를 받았던 조 후보는 "정치와 행정을 모두 경험한 후보"임을 내세우고 있다.

시의원	시/NNG+의원/NNG
활동	활동/NNG
중	중/NNB
좋은	좋/VA+은/ETM
평가를	평가/NNG+를/JKO
받았던	받/VV+았/EP+던/ETM
조	조/NNP
후보는	후보/NNG+는/JX
"정치와	"/SS+정치/NNG+와/JC
행정을	행정/NNG+을/JKO
모두	모두/MAG
경험한	경험/NNG+하/XSV+ㄴ/ETM
후보"임을	후보/NNG+"/SS+이/VCP+ㅁ/ETN+을/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.165.5.3
그는 "8년간 시의원으로 활동하면서 주민들이 원하는 것은 물론 행정이 어떻게 변해야 하는지 잘 알고 있다"며 지지를 호소하고 있다.

그는	그/NP+는/JX
"8년간	"/SS+8/SN+년/NNB+간/XSN
시의원으로	시/NNG+의원/NNG+으로/JKB
활동하면서	활동/NNG+하/XSV+면서/EC
주민들이	주민/NNG+들/XSN+이/JKS
원하는	원/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
행정이	행정/NNG+이/JKS
어떻게	어떻/VA+게/EC
변해야	변하/VV+아야/EC
하는지	하/VX+는지/EC
잘	잘/MAG
알고	알/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
지지를	지지/NNG+를/JKO
호소하고	호소/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.165.6.1
민주당은 박병석 의원, 박범계 시당위원장의 지지로 장종태(張鍾泰·57) 후보를 일찌감치 결정지었다.

민주당은	민주당/NNP+은/JX
박병석	박병석/NNP
의원,	의원/NNG+,/SP
박범계	박범계/NNP
시당위원장의	시당/NNG+위원장/NNG+의/JKG
지지로	지지/NNG+로/JKB
장종태(張鍾泰·57)	장종태/NNP+(/SS+張鍾泰/SH+·/SP+57/SN+)/SS
후보를	후보/NNG+를/JKO
일찌감치	일찌감치/MAG
결정지었다.	결정짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.165.6.2
공직생활의 대부분을 서구에서 지내며 일선 동장부터 서구청 생활지원국장까지 역임한 장 후보는 풍부한 행정경험을 내세운다.

공직생활의	공직/NNG+생활/NNG+의/JKG
대부분을	대/XPN+부분/NNG+을/JKO
서구에서	서구/NNP+에서/JKB
지내며	지내/VV+며/EC
일선	일선/NNG
동장부터	동장/NNG+부터/JX
서구청	서구청/NNP
생활지원국장까지	생활/NNG+지원국장/NNG+까지/JX
역임한	역임/NNG+하/XSV+ㄴ/ETM
장	장/NNP
후보는	후보/NNG+는/JX
풍부한	풍부하/VA+ㄴ/ETM
행정경험을	행정/NNG+경험/NNG+을/JKO
내세운다.	내세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.165.6.3
그는 "40여년을 서구에서 살았고, 30여년을 서구에서 공직자로 근무해 구석구석을 잘 안다"며 "50만 주민이 주인이 되고 구청장이 되는 서구를 만들겠다"고 약속했다.

그는	그/NP+는/JX
"40여년을	"/SS+40/SN+여/XSN+년/NNB+을/JKO
서구에서	서구/NNP+에서/JKB
살았고,	살/VV+았/EP+고/EC+,/SP
30여년을	30/SN+여/XSN+년/NNB+을/JKO
공직자로	공직자/NNG+로/JKB
근무해	근무/NNG+하/XSV+아/EC
구석구석을	구석구석/NNG+을/JKO
잘	잘/MAG
안다"며	알/VV+ㄴ다/EF+"/SS+며/EC
"50만	"/SS+50/SN+만/NR
주민이	주민/NNG+이/JKS
주인이	주인/NNG+이/JKC
되고	되/VV+고/EC
구청장이	구청장/NNG+이/JKC
되는	되/VV+는/ETM
서구를	서구/NNP+를/JKO
만들겠다"고	만들/VV+겠/EP+다/EF+"/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.165.7.1
자유선진당 박환용(朴煥用·60) 후보는 "전국에서 가장 살기 좋은 자치구로 만들겠다"고 말한다.

자유선진당	자유선진당/NNP
박환용(朴煥用·60)	박환용/NNP+(/SS+朴煥用/SH+·/SP+60/SN+)/SS
후보는	후보/NNG+는/JX
"전국에서	"/SS+전국/NNG+에서/JKB
가장	가장/MAG
살기	살/VV+기/ETN
좋은	좋/VA+은/ETM
자치구로	자치구/NNG+로/JKB
만들겠다"고	만들/VV+겠/EP+다/EF+"/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.165.7.2
대전시 보건복지여성국장과 교통국장, 서구 부구청장을 지낸 풍부한 행정경험과 서구를 직간접적으로 운영해왔다는 점을 앞세워 지지를 호소하고 있다.

대전시	대전시/NNP
보건복지여성국장과	보건/NNG+복지/NNG+여성/NNG+국장/NNG+과/JC
교통국장,	교통/NNG+국장/NNG+,/SP
서구	서구/NNP
부구청장을	부구청장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
풍부한	풍부하/VA+ㄴ/ETM
행정경험과	행정/NNG+경험/NNG+과/JC
서구를	서구/NNP+를/JKO
직간접적으로	직간접/NNG+적/XSN+으로/JKB
운영해왔다는	운영/NNG+하/XSV+아/EC+오/VX+았/EP+다는/ETM
점을	점/NNG+을/JKO
앞세워	앞세우/VV+어/EC
지지를	지지/NNG+를/JKO
호소하고	호소/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.165.8.1
국민중심연합 정주신(程朱信·51) 후보는 한국정치사회연구소장으로 있으며, 훌륭한 교육여건 조성, 문화 관광 중심지 육성 등을 약속하고 있다.

국민중심연합	국민중심연합/NNP
정주신(程朱信·51)	정주신/NNP+(/SS+程朱信/SH+·/SP+51/SN+)/SS
후보는	후보/NNG+는/JX
한국정치사회연구소장으로	한국정치사회연구소장/NNG+으로/JKB
있으며,	있/VA+으며/EC+,/SP
훌륭한	훌륭하/VA+ㄴ/ETM
교육여건	교육/NNG+여건/NNG
조성,	조성/NNG+,/SP
문화	문화/NNG
관광	관광/NNG
중심지	중심지/NNG
육성	육성/NNG
등을	등/NNB+을/JKO
약속하고	약속/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.165.9.1
대규모 아파트촌이 유권자 층의 주류를 이루고 있는 가운데 둔산 지역은 보수정당이, 비둔산 지역은 진보성향의 정당이 강세를 보여 왔다.

대규모	대/XPN+규모/NNG
아파트촌이	아파트촌/NNG+이/JKS
유권자	유권자/NNG
층의	층/NNG+의/JKG
주류를	주류/NNG+를/JKO
이루고	이루/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
둔산	둔산/NNP
지역은	지역/NNG+은/JX
보수정당이,	보수/NNG+정당/NNG+이/JKS+,/SP
비둔산	비/XPN+둔산/NNP
진보성향의	진보/NNG+성향/NNG+의/JKG
정당이	정당/NNG+이/JKS
강세를	강세/NNG+를/JKO
보여	보이/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.165.9.2
판세는 여론조사 결과 자유선진당 박 후보가 다소 앞서는 것으로 나타나고 있다.

판세는	판세/NNG+는/JX
여론조사	여론/NNG+조사/NNG
결과	결과/NNG
자유선진당	자유선진당/NNP
박	박/NNP
후보가	후보/NNG+가/JKS
다소	다소/MAG
앞서는	앞서/VV+는/ETM
것으로	것/NNB+으로/JKB
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.165.9.3
모두 3선을 기록한 가기산 한나라당 현역 구청장, 박병석 민주당 서갑 의원, 이재선 자유선진당 서을 의원의 자존심 대결도 관심거리이다.

모두	모두/MAG
3선을	3/SN+선/NNB+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
가기산	가기산/NNP
한나라당	한나라당/NNP
현역	현역/NNG
구청장,	구청장/NNG+,/SP
박병석	박병석/NNP
민주당	민주당/NNP
서갑	서갑/NNP
의원,	의원/NNG+,/SP
이재선	이재선/NNP
자유선진당	자유선진당/NNP
서을	서을/NNP
의원의	의원/NNG+의/JKG
자존심	자존심/NNG
대결도	대결/NNG+도/JX
관심거리이다.	관심거리/NNG+이/VCP+다/EF+./SF


