# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.302
metadata : {}


# id : NWRW1800000049.302.1.1
[단독] 김무성 “국회 망친 선진화법, 총선전 반드시 개정”

[단독]	[/SS+단독/NNG+]/SS
김무성	김무성/NNP
“국회	“/SS+국회/NNG
망친	망치/VV+ㄴ/ETM
선진화법,	선진/NNG+화/XSN+법/NNG+,/SP
총선전	총선전/NNG
반드시	반드시/MAG
개정”	개정/NNG+”/SS


# id : NWRW1800000049.302.2.1
김무성 대표 본보 단독 인터뷰… “쇼크없이 바뀌겠나” 단독처리 시사

김무성	김무성/NNP
대표	대표/NNG
본보	본보/NNG
단독	단독/NNG
인터뷰…	인터뷰/NNG+…/SE
“쇼크없이	“/SS+쇼크/NNG+없이/MAG
바뀌겠나”	바뀌/VV+겠/EP+나/EF+”/SS
단독처리	단독/NNG+처리/NNG
시사	시사/NNG


# id : NWRW1800000049.302.3.1
새누리당 김무성 대표는 26일 “‘쇼크(충격)’ 없이 국회선진화법이 바뀌겠느냐”며 “4·13총선 전에 반드시 (선진화법 개정을) 마무리 짓겠다”고 밝혔다.

새누리당	새누리당/NNP
김무성	김무성/NNP
대표는	대표/NNG+는/JX
26일	26/SN+일/NNB
“‘쇼크(충격)’	“/SS+‘/SS+쇼크/NNG+(/SS+충격/NNG+)/SS+’/SS
없이	없이/MAG
국회선진화법이	국회/NNG+선진/NNG+화/XSN+법/NNG+이/JKS
바뀌겠느냐”며	바뀌/VV+겠/EP+느냐/EF+”/SS+며/EC
“4·13총선	“/SS+4/SN+·/SP+13/SN+총선/NNG
전에	전/NNG+에/JKB
반드시	반드시/MAG
(선진화법	(/SS+선진/NNG+화/XSN+법/NNG
개정을)	개정/NNG+을/JKO+)/SS
마무리	마무리/NNG
짓겠다”고	짓/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.302.4.1
김 대표는 이날 국회 의원회관에서 가진 동아일보 단독 인터뷰에서 “19대 의원은 잘못한 게 없다.

김	김/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
국회	국회/NNG
의원회관에서	의원/NNG+회관/NNG+에서/JKB
가진	가지/VV+ㄴ/ETM
동아일보	동아일보/NNP
단독	단독/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“19대	“/SS+19/SN+대/NNB
의원은	의원/NNG+은/JX
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.302.4.2
19대 국회가 ‘최악의 국회’라고 욕먹는 건 선진화법 때문”이라며 이같이 말했다.

19대	19/SN+대/NNB
국회가	국회/NNG+가/JKS
‘최악의	‘/SS+최악/NNG+의/JKG
국회’라고	국회/NNG+’/SS+라고/JKQ
욕먹는	욕먹/VV+는/ETM
건	거/NNB+ㄴ/JX
선진화법	선진/NNG+화/XSN+법/NNG
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.302.4.3
정의화 국회의장은 선진화법 개정안을 여야 합의로 처리해야 한다고 강하게 주장했지만 결국 새누리당의 단독 처리가 불가피하다는 얘기다.

정의화	정의화/NNP
국회의장은	국회/NNG+의장/NNG+은/JX
선진화법	선진/NNG+화/XSN+법/NNG
개정안을	개정안/NNG+을/JKO
여야	여야/NNG
합의로	합의/NNG+로/JKB
처리해야	처리/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
강하게	강하/VA+게/EC
주장했지만	주장/NNG+하/XSV+았/EP+지만/EC
결국	결국/MAG
새누리당의	새누리당/NNP+의/JKG
단독	단독/NNG
처리가	처리/NNG+가/JKS
불가피하다는	불가피하/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.302.5.1
김 대표는 4·13총선 결과와 관련해 “선거는 구도 싸움”이라며 “18대(153석), 19대(152석) 총선 때보다 (당선자) 수가 훨씬 많을 것”이라고 자신감을 보였다.

김	김/NNP
대표는	대표/NNG+는/JX
