# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.84
metadata : {}


# id : NWRW1800000038.84.1.1
詩는 죽었다?

詩는	詩/SH+는/JX
죽었다?	죽/VV+었/EP+다/EF+?/SF


# id : NWRW1800000038.84.1.2
'봇' 안에 살아있네

'봇'	'/SS+봇/NNG+'/SS
안에	안/NNG+에/JKB
살아있네	살/VV+아/EC+있/VX+네/EF


# id : NWRW1800000038.84.2.1
본지·예스 24 공동 설문 조사, 좋아하는 트위터 '봇' 물었더니…

본지·예스	본지/NNG+·/SP+예스/NNG
24	24/SN
공동	공동/NNG
설문	설문/NNG
조사,	조사/NNG+,/SP
좋아하는	좋아하/VV+는/ETM
트위터	트위터/NNP
'봇'	'/SS+봇/NNG+'/SS
물었더니…	묻/VV+었/EP+더니/EC+…/SE


# id : NWRW1800000038.84.3.1
원리는 이렇다.

원리는	원리/NNG+는/JX
이렇다.	이렇/VA+다/EF+./SF


# id : NWRW1800000038.84.3.2
일단 많은 분량의 시(詩)를 데이터베이스로 인터넷에 저장한 후, 트위터에 '봇(bot)' 계정을 만든다.

일단	일단/MAG
많은	많/VA+은/ETM
분량의	분량/NNG+의/JKG
시(詩)를	시/NNG+(/SS+詩/SH+)/SS+를/JKO
데이터베이스로	데이터베이스/NNG+로/JKB
인터넷에	인터넷/NNG+에/JKB
저장한	저장/NNG+하/XSV+ㄴ/ETM
후,	후/NNG+,/SP
트위터에	트위터/NNP+에/JKB
'봇(bot)'	'/SS+봇/NNG+(/SS+bot/SL+)/SS+'/SS
계정을	계정/NNG+을/JKO
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.84.3.3
사람이 하는 일은 일정한 시간마다 한 편씩 시가 타임라인에 노출되도록 '설정'하고, 중간중간 새로운 시를 보충하며 관리한다.

사람이	사람/NNG+이/JKS
하는	하/VV+는/ETM
일은	일/NNG+은/JX
일정한	일정/NNG+하/XSA+ㄴ/ETM
시간마다	시간/NNG+마다/JX
한	한/MMN
편씩	편/NNB+씩/XSN
시가	시/NNG+가/JKS
타임라인에	타임라인/NNG+에/JKB
노출되도록	노출/NNG+되/XSV+도록/EC
'설정'하고,	'/SS+설정/NNG+'/SS+하/VV+고/EC+,/SP
중간중간	중간중간/NNG
새로운	새롭/VA+ㄴ/ETM
시를	시/NNG+를/JKO
보충하며	보충/NNG+하/XSV+며/EC
관리한다.	관리/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.84.3.4
이렇게 하면 '시 배달하는 로봇', 시봇(詩bot)이 탄생한다.

이렇게	이렇/VA+게/EC
하면	하/VV+면/EC
'시	'/SS+시/NNG
