# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.243
metadata : {}


# id : NWRW1800000032.243.1.1
“신재민, 법인카드 3장 가운데 일부청와대 직원들이 돌려썼다고 했다”

“신재민,	“/SS+신재민/NNP+,/SP
법인카드	법인/NNG+카드/NNG
3장	3/SN+장/NNB
가운데	가운데/NNG
일부청와대	일부/NNG+청와대/NNP
직원들이	직원/NNG+들/XSN+이/JKS
돌려썼다고	돌려쓰/VV+었/EP+다고/EC
했다”	하/VV+았/EP+다/EF+”/SS


# id : NWRW1800000032.243.2.1
이국철 “호텔·부산 등서 사용…이름은 못들어” 주장

이국철	이국철/NNP
“호텔·부산	“/SS+호텔/NNG+·/SP+부산/NNP
등서	등/NNB+서/JKB
사용…이름은	사용/NNG+…/SE+이름/NNG+은/JX
못들어”	못/MAG+듣/VV+어/EF+”/SS
주장	주장/NNG


# id : NWRW1800000032.243.3.1
검찰, 박영준 전 차관·곽승준 위원장 등 서면 조사

검찰,	검찰/NNG+,/SP
박영준	박영준/NNP
전	전/MMD
차관·곽승준	차관/NNG+·/SP+곽승준/NNP
위원장	위원장/NNG
등	등/NNB
서면	서면/NNG
조사	조사/NNG


# id : NWRW1800000032.243.4.1
신재민(53) 전 문화체육관광부 차관에게 금품을 제공했다고 폭로한 이국철(49) 에스엘에스(SLS)그룹 회장이 신 전 차관에게 제공한 그룹 법인카드 3장 가운데 일부를 청와대 직원들이 돌려썼다는 말을 들었다고 주장했다.

신재민(53)	신재민/NNP+(/SS+53/SN+)/SS
전	전/MMD
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
차관에게	차관/NNG+에게/JKB
금품을	금품/NNG+을/JKO
제공했다고	제공/NNG+하/XSV+았/EP+다고/EC
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
이국철(49)	이국철/NNP+(/SS+49/SN+)/SS
에스엘에스(SLS)그룹	에스엘에스/NNP+(/SS+SLS/SL+)/SS+그룹/NNG
회장이	회장/NNG+이/JKS
신	신/NNP
제공한	제공/NNG+하/XSV+ㄴ/ETM
그룹	그룹/NNG
