# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.220
metadata : {}


# id : NWRW1800000024.220.1.1
‘합창올림픽’ 반토막…신기루 좇은 경남

‘합창올림픽’	‘/SS+합창/NNG+올림픽/NNG+’/SS
반토막…신기루	반토막/NNG+…/SE+신기루/NNG
좇은	좇/VV+은/ETM
경남	경남/NNP


# id : NWRW1800000024.220.2.1
다음달 7일부터 경남에서 열리는 ‘월드콰이어 챔피언십 코리아 2009’의 행사 규모가 예상의 절반에 못 미치게 줄어들었다.

다음달	다음/NNG+달/NNG
7일부터	7/SN+일/NNB+부터/JX
경남에서	경남/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘월드콰이어	‘/SS+월드콰이어/NNG
챔피언십	챔피언십/NNG
코리아	코리아/NNP
2009’의	2009/SN+’/SS+의/JKG
행사	행사/NNG
규모가	규모/NNG+가/JKS
예상의	예상/NNG+의/JKG
절반에	절반/NNG+에/JKB
못	못/MAG
미치게	미치/VV+게/EC
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.220.2.2
‘세계 최대 규모의 합창축제’임을 내세웠으나 세계적인 경제불황과 신종 인플루엔자 사태가 겹치면서 외국팀들의 참가 신청이 저조하기 때문이다.

‘세계	‘/SS+세계/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
합창축제’임을	합창/NNG+축제/NNG+’/SS+이/VCP+ㅁ/ETN+을/JKO
내세웠으나	내세우/VV+었/EP+으나/EC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
경제불황과	경제/NNG+불황/NNG+과/JC
신종	신종/NNG
인플루엔자	인플루엔자/NNG
사태가	사태/NNG+가/JKS
겹치면서	겹치/VV+면서/EC
외국팀들의	외국/NNG+팀/NNG+들/XSN+의/JKG
참가	참가/NNG
신청이	신청/NNG+이/JKS
저조하기	저조/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


