# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.184
metadata : {}


# id : NWRW1800000030.184.1.1
"바늘 도둑이 소도둑 될라"… 지갑에 손댄 자녀를 경찰서 데려간 어머니

"바늘	"/SS+바늘/NNG
도둑이	도둑/NNG+이/JKS
소도둑	소도둑/NNG
될라"…	되/VV+ㄹ라/EF+"/SS+…/SE
지갑에	지갑/NNG+에/JKB
손댄	손대/VV+ㄴ/ETM
자녀를	자녀/NNG+를/JKO
경찰서	경찰서/NNG
데려간	데려가/VV+ㄴ/ETM
어머니	어머니/NNG


# id : NWRW1800000030.184.2.1
•9개월전 1000원 없어졌을 때 "저러다 말겠지" 놔뒀더니 최근에는 8만원 훔쳐"

•9개월전	•/SW+9/SN+개월/NNB+전/NNG
1000원	1000/SN+원/NNB
없어졌을	없어지/VV+었/EP+을/ETM
때	때/NNG
"저러다	"/SS+저러/VV+다/EC
말겠지"	말/VV+겠/EP+지/EF+"/SS
놔뒀더니	놔두/VV+었/EP+더니/EC
최근에는	최근/NNG+에/JKB+는/JX
8만원	8/SN+만/NR+원/NNB
훔쳐"	훔치/VV+어/EF+"/SS


# id : NWRW1800000030.184.3.1
지난 8일 오후 5시 한모(40)씨가 딸 최모(14)양과 아들(10)의 손목을 잡고 서울 종암경찰서로 들어섰다.

지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
한모(40)씨가	한/NNP+모/NP+(/SS+40/SN+)/SS+씨/NNB+가/JKS
딸	딸/NNG
최모(14)양과	최/NNP+모/NP+(/SS+14/SN+)/SS+양/NNB+과/JC
아들(10)의	아들/NNG+(/SS+10/SN+)/SS+의/JKG
손목을	손목/NNG+을/JKO
잡고	잡/VV+고/EC
서울	서울/NNP
종암경찰서로	종암경찰서/NNP+로/JKB
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.3.2
한씨는 낯선 곳을 두리번거리는 아이들을 복도에 세워두고 혼자서 형사과로 들어갔다.

한씨는	한/NNP+씨/NNB+는/JX
낯선	낯설/VA+ㄴ/ETM
곳을	곳/NNG+을/JKO
두리번거리는	두리번거리/VV+는/ETM
아이들을	아이/NNG+들/XSN+을/JKO
복도에	복도/NNG+에/JKB
세워두고	세우/VV+어/EC+두/VX+고/EC
혼자서	혼자/NNG+서/JKS
형사과로	형사과/NNG+로/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.4.1
엄마는 이날 부모의 지갑에서 돈을 훔치는 아이들의 손버릇을 고치기 위해 큰 맘 먹고 경찰서를 찾았다.

엄마는	엄마/NNG+는/JX
이날	이날/NNG
부모의	부모/NNG+의/JKG
지갑에서	지갑/NNG+에서/JKB
돈을	돈/NNG+을/JKO
훔치는	훔치/VV+는/ETM
아이들의	아이/NNG+들/XSN+의/JKG
손버릇을	손버릇/NNG+을/JKO
고치기	고치/VV+기/ETN
위해	위하/VV+아/EC
큰	크/VA+ㄴ/ETM
맘	맘/NNG
먹고	먹/VV+고/EC
경찰서를	경찰서/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.5.1
남매는 지난 3월부터 아빠와 엄마의 지갑에서 1000원짜리 1~2장을 몰래 빼내기 시작했다.

남매는	남매/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
아빠와	아빠/NNG+와/JC
엄마의	엄마/NNG+의/JKG
지갑에서	지갑/NNG+에서/JKB
1000원짜리	1000/SN+원/NNB+짜리/XSN
1~2장을	1/SN+~/SO+2/SN+장/NNB+을/JKO
몰래	몰래/MAG
빼내기	빼내/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.5.2
처음에는 '저러다 말겠지'하고 생각해 크게 혼내지 않았지만 지갑에서 빼내는 금액이 점점 커졌다.

