# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.233
metadata : {}


# id : NWRW1800000046.233.1.1
전인지, 시즌 5승 '시동'

전인지,	전인지/NNP+,/SP
시즌	시즌/NNG
5승	5/SN+승/NNB
'시동'	'/SS+시동/NNG+'/SS


# id : NWRW1800000046.233.2.1
4주만에 국내 투어 출전, MBN오픈 첫날 3언더파… 선두와 두 타차 공동 7위

4주만에	4/SN+주/NNB+만/NNB+에/JKB
국내	국내/NNG
투어	투어/NNG
출전,	출전/NNG+,/SP
MBN오픈	MBN/SL+오픈/NNG
첫날	첫날/NNG
3언더파…	3/SN+언더/NNG+파/NNG+…/SE
선두와	선두/NNG+와/JKB
두	두/MMN
타차	타/NNG+차/NNG
공동	공동/NNG
7위	7/SN+위/NNB


# id : NWRW1800000046.233.3.1
전인지(21)가 오랜만에 국내 투어에 출전해 시즌 5승을 향해 시동을 걸었다.

전인지(21)가	전인지/NNP+(/SS+21/SN+)/SS+가/JKS
오랜만에	오랜만/NNG+에/JKB
국내	국내/NNG
투어에	투어/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
시즌	시즌/NNG
5승을	5/SN+승/NNB+을/JKO
향해	향하/VV+아/EC
시동을	시동/NNG+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.233.4.1
전인지는 20일 경기도 양평의 더 스타휴골프장(파 72·6672야드)에서 열린 한국여자프로골프(KLPGA) 투어 보그너 MBN여자오픈(총상금 5억원) 1라운드에서 버디 6개, 보기 1개, 더블 보기 1개로 중간 합계 3언더파 69타를 기록해 공동 7위에 올랐다.

전인지는	전인지/NNP+는/JX
20일	20/SN+일/NNB
경기도	경기도/NNP
양평의	양평/NNP+의/JKG
더	더/NNP
스타휴골프장(파	스타휴/NNP+골프장/NNG+(/SS+파/NNG
72·6672야드)에서	72/SN+·/SP+6672/SN+야드/NNB+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
한국여자프로골프(KLPGA)	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS
