# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.28
metadata : {}


# id : NWRW1800000028.28.1.1
동영상 소들 광우병 가능성 없다고 단정 못해 /아레사 어머니 vCJD 발언 허위사실 아니다 /한국인 유전적 광우병 취약 객관적 사실 일치

동영상	동영상/NNG
소들	소/NNG+들/XSN
광우병	광우병/NNG
가능성	가능/NNG+성/XSN
없다고	없/VA+다고/EC
단정	단정/NNG
못해	못/MAG+하/VV+아/EC
/아레사	//SP+아레사/NNP
어머니	어머니/NNG
vCJD	vCJD/SL
발언	발언/NNG
허위사실	허위/NNG+사실/NNG
아니다	아니/VCN+다/EF
/한국인	//SP+한국인/NNG
유전적	유전/NNG+적/XSN
취약	취약/NNG
객관적	객관/NNG+적/XSN
사실	사실/NNG
일치	일치/NNG


# id : NWRW1800000028.28.2.1
법원 판결 내용 분석 <문화방송> ‘피디수첩’ 제작진에게 무죄를 선고한 1심 법원은 허위·왜곡보도라며 검찰이 기소한 내용을 모두 “허위사실로 볼 수 없다”며 보도의 객관성을 인정했다.

법원	법원/NNG
판결	판결/NNG
내용	내용/NNG
분석	분석/NNG
<문화방송>	</SS+문화방송/NNP+>/SS
‘피디수첩’	‘/SS+피디/NNG+수첩/NNG+’/SS
제작진에게	제작진/NNG+에게/JKB
무죄를	무죄/NNG+를/JKO
선고한	선고/NNG+하/XSV+ㄴ/ETM
1심	1심/NNG
법원은	법원/NNG+은/JX
허위·왜곡보도라며	허위/NNG+·/SP+왜곡/NNG+보도/NNG+이/VCP+라며/EC
검찰이	검찰/NNG+이/JKS
기소한	기소/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
모두	모두/MAG
“허위사실로	“/SS+허위/NNG+사실/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
보도의	보도/NNG+의/JKG
객관성을	객관/NNG+성/XSN+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.28.2.2
법원은 세부 내용 중에 일부 과장된 부분이 있더라도 의도적 왜곡이나 허위가 아닌 이상 보도의 정당성이 인정된다고 강조했다.

법원은	법원/NNG+은/JX
세부	세부/NNG
내용	내용/NNG
중에	중/NNB+에/JKB
일부	일부/NNG
과장된	과장/NNG+되/XSV+ㄴ/ETM
부분이	부분/NNG+이/JKS
있더라도	있/VA+더라도/EC
의도적	의도/NNG+적/XSN
왜곡이나	왜곡/NNG+이나/JC
허위가	허위/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
이상	이상/NNG
보도의	보도/NNG+의/JKG
정당성이	정당성/NNG+이/JKS
인정된다고	인정/NNG+되/XSV+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.28.2.3
재판부는 검찰이 ‘의도적인 번역과 악의적 왜곡’이라며 처벌을 요구한 사안들을 합리적 사실에 근거한 비판 보도로 인정했다.

재판부는	재판부/NNG+는/JX
검찰이	검찰/NNG+이/JKS
‘의도적인	‘/SS+의도/NNG+적/XSN+이/VCP+ㄴ/ETM
번역과	번역/NNG+과/JC
악의적	악의/NNG+적/XSN
왜곡’이라며	왜곡/NNG+’/SS+이/VCP+라며/EC
처벌을	처벌/NNG+을/JKO
