# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.17
metadata : {}


# id : NWRW1800000052.17.1.1
“안되는 거 빼고 다 된다” 홈케어 서비스 ‘후끈’

“안되는	“/SS+안/MAG+되/XSV+는/ETM
거	거/NNB
빼고	빼/VV+고/EC
다	다/MAG
된다”	되/VV+ㄴ다/EF+”/SS
홈케어	홈케어/NNG
서비스	서비스/NNG
‘후끈’	‘/SS+후끈/MAG+’/SS


# id : NWRW1800000052.17.2.1
매트리스·후드·배관 등 집안 관리

매트리스·후드·배관	매트리스/NNG+·/SP+후드/NNG+·/SP+배관/NNG
등	등/NNB
집안	집안/NNG
관리	관리/NNG


# id : NWRW1800000052.17.3.1
한샘, 에어컨 청소 추가 ‘승부수’

한샘,	한샘/NNP+,/SP
에어컨	에어컨/NNG
청소	청소/NNG
추가	추가/NNG
‘승부수’	‘/SS+승부수/NNG+’/SS


# id : NWRW1800000052.17.4.1
전자랜드·카카오 등 잇따라 가세

전자랜드·카카오	전자랜드/NNP+·/SP+카카오/NNP
등	등/NNB
잇따라	잇따르/VV+아/EC
가세	가세/NNG


# id : NWRW1800000052.17.5.1
홈케어 업체들의 ‘안방 쟁탈전’이 달아오르고 있다.

홈케어	홈케어/NNG
업체들의	업체/NNG+들/XSN+의/JKG
‘안방	‘/SS+안방/NNG
쟁탈전’이	쟁탈전/NNG+’/SS+이/JKS
달아오르고	달아오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.17.5.2
홈케어 시장 진출 기업들이 줄을 잇고, 서비스 종류도 침대 매트리스나 에어컨 등 가정용품 청소에서 수도와 난방 배관 청소, 새집증후군 해결에 이르기까지 다양해지고 있다.

홈케어	홈케어/NNG
시장	시장/NNG
진출	진출/NNG
기업들이	기업/NNG+들/XSN+이/JKS
줄을	줄/NNG+을/JKO
잇고,	잇/VV+고/EC+,/SP
서비스	서비스/NNG
종류도	종류/NNG+도/JX
침대	침대/NNG
매트리스나	매트리스/NNG+나/JC
에어컨	에어컨/NNG
등	등/NNB
가정용품	가정용품/NNG
청소에서	청소/NNG+에서/JKB
수도와	수도/NNG+와/JC
난방	난방/NNG
배관	배관/NNG
청소,	청소/NNG+,/SP
새집증후군	새집/NNG+증후군/NNG
해결에	해결/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
다양해지고	다양/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.17.6.1
홈케어 시장 선두주자인 코웨이는 이 분야의 1분기 매출액이 전년 동기 대비 113% 증가했다고 16일 밝혔다.

홈케어	홈케어/NNG
시장	시장/NNG
선두주자인	선두/NNG+주자/NNG+이/VCP+ㄴ/ETM
코웨이는	코웨이/NNP+는/JX
이	이/MMD
분야의	분야/NNG+의/JKG
1분기	1/SN+분기/NNG
매출액이	매출액/NNG+이/JKS
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
113%	113/SN+%/SW
증가했다고	증가/NNG+하/XSV+았/EP+다고/EC
16일	16/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.17.6.2
매트리스 렌털·관리가 주축인 코웨이 홈케어 사업의 이런 성장 속도는 지난해 분기 평균 성장률(21%)의 5배가 넘는다.

매트리스	매트리스/NNG
렌털·관리가	렌털/NNG+·/SP+관리/NNG+가/JKS
주축인	주축/NNG+이/VCP+ㄴ/ETM
코웨이	코웨이/NNP
홈케어	홈케어/NNG
사업의	사업/NNG+의/JKG
이런	이런/MMD
성장	성장/NNG
속도는	속도/NNG+는/JX
지난해	지난해/NNG
분기	분기/NNG
평균	평균/NNG
성장률(21%)의	성장/NNG+률/XSN+(/SS+21/SN+%/SW+)/SS+의/JKG
