# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.95
metadata : {}


# id : NWRW1800000025.95.1.1
[커버스토리]최신 트렌드·속보 실시간 내 손안에… 국내 SNS는 스마트폰 아니어도 OK

[커버스토리]최신	[/SS+커버스토리/NNG+]/SS+최신/NNG
트렌드·속보	트렌드/NNG+·/SP+속보/NNG
실시간	실시간/NNG
내	나/NP+의/JKG
손안에…	손안/NNG+에/JKB+…/SE
국내	국내/NNG
SNS는	SNS/SL+는/JX
스마트폰	스마트폰/NNG
아니어도	아니/VCN+어도/EC
OK	OK/SL


# id : NWRW1800000025.95.2.1
가입만 놓고 보면 SNS도 여느 웹 사이트와 별반 다를 바 없다.

가입만	가입/NNG+만/JX
놓고	놓/VV+고/EC
보면	보/VX+면/EC
SNS도	SNS/SL+도/JX
여느	여느/MMA
웹	웹/NNG
사이트와	사이트/NNG+와/JKB
별반	별반/MAG
다를	다르/VA+ㄹ/ETM
바	바/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.95.2.2
트위터(www.twitter.com, www.twitterkr.com)는 자기 명의의 게시판에 쓸 영문 주소와 이메일 등을 입력하는 것이 전부다.

트위터(www.twitter.com,	트위터/NNP+(/SS+www/SL+./SP+twitter/SL+./SP+com/SL+,/SP
www.twitterkr.com)는	www/SL+./SP+twitterkr/SL+./SP+com/SL+)/SS+는/JX
자기	자기/NNG
명의의	명의/NNG+의/JKG
게시판에	게시판/NNG+에/JKB
쓸	쓰/VV+ㄹ/ETM
영문	영문/NNG
주소와	주소/NNG+와/JC
이메일	이메일/NNG
등을	등/NNB+을/JKO
입력하는	입력/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
전부다.	전부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.2.3
NHN의 ‘미투데이’(www.me2day.net)나 다음의 ‘요즘’(yozm.daum.net), SK커뮤니케이션즈의 ‘커넥팅’(connect.nate.com) 등 국내 포털업체의 SNS는 기존 아이디를 활용할 수 있어 가입이 매우 쉽다.

NHN의	NHN/SL+의/JKG
‘미투데이’(www.me2day.net)나	‘/SS+미투데이/NNP+’/SS+(/SS+www/SL+./SP+me/SL+2/SN+day/SL+./SP+net/SL+)/SS+나/JC
다음의	다음/NNP+의/JKG
‘요즘’(yozm.daum.net),	‘/SS+요즘/NNG+’/SS+(/SS+yozm/SL+./SP+daum/SL+./SP+net/SL+)/SS+,/SP
SK커뮤니케이션즈의	SK커뮤니케이션즈/NNP+의/JKG
‘커넥팅’(connect.nate.com)	‘/SS+커넥팅/NNG+’/SS+(/SS+connect/SL+./SP+nate/SL+./SP+com/SL+)/SS
등	등/NNB
국내	국내/NNG
포털업체의	포털/NNG+업체/NNG+의/JKG
SNS는	SNS/SL+는/JX
기존	기존/NNG
아이디를	아이디/NNG+를/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
가입이	가입/NNG+이/JKS
매우	매우/MAG
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000025.95.3.1
가입 후 자기 명의로 된 텅 빈 게시판 하나를 보고 당황스러울 수도 있다.

가입	가입/NNG
후	후/NNG
자기	자기/NNG
명의로	명의/NNG+로/JKB
된	되/VV+ㄴ/ETM
텅	텅/MAG
빈	비/VV+ㄴ/ETM
게시판	게시판/NNG
하나를	하나/NR+를/JKO
보고	보/VV+고/EC
당황스러울	당황/NNG+스럽/XSA+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.95.3.2
기자는 일단 트위터에 가입하면서 추천받은 트위터 리스트에서 뉴욕타임스 북리뷰와 영국 프리미어리그 프로축구팀 아스널의 트위터를 찜(팔로잉)하기로 했다.

기자는	기자/NNG+는/JX
일단	일단/MAG
트위터에	트위터/NNP+에/JKB
가입하면서	가입/NNG+하/XSV+면서/EC
추천받은	추천/NNG+받/XSV+은/ETM
트위터	트위터/NNP
리스트에서	리스트/NNG+에서/JKB
뉴욕타임스	뉴욕타임스/NNP
북리뷰와	북/NNG+리뷰/NNG+와/JC
영국	영국/NNP
프리미어리그	프리미어리그/NNG
프로축구팀	프로/NNG+축구팀/NNG
아스널의	아스널/NNP+의/JKG
트위터를	트위터/NNP+를/JKO
찜(팔로잉)하기로	찜/NNG+(/SS+팔로잉/NNG+)/SS+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


