# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.373
metadata : {}


# id : NWRW1800000022.373.1.1
[대구·경북] 호미곶서 철 사진 전시회

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
호미곶서	호미곶/NNP+서/JKB
철	철/NNG
사진	사진/NNG
전시회	전시회/NNG


# id : NWRW1800000022.373.2.1
경북 포항시 호미곶의 국립등대박물관은 다음 달 22일까지 '철이 만들어 내는 행복한 세상' 특별기획전을 연다고 22일 밝혔다.

경북	경북/NNP
포항시	포항시/NNP
호미곶의	호미곶/NNP+의/JKG
국립등대박물관은	국립등대박물관/NNP+은/JX
다음	다음/NNG
달	달/NNG
22일까지	22/SN+일/NNB+까지/JX
'철이	'/SS+철/NNG+이/JKS
만들어	만들/VV+어/EC
내는	내/VX+는/ETM
행복한	행복/NNG+하/XSA+ㄴ/ETM
세상'	세상/NNG+'/SS
특별기획전을	특별/NNG+기획전/NNG+을/JKO
연다고	열/VV+ㄴ다고/EC
22일	22/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.373.3.1
한국철강협회가 지난 6월 9일 '철의 날'을 기념해 실시한 '철강사진 공모전'에서 입상한 작품 60여점을 선보이게 될 이번 전시회에서는 생활에서 유용하게 쓰이는 철의 중요성과 다양한 사용 모습, 철의 아름다움을 선보이게 된다.

한국철강협회가	한국철강협회/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
9일	9/SN+일/NNB
'철의	'/SS+철/NNG+의/JKG
날'을	날/NNG+'/SS+을/JKO
기념해	기념/NNG+하/XSV+아/EC
실시한	실시/NNG+하/XSV+ㄴ/ETM
'철강사진	'/SS+철강/NNG+사진/NNG
공모전'에서	공모전/NNG+'/SS+에서/JKB
입상한	입상/NNG+하/XSV+ㄴ/ETM
작품	작품/NNG
60여점을	60/SN+여/XSN+점/NNB+을/JKO
선보이게	선보이/VV+게/EC
될	되/VV+ㄹ/ETM
이번	이번/NNG
전시회에서는	전시회/NNG+에서/JKB+는/JX
생활에서	생활/NNG+에서/JKB
유용하게	유용/NNG+하/XSA+게/EC
쓰이는	쓰이/VV+는/ETM
철의	철/NNG+의/JKG
중요성과	중요/NNG+성/XSN+과/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
사용	사용/NNG
모습,	모습/NNG+,/SP
아름다움을	아름다움/NNG+을/JKO
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.373.3.2
이와 함께 철에 대한 설명 패널, 철 관련 영상물 등도 함께 선보여 학생 및 가족단위 관람객들에게 흥미롭고 알찬 학습의 장이 될 것으로 박물관측은 내다보고 있다.

이와	이/NP+와/JKB
함께	함께/MAG
철에	철/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명	설명/NNG
패널,	패널/NNG+,/SP
철	철/NNG
관련	관련/NNG
영상물	영상물/NNG
등도	등/NNB+도/JX
선보여	선보이/VV+어/EC
학생	학생/NNG
및	및/MAG
가족단위	가족/NNG+단위/NNG
관람객들에게	관람객/NNG+들/XSN+에게/JKB
흥미롭고	흥미/NNG+롭/XSA+고/EC
알찬	알차/VA+ㄴ/ETM
학습의	학습/NNG+의/JKG
장이	장/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
박물관측은	박물관/NNG+측/NNB+은/JX
내다보고	내다보/VV+고/EC
있다.	있/VX+다/EF+./SF


