# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.148
metadata : {}


# id : NWRW1800000021.148.1.1
기지개 켜는 대형건설사들… 재개발-재건축 수주 경쟁

기지개	기지개/NNG
켜는	켜/VV+는/ETM
대형건설사들…	대형/NNG+건설사/NNG+들/XSN+…/SE
재개발-재건축	재/XPN+개발/NNG+-/SO+재/XPN+건축/NNG
수주	수주/NNG
경쟁	경쟁/NNG


# id : NWRW1800000021.148.2.1
부동산 시장이 회복 조짐을 보이는 가운데 수도권에서 재개발, 재건축사업 물량을 따내려는 대형 건설사들의 경쟁이 다시 불붙고 있다.

부동산	부동산/NNG
시장이	시장/NNG+이/JKS
회복	회복/NNG
조짐을	조짐/NNG+을/JKO
보이는	보이/VV+는/ETM
가운데	가운데/NNG
수도권에서	수도/NNG+권/XSN+에서/JKB
재개발,	재/XPN+개발/NNG+,/SP
재건축사업	재/XPN+건축/NNG+사업/NNG
물량을	물량/NNG+을/JKO
따내려는	따/VV+아/EC+내/VX+려는/ETM
대형	대형/NNG
건설사들의	건설사/NNG+들/XSN+의/JKG
경쟁이	경쟁/NNG+이/JKS
다시	다시/MAG
불붙고	불붙/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.148.2.2
이는 시장 침체로 지분 시세가 떨어지고 사업이 지지부진했던 지난해 말과는 사뭇 다른 상황으로 일반 분양시장에 이어 재개발, 재건축사업도 수익성을 회복할 것이라는 기대감이 반영됐다는 분석이다.

이는	이/NP+는/JX
시장	시장/NNG
침체로	침체/NNG+로/JKB
지분	지분/NNG
시세가	시세/NNG+가/JKS
떨어지고	떨어지/VV+고/EC
사업이	사업/NNG+이/JKS
지지부진했던	지지부진/NNG+하/XSV+았/EP+던/ETM
지난해	지난해/NNG
말과는	말/NNB+과/JKB+는/JX
사뭇	사뭇/MAG
다른	다른/MMD
상황으로	상황/NNG+으로/JKB
일반	일반/NNG
분양시장에	분양/NNG+시장/NNG+에/JKB
이어	잇/VV+어/EC
재개발,	재/XPN+개발/NNG+,/SP
재건축사업도	재/XPN+건축/NNG+사업/NNG+도/JX
수익성을	수익/NNG+성/XSN+을/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대감이	기대감/NNG+이/JKS
반영됐다는	반영/NNG+되/XSV+었/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.148.3.1
이와 관련해 한국건설산업연구원은 4월 건설기업 경기실사지수(CBSI)를 조사한 결과 주택경기 회복의 기대감 등으로 3월보다 7.6포인트 상승한 80을 나타내 21개월 만에 80 선을 회복하면서 5개월 연속 상승했다고 7일 밝혔다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
한국건설산업연구원은	한국건설산업연구원/NNP+은/JX
4월	4/SN+월/NNB
건설기업	건설/NNG+기업/NNG
경기실사지수(CBSI)를	경기/NNG+실사/NNG+지수/NNG+(/SS+CBSI/SL+)/SS+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
주택경기	주택/NNG+경기/NNG
회복의	회복/NNG+의/JKG
기대감	기대감/NNG
등으로	등/NNB+으로/JKB
3월보다	3/SN+월/NNB+보다/JKB
7.6포인트	7/SN+./SP+6/SN+포인트/NNG
