# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.368
metadata : {}


# id : NWRW1800000056.368.1.1
자유한국당 ‘위장협치쇼’ 전면전 채비

자유한국당	자유한국당/NNP
‘위장협치쇼’	‘/SS+위장/NNG+협치/NNG+쇼/NNG+’/SS
전면전	전면전/NNG
채비	채비/NNG


# id : NWRW1800000056.368.2.1
김이수 인준·추경안 연계 밝혀

김이수	김이수/NNP
인준·추경안	인준/NNG+·/SP+추경안/NNG
연계	연계/NNG
밝혀	밝히/VV+어/EF


# id : NWRW1800000056.368.3.1
국민의당 16일 긴급회의 개최

국민의당	국민의당/NNP
16일	16/SN+일/NNB
긴급회의	긴급회의/NNG
개최	개최/NNG


# id : NWRW1800000056.368.4.1
바른정당 “국회 무시하지 말라”

바른정당	바른정당/NNP
“국회	“/SS+국회/NNG
무시하지	무시/NNG+하/XSV+지/EC
말라”	말/VX+라/EF+”/SS


# id : NWRW1800000056.368.5.1
‘국지전’에서 ‘전면전’으로 번질 태세다.

‘국지전’에서	‘/SS+국지전/NNG+’/SS+에서/JKB
‘전면전’으로	‘/SS+전면전/NNG+’/SS+으로/JKB
번질	번지/VV+ㄹ/ETM
태세다.	태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.368.5.2
문재인 대통령이 15일 강경화 외교부 장관 후보자 임명 방침을 밝히자 야당은 문 대통령이 높은 지지도만 믿고 밀어붙이는 ‘여론통치’를 하고 있다며 거세게 반발했다.

문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
15일	15/SN+일/NNB
강경화	강경화/NNP
외교부	외교부/NNG
장관	장관/NNG
후보자	후보자/NNG
임명	임명/NNG
방침을	방침/NNG+을/JKO
밝히자	밝히/VV+자/EC
야당은	야당/NNG+은/JX
문	문/NNP
높은	높/VA+은/ETM
지지도만	지지도/NNG+만/JX
믿고	믿/VV+고/EC
밀어붙이는	밀어붙이/VV+는/ETM
‘여론통치’를	‘/SS+여론/NNG+통치/NNG+’/SS+를/JKO
하고	하/VV+고/EC
있다며	있/VX+다며/EC
거세게	거세/VA+게/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.5.3
22일로 예정된 김이수 헌법재판소장 후보자에 대한 본회의 표결을 비롯해 나머지 국무위원들의 인사청문 등과도 연계시키겠다는 ‘도미노 대응 전략’을 분명히 했다.

22일로	22/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
김이수	김이수/NNP
헌법재판소장	헌법재판소장/NNG
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
본회의	본회의/NNG
표결을	표결/NNG+을/JKO
비롯해	비롯하/VV+아/EC
나머지	나머지/NNG
국무위원들의	국무/NNG+위원/NNG+들/XSN+의/JKG
인사청문	인사/NNG+청문/NNG
등과도	등/NNB+과/JKB+도/JX
연계시키겠다는	연계/NNG+시키/XSV+겠/EP+다는/ETM
‘도미노	‘/SS+도미노/NNG
대응	대응/NNG
전략’을	전략/NNG+’/SS+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.6.1
제1야당인 자유한국당은 “위장 협치쇼”, “소가 웃을 일” 등 격한 표현을 써가며 반발했다.

제1야당인	제/XPN+1/SN+야당/NNG+이/VCP+ㄴ/ETM
자유한국당은	자유한국당/NNP+은/JX
“위장	“/SS+위장/NNG
협치쇼”,	협치/NNG+쇼/NNG+”/SS+,/SP
“소가	“/SS+소/NNG+가/JKS
웃을	웃/VV+을/ETM
일”	일/NNG+”/SS
등	등/NNB
격한	격하/VA+ㄴ/ETM
표현을	표현/NNG+을/JKO
써가며	쓰/VV+어/EC+가/VX+며/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.6.2
정우택 원내대표는 이날 원외당협위원장협의회에 참석해 “협치의 정치를 하겠다던 대통령이 위장 협치쇼로 치닫고 있다”며 “대통령이 인사권을 행사하는데 청문회는 하나의 참고용이라고 한다.

정우택	정우택/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
원외당협위원장협의회에	원외/NNG+당협/NNG+위원장/NNG+협의회/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
“협치의	“/SS+협치/NNG+의/JKG
정치를	정치/NNG+를/JKO
하겠다던	하/VV+겠/EP+다던/ETM
대통령이	대통령/NNG+이/JKS
위장	위장/NNG
협치쇼로	협치/NNG+쇼/NNG+로/JKB
치닫고	치닫/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“대통령이	“/SS+대통령/NNG+이/JKS
인사권을	인사/NNG+권/XSN+을/JKO
행사하는데	행사/NNG+하/XSV+는데/EC
청문회는	청문회/NNG+는/JX
하나의	하나/NR+의/JKG
참고용이라고	참고/NNG+용/XSN+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.368.6.3
그러면 국회는 대통령 인사의 참고기관이냐”고 따졌다.

그러면	그러면/MAJ
국회는	국회/NNG+는/JX
대통령	대통령/NNG
인사의	인사/NNG+의/JKG
참고기관이냐”고	참고/NNG+기관/NNG+이/VCP+냐/EF+”/SS+고/JKQ
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.368.6.4
정 원내대표는 “강경화 밀어붙이기가 현실화한다면 보다 강경한 수단을 강구할 수밖에 없다”며 김이수 후보자 인준안, 추경안, 정부조직법안 처리와 연계시킬 수밖에 없다고 했다.

정	정/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“강경화	“/SS+강경화/NNP
밀어붙이기가	밀어붙이기/NNG+가/JKS
현실화한다면	현실/NNG+화/XSN+하/XSV+ㄴ다면/EC
보다	보다/MAG
강경한	강경/NNG+하/XSA+ㄴ/ETM
수단을	수단/NNG+을/JKO
강구할	강구/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
김이수	김이수/NNP
후보자	후보자/NNG
인준안,	인준안/NNG+,/SP
추경안,	추경안/NNG+,/SP
정부조직법안	정부/NNG+조직/NNG+법안/NNG
처리와	처리/NNG+와/JKB
연계시킬	연계/NNG+시키/XSV+ㄹ/ETM
없다고	없/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.6.5
같은 당의 김정재 원내대변인은 논평에서 “강 후보자가 당차고 멋있는 여성”이라는 문 대통령의 평가에 대해 “소가 웃을 일”이라고도 했다.

같은	같/VA+은/ETM
당의	당/NNG+의/JKG
김정재	김정재/NNP
원내대변인은	원내/NNG+대변인/NNG+은/JX
논평에서	논평/NNG+에서/JKB
“강	“/SS+강/NNP
후보자가	후보자/NNG+가/JKS
당차고	당차/VA+고/EC
멋있는	멋있/VA+는/ETM
여성”이라는	여성/NNG+”/SS+이/VCP+라는/ETM
문	문/NNP
대통령의	대통령/NNG+의/JKG
평가에	평가/NNG+에/JKB
대해	대하/VV+아/EC
“소가	“/SS+소/NNG+가/JKS
웃을	웃/VV+을/ETM
일”이라고도	일/NNG+”/SS+이라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.7.1
국민의당은 16일 광주에서 비상대책위원회 회의를 열 예정이었으나 전면 취소하고 긴급 비상대책위원회-국회의원 연석회의를 열어 ‘강경화 강행’에 대한 대응책을 논의하기로 했다.

국민의당은	국민의당/NNP+은/JX
16일	16/SN+일/NNB
광주에서	광주/NNP+에서/JKB
비상대책위원회	비상/NNG+대책/NNG+위원회/NNG
회의를	회의/NNG+를/JKO
열	열/VV+ㄹ/ETM
예정이었으나	예정/NNG+이/VCP+었/EP+으나/EC
전면	전면/NNG
취소하고	취소/NNG+하/XSV+고/EC
긴급	긴급/NNG
비상대책위원회-국회의원	비상/NNG+대책/NNG+위원회/NNG+-/SO+국회/NNG+의원/NNG
연석회의를	연석회의/NNG+를/JKO
열어	열/VV+어/EC
‘강경화	‘/SS+강경화/NNP
강행’에	강행/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
대응책을	대응책/NNG+을/JKO
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.7.2
국민의당은 당장 김이수 후보자 표결 문제부터 재논의에 들어갈 전망이다.

국민의당은	국민의당/NNP+은/JX
당장	당장/NNG
김이수	김이수/NNP
후보자	후보자/NNG
표결	표결/NNG
문제부터	문제/NNG+부터/JX
재논의에	재/XPN+논의/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.368.7.3
한 의원은 “김이수 후보 자체만으로도 부적절하다는 의견과, 강경화 후보에 대한 대통령의 강행 여부에 따라 반대표를 던져야 한다는 의견이 섞여 있다.

한	한/MMN
의원은	의원/NNG+은/JX
“김이수	“/SS+김이수/NNP
후보	후보/NNG
자체만으로도	자체/NNG+만/JX+으로/JKB+도/JX
부적절하다는	부적절하/VA+다는/ETM
의견과,	의견/NNG+과/JC+,/SP
