# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.329
metadata : {}


# id : NWRW1800000024.329.1.1
‘FTSE 선진지수<파이낸셜 타임스 스톡 익스체인지>’ 편입…한국 증시 독되나 약되나

‘FTSE	‘/SS+FTSE/SL
선진지수<파이낸셜	선진/NNG+지수/NNG+</SS+파이낸셜/NNP
타임스	타임스/NNP
스톡	스톡/NNG
익스체인지>’	익스체인지/NNG+>/SS+’/SS
편입…한국	편입/NNG+…/SE+한국/NNP
증시	증시/NNG
독되나	독/NNG+되/XSV+나/EC
약되나	약/NNG+되/XSV+나/EC


# id : NWRW1800000024.329.2.1
한국 증시가 21일부터 ‘파이낸셜 타임스 스톡 익스체인지’(FTSE·푸치) 선진지수에 편입된다.

한국	한국/NNP
증시가	증시/NNG+가/JKS
21일부터	21/SN+일/NNB+부터/JX
‘파이낸셜	‘/SS+파이낸셜/NNP
타임스	타임스/NNP
스톡	스톡/NNP
익스체인지’(FTSE·푸치)	익스체인지/NNP+’/SS+(/SS+FTSE/SL+·/SP+푸치/NNP+)/SS
선진지수에	선진/NNG+지수/NNG+에/JKB
편입된다.	편입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.329.2.2
이에 따라 상당한 규모의 외국 투자자금이 흘러들 것이라는 기대가 크다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
규모의	규모/NNG+의/JKG
외국	외국/NNG
투자자금이	투자/NNG+자금/NNG+이/JKS
흘러들	흘러들/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대가	기대/NNG+가/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000024.329.2.3
그렇지만 지수에 편입되는 대기업들로 효과가 집중돼 주가 차별화가 심화할 것이라는 지적도 나온다.

그렇지만	그렇지만/MAJ
지수에	지수/NNG+에/JKB
편입되는	편입/NNG+되/XSV+는/ETM
대기업들로	대/XPN+기업/NNG+들/XSN+로/JKB
효과가	효과/NNG+가/JKS
집중돼	집중/NNG+되/XSV+어/EC
주가	주가/NNG
차별화가	차별/NNG+화/XSN+가/JKS
