# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.44
metadata : {}


# id : NWRW1800000032.44.1.1
최태원-김준홍 연결고리 확인…비자금수사 번지나

최태원-김준홍	최태원/NNP+-/SO+김준홍/NNP
연결고리	연결/NNG+고리/NNG
확인…비자금수사	확인/NNG+…/SE+비자금/NNG+수사/NNG
번지나	번지/VV+나/EC


# id : NWRW1800000032.44.2.1
최 회장, 김씨 90억 대출때 보증 드러나

최	최/NNP
회장,	회장/NNG+,/SP
김씨	김/NNP+씨/NNB
90억	90/SN+억/NR
대출때	대출/NNG+때/NNG
보증	보증/NNG
드러나	드러나/VV+아/EC


# id : NWRW1800000032.44.3.1
김씨, SK 일가와 친분·자금관리인으로 지목 받아와

김씨,	김/NNP+씨/NNB+,/SP
SK	SK/SL
일가와	일가/NNG+와/JKB
친분·자금관리인으로	친분/NNG+·/SP+자금/NNG+관리인/NNG+으로/JKB
지목	지목/NNG
받아와	받/VV+아/EC+오/VX+아/EF


# id : NWRW1800000032.44.4.1
최 회장 실소유주 가능성…계열사서 2800억 투자도

최	최/NNP
회장	회장/NNG
실소유주	실소유주/NNG
가능성…계열사서	가능/NNG+성/XSN+…/SE+계열사/NNG+서/JKB
2800억	2800/SN+억/NR
투자도	투자/NNG+도/JX


# id : NWRW1800000032.44.5.1
주가조작 혐의로 재판을 받고 있는 김준홍 베넥스인베스트먼트 전 대표와 최태원 에스케이(SK) 회장과의 직접적인 연결고리가 드러나면서 두 사람의 거래가 어디까지 이어졌는지 궁금증을 더하고 있다.

주가조작	주가/NNG+조작/NNG
혐의로	혐의/NNG+로/JKB
재판을	재판/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
김준홍	김준홍/NNP
베넥스인베스트먼트	베넥스인베스트먼트/NNP
전	전/MMD
대표와	대표/NNG+와/JC
최태원	최태원/NNP
에스케이(SK)	에스케이/NNP+(/SS+SK/SL+)/SS
회장과의	회장/NNG+과/JKB+의/JKG
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
연결고리가	연결/NNG+고리/NNG+가/JKS
드러나면서	드러나/VV+면서/EC
두	두/MMN
사람의	사람/NNG+의/JKG
거래가	거래/NNG+가/JKS
어디까지	어디/NP+까지/JX
이어졌는지	이어지/VV+었/EP+는지/EC
궁금증을	궁금증/NNG+을/JKO
더하고	더/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.44.5.2
검찰은 최 회장이 저축은행들로부터 본인과 다른 사람 명의로 1000억원에 가까운 돈을 빌렸다고 밝힌 바 있어 이 자금의 실소유주가 최 회장일 가능성도 배제하기 힘든 상황이다.

검찰은	검찰/NNG+은/JX
최	최/NNP
회장이	회장/NNG+이/JKS
저축은행들로부터	저축/NNG+은행/NNG+들/XSN+로부터/JKB
본인과	본인/NNG+과/JC
다른	다른/MMD
사람	사람/NNG
명의로	명의/NNG+로/JKB
1000억원에	1000/SN+억/NR+원/NNB+에/JKB
가까운	가깝/VA+ㄴ/ETM
돈을	돈/NNG+을/JKO
빌렸다고	빌리/VV+었/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있어	있/VA+어/EC
이	이/MMD
자금의	자금/NNG+의/JKG
실소유주가	실소유주/NNG+가/JKS
회장일	회장/NNG+이/VCP+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제하기	배제/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.44.6.1
김씨가 주목을 받게 된 것은 지난해 10월 금융감독원이 코스닥 상장사 글로웍스 주가조작 의혹 사건을 고발한 것이 계기가 됐다.

김씨가	김/NNP+씨/NNB+가/JKS
주목을	주목/NNG+을/JKO
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
금융감독원이	금융/NNG+감독원/NNG+이/JKS
코스닥	코스닥/NNP
상장사	상장사/NNG
글로웍스	글로웍스/NNP
주가조작	주가/NNG+조작/NNG
의혹	의혹/NNG
사건을	사건/NNG+을/JKO
고발한	고발/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
계기가	계기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.44.6.2
