# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.50
metadata : {}


# id : NWRW1800000044.50.1.1
지자체장 4인의 농업미래 ‘4색 아이디어’

지자체장	지자체장/NNG
4인의	4/SN+인/NNG+의/JKG
농업미래	농업/NNG+미래/NNG
‘4색	‘/SS+4/SN+색/NNG
아이디어’	아이디어/NNG+’/SS


# id : NWRW1800000044.50.2.1
[한겨레] 24개 단체 주최 ‘대안농정 대토론회’

[한겨레]	[/SS+한겨레/NNP+]/SS
24개	24/SN+개/NNB
단체	단체/NNG
주최	주최/NNG
‘대안농정	‘/SS+대안/NNG+농정/NNG
대토론회’	대/XPN+토론회/NNG+’/SS


# id : NWRW1800000044.50.3.1
안희정·원희룡 지사 등 발언 눈길

안희정·원희룡	안희정/NNP+·/SP+원희룡/NNP
지사	지사/NNG
등	등/NNB
발언	발언/NNG
눈길	눈길/NNG


# id : NWRW1800000044.50.4.1
‘농(農)의 새로운 미래-지역, 청춘, 그리고 도농연대의 비상’을 주제로 27일 서울 대방동 서울여성플라자에서 연 ‘2014 대안농정 대토론회’에서는 농업·농촌의 미래에 관한 다양한 의견이 쏟아졌다.

‘농(農)의	‘/SS+농/NA+(/SS+農/SH+)/SS+의/JKG
새로운	새롭/VA+ㄴ/ETM
미래-지역,	미래/NNG+-/SO+지역/NNG+,/SP
청춘,	청춘/NNG+,/SP
그리고	그리고/MAJ
도농연대의	도농/NNG+연대/NNG+의/JKG
비상’을	비상/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
27일	27/SN+일/NNB
서울	서울/NNP
대방동	대방동/NNP
서울여성플라자에서	서울여성플라자/NNP+에서/JKB
연	열/VV+ㄴ/ETM
‘2014	‘/SS+2014/SN
대안농정	대안/NNG+농정/NNG
대토론회’에서는	대/XPN+토론회/NNG+’/SS+에서/JKB+는/JX
농업·농촌의	농업/NNG+·/SP+농촌/NNG+의/JKG
미래에	미래/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
의견이	의견/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.50.5.1
국민농업포럼, 지역농업네트워크, 지역재단, 한겨레경제연구소 등 24개 단체들이 조직해 올해로 네번째 연 이날 토론회는 쌀 관세화, 한-중 자유무역협정(FTA) 체결, 농산물 가격 폭락 등으로 위기를 맞고 있는 한국 농업의 활로를 모색하는 자리였다.

국민농업포럼,	국민농업포럼/NNP+,/SP
지역농업네트워크,	지역/NNG+농업/NNG+네트워크/NNG+,/SP
지역재단,	지역/NNG+재단/NNG+,/SP
한겨레경제연구소	한겨레경제연구소/NNP
등	등/NNB
24개	24/SN+개/NNB
단체들이	단체/NNG+들/XSN+이/JKS
조직해	조직/NNG+하/XSV+아/EC
올해로	올해/NNG+로/JKB
네번째	네/MMN+번/NNB+째/XSN
연	열/VV+ㄴ/ETM
이날	이날/NNG
토론회는	토론회/NNG+는/JX
쌀	쌀/NNG
관세화,	관세/NNG+화/XSN+,/SP
한-중	한-중/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
체결,	체결/NNG+,/SP
농산물	농산물/NNG
가격	가격/NNG
폭락	폭락/NNG
등으로	등/NNB+으로/JKB
위기를	위기/NNG+를/JKO
맞고	맞/VV+고/EC
있는	있/VX+는/ETM
한국	한국/NNP
농업의	농업/NNG+의/JKG
