# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.307
metadata : {}


# id : NWRW1800000026.307.1.1
[수도권I] 태풍에 떨어진 포도, 싸게 팝니다;수원에 직거래장터 개설

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
태풍에	태풍/NNG+에/JKB
떨어진	떨어지/VV+ㄴ/ETM
포도,	포도/NNG+,/SP
싸게	싸/VA+게/EC
팝니다;수원에	팔/VV+ㅂ니다/EF+;/SW+수원/NNP+에/JKB
직거래장터	직거래/NNG+장터/NNG
개설	개설/NNG


# id : NWRW1800000026.307.2.1
태풍 곤파스로 피해를 입은 포도 농가를 위한 직거래 장터가 수원에서 열린다.

태풍	태풍/NNG
곤파스로	곤파스/NNG+로/JKB
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
포도	포도/NNG
농가를	농가/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
직거래	직거래/NNG
장터가	장터/NNG+가/JKS
수원에서	수원/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.307.3.1
수원시(시장 염태영)는 오는 11~12일 이틀간 권선구 구운동 수원농수산물종합유통센터에서 화성 포도 직거래 장터를 운영한다.

수원시(시장	수원시/NNP+(/SS+시장/NNG
염태영)는	염태영/NNP+)/SS+는/JX
오는	오/VV+는/ETM
11~12일	11/SN+~/SO+12/SN+일/NNB
이틀간	이틀/NNG+간/XSN
권선구	권선구/NNP
구운동	구운동/NNP
수원농수산물종합유통센터에서	수원농수산물종합유통센터/NNP+에서/JKB
화성	화성/NNP
포도	포도/NNG
직거래	직거래/NNG
장터를	장터/NNG+를/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.307.3.2
직거래 장터에서는 화성포도영농조합 생산자들이 직접 나서 태풍 피해를 입은 포도를 5kg당 1만5000원에 판매할 예정이다.

직거래	직거래/NNG
장터에서는	장터/NNG+에서/JKB+는/JX
화성포도영농조합	화성포도영농조합/NNP
생산자들이	생산자/NNG+들/XSN+이/JKS
직접	직접/MAG
나서	나서/VV+어/EC
태풍	태풍/NNG
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
포도를	포도/NNG+를/JKO
5kg당	5/SN+kg/SW+당/XSN
1만5000원에	1/SN+만/NR+5000/SN+원/NNB+에/JKB
판매할	판매/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.307.3.3
이들 포도는 착색이 부족해 색감이 조금 떨어질 뿐 맛에는 이상이 없다.

이들	이/NP+들/XSN
포도는	포도/NNG+는/JX
착색이	착색/NNG+이/JKS
부족해	부족/NNG+하/XSA+아/EC
색감이	색감/NNG+이/JKS
조금	조금/MAG
떨어질	떨어지/VV+ㄹ/ETM
뿐	뿐/NNB
맛에는	맛/NNG+에/JKB+는/JX
이상이	이상/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.307.3.4
피해 농가들은 수확기를 앞두고 태풍 피해를 입어 포도가 당도는 정상품과 비슷하지만 상품성이 다소 떨어져 일반판매가 어려운 실정이다.

피해	피해/NNG
농가들은	농가/NNG+들/XSN+은/JX
수확기를	수확기/NNG+를/JKO
앞두고	앞두/VV+고/EC
태풍	태풍/NNG
피해를	피해/NNG+를/JKO
입어	입/VV+어/EC
포도가	포도/NNG+가/JKS
당도는	당도/NNG+는/JX
정상품과	정상품/NNG+과/JKB
비슷하지만	비슷하/VA+지만/EC
상품성이	상품/NNG+성/XSN+이/JKS
다소	다소/MAG
떨어져	떨어지/VV+어/EC
일반판매가	일반/NNG+판매/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.307.4.1
이 때문에 농민들은 포도를 생산비에도 못 미치는 헐값으로 가공 공장에 처분하고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
농민들은	농민/NNG+들/XSN+은/JX
포도를	포도/NNG+를/JKO
생산비에도	생산비/NNG+에/JKB+도/JX
못	못/MAG
미치는	미치/VV+는/ETM
헐값으로	헐값/NNG+으로/JKB
가공	가공/NNG
공장에	공장/NNG+에/JKB
처분하고	처분/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.307.4.2
시는 이번 직거래 장터가 어려움에 처한 농민을 돕고 가정에서는 싼 가격에 맛 좋은 화성 포도를 구입할 수 있는 기회라고 설명했다.

시는	시/NNG+는/JX
이번	이번/NNG
직거래	직거래/NNG
장터가	장터/NNG+가/JKS
어려움에	어려움/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
농민을	농민/NNG+을/JKO
돕고	돕/VV+고/EC
가정에서는	가정/NNG+에서/JKB+는/JX
싼	싸/VA+ㄴ/ETM
가격에	가격/NNG+에/JKB
맛	맛/NNG
좋은	좋/VA+은/ETM
화성	화성/NNP
포도를	포도/NNG+를/JKO
구입할	구입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회라고	기회/NNG+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.307.4.3
☎(031)228-3309

☎(031)228-3309	☎/SW+(/SS+031/SN+)/SS+228/SN+-/SO+3309/SN


