# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.96
metadata : {}


# id : NWRW1800000036.96.1.1
‘무슬림의 무지’ 콥트교도가 만들었다

‘무슬림의	‘/SS+무슬림/NNG+의/JKG
무지’	무지/NNG+’/SS
콥트교도가	콥트/NNP+교도/NNG+가/JKS
만들었다	만들/VV+었/EP+다/EF


# id : NWRW1800000036.96.2.1
[한겨레] 애초 동영상 제작 알려졌던

[한겨레]	[/SS+한겨레/NNP+]/SS
애초	애초/NNG
동영상	동영상/NNG
제작	제작/NNG
알려졌던	알려지/VV+었/EP+던/ETM


# id : NWRW1800000036.96.3.1
유대계 미국인은 가공 인물

유대계	유대/NNP+계/XSN
미국인은	미국인/NNG+은/JX
가공	가공/NNG
인물	인물/NNG


# id : NWRW1800000036.96.4.1
출연·제작진 “속았다” 성명

출연·제작진	출연/NNG+·/SP+제작진/NNG
“속았다”	“/SS+속/VV+았/EP+다/EF+”/SS
성명	성명/NNG


# id : NWRW1800000036.96.5.1
*콥트교 : 이집트서 생긴 기독교 분파

*콥트교	*/SW+콥트교/NNG
:	:/SP
이집트서	이집트/NNP+서/JKB
생긴	생기/VV+ㄴ/ETM
기독교	기독교/NNG
분파	분파/NNG


# id : NWRW1800000036.96.6.1
리비아 주재 미국 대사 피살 사건의 불씨를 제공한 14분짜리 영상물 <무슬림의 무지>를 제작한 사람은 애초 알려진 것과 달리 ‘나쿨라 배슬리 나쿨라’라는 이름의 콥트 기독교인인 것으로 드러났다.

리비아	리비아/NNP
주재	주재/NNG
미국	미국/NNP
대사	대사/NNG
피살	피살/NNG
사건의	사건/NNG+의/JKG
불씨를	불씨/NNG+를/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
14분짜리	14/SN+분/NNB+짜리/XSN
영상물	영상물/NNG
<무슬림의	</SS+무슬림/NNG+의/JKG
무지>를	무지/NNG+>/SS+를/JKO
제작한	제작/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
애초	애초/NNG
알려진	알려지/VV+ㄴ/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
‘나쿨라	‘/SS+나쿨라/NNP
배슬리	배슬리/NNP
나쿨라’라는	나쿨라/NNP+’/SS+이/VCP+라는/ETM
이름의	이름/NNG+의/JKG
콥트	콥트/NNP
기독교인인	기독교인/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.96.6.2
<에이피>(AP) 통신은 익명을 요구한 한 관리의 말을 인용해 미국 사법당국이 그가 이 영상물을 만들었다는 것을 확인했다고 13일(현지시각) 전했다.

<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신은	통신/NNG+은/JX
익명을	익명/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
한	한/MMN
관리의	관리/NNG+의/JKG
말을	말/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
미국	미국/NNP
사법당국이	사법/NNG+당국/NNG+이/JKS
그가	그/NP+가/JKS
이	이/MMD
영상물을	영상물/NNG+을/JKO
만들었다는	만들/VV+었/EP+다는/ETM
것을	것/NNB+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
13일(현지시각)	13/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.96.6.3
애초 이 영상물은 ‘샘 배실’이라는 이름의 이스라엘 출신 유대계 미국인으로 알려졌으나 그는 나쿨라가 만든 가공의 인물인 것으로 알려졌다.

애초	애초/NNG
이	이/MMD
영상물은	영상물/NNG+은/JX
‘샘	‘/SS+샘/NNP
배실’이라는	배실/NNP+’/SS+이/VCP+라는/ETM
이름의	이름/NNG+의/JKG
이스라엘	이스라엘/NNP
출신	출신/NNG
유대계	유대/NNP+계/XSN
미국인으로	미국인/NNG+으로/JKB
알려졌으나	알려지/VV+었/EP+으나/EC
그는	그/NP+는/JX
나쿨라가	나쿨라/NNP+가/JKS
만든	만들/VV+ㄴ/ETM
가공의	가공/NNG+의/JKG
인물인	인물/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.96.7.1
원래부터 이 영상물의 제작자는 베일에 싸여 있었다.

원래부터	원래/NNG+부터/JX
이	이/MMD
영상물의	영상물/NNG+의/JKG
제작자는	제작자/NNG+는/JX
베일에	베일/NNG+에/JKB
싸여	싸이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.96.7.2
샘 배실이란 인물은 미국과 이스라엘의 정부 기록에 존재하지 않았다.

샘	샘/NNP
배실이란	배실/NNP+이/VCP+란/ETM
인물은	인물/NNG+은/JX
미국과	미국/NNP+과/JC
이스라엘의	이스라엘/NNP+의/JKG
정부	정부/NNG
기록에	기록/NNG+에/JKB
존재하지	존재/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.96.7.3
이 인물과 휴대전화로 지난주 통화했다는 <월스트리트 저널>은 “샘 배실이 스스로 이스라엘계 미국인이며 유대인계 자금 지원을 받았다고 밝혔으나, 피습 사건 이후 확인한 결과 미국과 이스라엘에 이런 인물이 존재하지 않았다”고 전했다.

이	이/MMD
인물과	인물/NNG+과/JKB
휴대전화로	휴대/NNG+전화/NNG+로/JKB
지난주	지난주/NNG
통화했다는	통화/NNG+하/XSV+았/EP+다는/ETM
<월스트리트	</SS+월스트리트/NNP
저널>은	저널/NNP+>/SS+은/JX
“샘	“/SS+샘/NNP
배실이	배실/NNP+이/JKS
스스로	스스로/MAG
이스라엘계	이스라엘/NNP+계/XSN
미국인이며	미국인/NNG+이/VCP+며/EC
유대인계	유대인/NNP+계/XSN
자금	자금/NNG
지원을	지원/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
밝혔으나,	밝히/VV+었/EP+으나/EC+,/SP
피습	피습/NNG
사건	사건/NNG
이후	이후/NNG
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
미국과	미국/NNP+과/JC
이스라엘에	이스라엘/NNP+에/JKB
이런	이런/MMD
인물이	인물/NNG+이/JKS
존재하지	존재/NNG+하/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.96.8.1
이 인물의 휴대전화를 추적한 <에이피> 통신은 이 전화가 로스앤젤레스에 사는 ‘나쿨라 배슬리 나쿨라’라는 사람의 이름으로 등록돼 있는 것을 확인했고, 나쿨라는 이 영상물 제작에 필요한 각종 물품을 제공했으며, 콥트 기독교인이라고 자신을 소개했지만 샘 배실은 아니라고 부인했다.

이	이/MMD
인물의	인물/NNG+의/JKG
휴대전화를	휴대/NNG+전화/NNG+를/JKO
추적한	추적/NNG+하/XSV+ㄴ/ETM
<에이피>	</SS+에이피/NNP+>/SS
통신은	통신/NNG+은/JX
전화가	전화/NNG+가/JKS
로스앤젤레스에	로스앤젤레스/NNP+에/JKB
사는	살/VV+는/ETM
‘나쿨라	‘/SS+나쿨라/NNP
배슬리	배슬리/NNP
나쿨라’라는	나쿨라/NNP+’/SS+이/VCP+라는/ETM
사람의	사람/NNG+의/JKG
이름으로	이름/NNG+으로/JKB
등록돼	등록/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
확인했고,	확인/NNG+하/XSV+았/EP+고/EC+,/SP
나쿨라는	나쿨라/NNP+는/JX
영상물	영상물/NNG
제작에	제작/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
각종	각종/NNG
물품을	물품/NNG+을/JKO
제공했으며,	제공/NNG+하/XSV+았/EP+으며/EC+,/SP
콥트	콥트/NNP
기독교인이라고	기독교인/NNG+이/VCP+라고/EC
자신을	자신/NNG+을/JKO
소개했지만	소개/NNG+하/XSV+았/EP+지만/EC
샘	샘/NNP
배실은	배실/NNP+은/JX
아니라고	아니/VCN+라고/EC
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.96.8.2
콥트 교회는 이집트에서 자생적으로 발전한 기독교 분파로 무슬림과 갈등의 골이 깊다.

콥트	콥트/NNP
교회는	교회/NNG+는/JX
이집트에서	이집트/NNP+에서/JKB
자생적으로	자생/NNG+적/XSN+으로/JKB
발전한	발전/NNG+하/XSV+ㄴ/ETM
기독교	기독교/NNG
분파로	분파/NNG+로/JKB
무슬림과	무슬림/NNG+과/JKB
갈등의	갈등/NNG+의/JKG
골이	골/NNG+이/JKS
깊다.	깊/VA+다/EF+./SF


# id : NWRW1800000036.96.9.1
한편, 이 영화의 출연자와 제작진은 성명을 통해 “영화의 각본이 많이 수정되는 등 우리 모두 속았다는 사실을 알게 돼 충격을 받았다”고 주장했다.

한편,	한편/MAG+,/SP
이	이/MMD
영화의	영화/NNG+의/JKG
출연자와	출연자/NNG+와/JC
제작진은	제작진/NNG+은/JX
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
“영화의	“/SS+영화/NNG+의/JKG
