# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.106
metadata : {}


# id : NWRW1800000022.106.1.1
[고위 공직자 재산공개]실세도 株價 쇼크… 정몽준 2조, 이상득 12억 격감

[고위	[/SS+고위/NNG
공직자	공직자/NNG
재산공개]실세도	재산/NNG+공개/NNG+]/SS+실세/NNG+도/JX
株價	株價/SH
쇼크…	쇼크/NNG+…/SE
정몽준	정몽준/NNP
2조,	2/SN+조/NR+,/SP
이상득	이상득/NNP
12억	12/SN+억/NR
격감	격감/NNG


# id : NWRW1800000022.106.2.1
정권의 실세인 한나라당 의원들은 권력이 늘어난 만큼 재산도 늘었을까?

정권의	정권/NNG+의/JKG
실세인	실세/NNG+이/VCP+ㄴ/ETM
한나라당	한나라당/NNP
의원들은	의원/NNG+들/XSN+은/JX
권력이	권력/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
만큼	만큼/NNB
재산도	재산/NNG+도/JX
늘었을까?	늘/VV+었/EP+을까/EF+?/SF


# id : NWRW1800000022.106.3.1
대통령의 형 이상득 의원은 주가 하락의 직격탄을 맞았다.

대통령의	대통령/NNG+의/JKG
형	형/NNG
이상득	이상득/NNP
의원은	의원/NNG+은/JX
주가	주가/NNG
하락의	하락/NNG+의/JKG
직격탄을	직격탄/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.106.3.2
삼성증권 계좌의 잔고가 15억원으로 지난해에 비해 12억원이 줄어들었다.

삼성증권	삼성증권/NNP
계좌의	계좌/NNG+의/JKG
잔고가	잔고/NNG+가/JKS
15억원으로	15/SN+억/NR+원/NNB+으로/JKB
지난해에	지난해/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
12억원이	12/SN+억/NR+원/NNB+이/JKS
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.106.3.3
재산 총액으로도 12억6000만원이 줄어든 82억2887만원을 신고했다.

재산	재산/NNG
총액으로도	총액/NNG+으로/JKB+도/JX
12억6000만원이	12/SN+억/NR+6000/SN+만/NR+원/NNB+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
82억2887만원을	82/SN+억/NR+2887/SN+만/NR+원/NNB+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.106.4.1
친이 직계로 분류되는 정두언 의원은 작년보다 42.3%(2억6438만원) 늘어난 8억8820만원을 신고했다.

친이	친/XPN+이/NNP
직계로	직계/NNG+로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
정두언	정두언/NNP
의원은	의원/NNG+은/JX
작년보다	작년/NNG+보다/JKB
42.3%(2억6438만원)	42/SN+./SP+3/SN+%/SW+(/SS+2/SN+억/NR+6438/SN+만/NR+원/NNB+)/SS
늘어난	늘어나/VV+ㄴ/ETM
8억8820만원을	8/SN+억/NR+8820/SN+만/NR+원/NNB+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.106.4.2
부인과 본인 소유의 땅값이 1억원 넘게 올랐고, 부인의 화랑 수입 등으로 빚도 많이 갚았다.

부인과	부인/NNG+과/JC
본인	본인/NNG
소유의	소유/NNG+의/JKG
땅값이	땅값/NNG+이/JKS
1억원	1/SN+억/NR+원/NNB
넘게	넘/VV+게/EC
올랐고,	오르/VV+았/EP+고/EC+,/SP
부인의	부인/NNG+의/JKG
화랑	화랑/NNG
수입	수입/NNG
등으로	등/NNB+으로/JKB
빚도	빚/NNG+도/JX
많이	많이/MAG
갚았다.	갚/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.106.5.1
지난해 재산 등록 때 1억2000만원을 등록해 친이 직계 중 가장 '가난'했던 조해진 의원은 8000만원에 이르는 정치 후원금과 약 2000만원의 의원실 운영비 통장이 본인 명의로 개설되면서 재산이 161% 늘어나 2억9000만원이었다.

지난해	지난해/NNG
재산	재산/NNG
등록	등록/NNG
때	때/NNG
1억2000만원을	1/SN+억/NR+2000/SN+만/NR+원/NNB+을/JKO
등록해	등록/NNG+하/XSV+아/EC
친이	친/XPN+이/NNP
직계	직계/NNG
중	중/NNB
가장	가장/MAG
'가난'했던	'/SS+가난/NNG+'/SS+하/XSA+았/EP+던/ETM
조해진	조해진/NNP
의원은	의원/NNG+은/JX
8000만원에	8000/SN+만/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
정치	정치/NNG
후원금과	후원금/NNG+과/JC
약	약/MMA
2000만원의	2000/SN+만/NR+원/NNB+의/JKG
의원실	의원실/NNG
