# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.119
metadata : {}


# id : NWRW1800000024.119.1.1
오바마, 취임뒤 첫 이라크 방문

오바마,	오바마/NNP+,/SP
취임뒤	취임/NNG+뒤/NNG
첫	첫/MMN
이라크	이라크/NNP
방문	방문/NNG


# id : NWRW1800000024.119.2.1
버락 오바마 미국 대통령이 7일 이라크 바그다드를 깜짝 방문했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
7일	7/SN+일/NNB
이라크	이라크/NNP
바그다드를	바그다드/NNP+를/JKO
깜짝	깜짝/MAG
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.119.2.2
자신이 대통령 후보 시절부터 반대했던 ‘이라크 전쟁’의 현실을 살펴보기 위해, 미군 최고 통수권자가 된 뒤 처음으로 그 현장을 방문한 것이다.

자신이	자신/NNG+이/JKS
대통령	대통령/NNG
후보	후보/NNG
시절부터	시절/NNG+부터/JX
반대했던	반대/NNG+하/XSV+았/EP+던/ETM
‘이라크	‘/SS+이라크/NNP
전쟁’의	전쟁/NNG+’/SS+의/JKG
현실을	현실/NNG+을/JKO
살펴보기	살펴보/VV+기/ETN
위해,	위하/VV+아/EC+,/SP
미군	미군/NNG
최고	최고/NNG
통수권자가	통수권자/NNG+가/JKC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
처음으로	처음/NNG+으로/JKB
그	그/MMD
현장을	현장/NNG+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.119.3.1
오바마 대통령은 바그다드의 미군 기지 캠프 빅토리에서 이라크 주둔 미군 병사들을 향해 연설하면서 “이라크인들에게 변화의 시간”이 왔다며, 이라크인들이 조국을 책임져야 할 때가 됐다고 말했다고 <에이피>(AP) 통신이 보도했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
바그다드의	바그다드/NNP+의/JKG
미군	미군/NNG
기지	기지/NNG
캠프	캠프/NNP
빅토리에서	빅토리/NNP+에서/JKB
이라크	이라크/NNP
주둔	주둔/NNG
병사들을	병사/NNG+들/XSN+을/JKO
향해	향하/VV+아/EC
연설하면서	연설/NNG+하/XSV+면서/EC
“이라크인들에게	“/SS+이라크인/NNG+들/XSN+에게/JKB
변화의	변화/NNG+의/JKG
시간”이	시간/NNG+”/SS+이/JKS
왔다며,	오/VV+았/EP+다며/EC+,/SP
이라크인들이	이라크인/NNG+들/XSN+이/JKS
조국을	조국/NNG+을/JKO
책임져야	책임지/VV+어야/EC
할	하/VX+ㄹ/ETM
때가	때/NNG+가/JKC
됐다고	되/VV+었/EP+다고/EC
말했다고	말/NNG+하/XSV+았/EP+다고/EC
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신이	통신/NNG+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.119.3.2
오바마는 이라크전을 끝내겠다며 대부분의 병사들을 내년 여름까지 집으로 돌려보내겠다고 약속했다.

오바마는	오바마/NNP+는/JX
이라크전을	이라크전/NNG+을/JKO
끝내겠다며	끝내/VV+겠/EP+다며/EC
대부분의	대/XPN+부분/NNG+의/JKG
병사들을	병사/NNG+들/XSN+을/JKO
내년	내년/NNG
여름까지	여름/NNG+까지/JX
집으로	집/NNG+으로/JKB
돌려보내겠다고	돌려보내/VV+겠/EP+다고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.119.3.3
하지만, “이라크에서 해야할 많은 일들이 남아 있다”며 앞으로 18개월이 중요하다고 말하기도 했다.

하지만,	하지만/MAJ+,/SP
“이라크에서	“/SS+이라크/NNP+에서/JKB
해야할	하/VV+아야/EC+하/VX+ㄹ/ETM
많은	많/VA+은/ETM
일들이	일/NNG+들/XSN+이/JKS
남아	남/VV+아/EC
있다”며	있/VX+다/EF+”/SS+며/EC
앞으로	앞/NNG+으로/JKB
18개월이	18/SN+개월/NNB+이/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
말하기도	말/NNG+하/XSV+기/ETN+도/JX
