# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.196
metadata : {}


# id : NWRW1800000030.196.1.1
배드민턴 세대교체 '성적표' 나온다

배드민턴	배드민턴/NNG
세대교체	세대교체/NNG
'성적표'	'/SS+성적표/NNG+'/SS
나온다	나오/VV+ㄴ다/EF


# id : NWRW1800000030.196.2.1
•빅터 코리아오픈 수퍼시리즈 개막… 이용대, 에이스로 떠올라

•빅터	•/SW+빅터/NNP
코리아오픈	코리아/NNP+오픈/NNG
수퍼시리즈	수퍼/NNG+시리즈/NNG
개막…	개막/NNG+…/SE
이용대,	이용대/NNP+,/SP
에이스로	에이스/NNG+로/JKB
떠올라	떠오르/VV+아/EF


# id : NWRW1800000030.196.3.1
올림픽에서 효자 노릇을 톡톡히 한 배드민턴은 현재 세대교체 중이다.

올림픽에서	올림픽/NNG+에서/JKB
효자	효자/NNG
노릇을	노릇/NNG+을/JKO
톡톡히	톡톡히/MAG
한	하/VV+ㄴ/ETM
배드민턴은	배드민턴/NNG+은/JX
현재	현재/MAG
세대교체	세대교체/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.196.3.2
여자 복식과 혼합복식에서 활약한 이효정(30)과 이경원(31)이 광저우 아시안게임 뒤 나란히 은퇴하면서 이용대(23)가 명실상부한 대표팀 에이스로 성장했다.

여자	여자/NNG
복식과	복식/NNG+과/JC
혼합복식에서	혼합/NNG+복식/NNG+에서/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
이효정(30)과	이효정/NNP+(/SS+30/SN+)/SS+과/JC
이경원(31)이	이경원/NNP+(/SS+31/SN+)/SS+이/JKS
광저우	광저우/NNP
아시안게임	아시안/NNP+게임/NNG
뒤	뒤/NNG
나란히	나란히/MAG
은퇴하면서	은퇴/NNG+하/XSV+면서/EC
이용대(23)가	이용대/NNP+(/SS+23/SN+)/SS+가/JKS
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
대표팀	대표/NNG+팀/NNG
에이스로	에이스/NNG+로/JKB
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.196.4.1
25일 개막한 빅터 코리아오픈 수퍼시리즈 프리미어는 한국 배드민턴의 현주소를 볼 수 있는 대회다.

25일	25/SN+일/NNB
개막한	개막/NNG+하/XSV+ㄴ/ETM
빅터	빅터/NNP
코리아오픈	코리아/NNP+오픈/NNG
수퍼시리즈	수퍼/NNG+시리즈/NNG
프리미어는	프리미어/NNG+는/JX
한국	한국/NNP
배드민턴의	배드민턴/NNG+의/JKG
현주소를	현주소/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대회다.	대회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.196.4.2
세계 배드민턴의 한 시즌은 수퍼시리즈 프리미어, 수퍼시리즈, 그랑프리, 챌린지 대회로 구성되는데 그 중 메이저대회에 해당하는 수퍼시리즈 프리미어는 한 해 5번 열린다.

세계	세계/NNG
배드민턴의	배드민턴/NNG+의/JKG
한	한/MMN
시즌은	시즌/NNG+은/JX
수퍼시리즈	수퍼/NNG+시리즈/NNG
프리미어,	프리미어/NNG+,/SP
수퍼시리즈,	수퍼/NNG+시리즈/NNG+,/SP
그랑프리,	그랑프리/NNG+,/SP
챌린지	챌린지/NNG
대회로	대회/NNG+로/JKB
구성되는데	구성/NNG+되/XSV+는데/EC
그	그/MMD
중	중/NNB
메이저대회에	메이저/NNG+대회/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
프리미어는	프리미어/NNG+는/JX
해	해/NNB
5번	5/SN+번/NNB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.196.5.1
코리아오픈엔 가장 많은 상금이 걸려 있다.

코리아오픈엔	코리아/NNP+오픈/NNG+에/JKB+ㄴ/JX
가장	가장/MAG
많은	많/VA+은/ETM
상금이	상금/NNG+이/JKS
걸려	걸리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.196.5.2
20회째를 맞은 올해엔 총상금 120만달러(약 13억원)를 놓고 세계 톱랭커들이 맞붙는다.

20회째를	20/SN+회/NNB+째/XSN+를/JKO
맞은	맞/VV+은/ETM
올해엔	올해/NNG+에/JKB+ㄴ/JX
총상금	총상금/NNG
120만달러(약	120/SN+만/NR+달러/NNB+(/SS+약/MMA
13억원)를	13/SN+억/NR+원/NNB+)/SS+를/JKO
놓고	놓/VV+고/EC
세계	세계/NNG
톱랭커들이	톱랭커/NNG+들/XSN+이/JKS
맞붙는다.	맞붙/VV+는다/EF+./SF


# id : NWRW1800000030.196.5.3
가장 기대를 모으는 종목은 이용대와 정재성(29)이 호흡을 맞추는 남자 복식이다.

가장	가장/MAG
기대를	기대/NNG+를/JKO
모으는	모으/VV+는/ETM
종목은	종목/NNG+은/JX
이용대와	이용대/NNP+와/JC
정재성(29)이	정재성/NNP+(/SS+29/SN+)/SS+이/JKS
호흡을	호흡/NNG+을/JKO
맞추는	맞추/VV+는/ETM
남자	남자/NNG
복식이다.	복식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.196.6.1
한때 세계 랭킹 1위에 올랐던 이-정 조는 지난해 이용대가 팔꿈치 부상을 당해 고전하다 랭킹이 7위까지 처졌다.

한때	한때/MAG
세계	세계/NNG
랭킹	랭킹/NNG
1위에	1/SN+위/NNB+에/JKB
올랐던	오르/VV+았/EP+던/ETM
이-정	이/NNP+-/SO+정/NNP
조는	조/NNG+는/JX
지난해	지난해/NNG
이용대가	이용대/NNP+가/JKS
팔꿈치	팔꿈치/NNG
부상을	부상/NNG+을/JKO
당해	당하/VV+아/EC
고전하다	고전/NNG+하/XSV+다/EC
랭킹이	랭킹/NNG+이/JKS
7위까지	7/SN+위/NNB+까지/JX
처졌다.	처지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.196.6.2
이용대와 정재성에게 이번 대회는 설욕전이다.

이용대와	이용대/NNP+와/JC
정재성에게	정재성/NNP+에게/JKB
이번	이번/NNG
대회는	대회/NNG+는/JX
설욕전이다.	설욕전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.196.6.3
아시안게임 남자 복식 준결승에서 이들에게 패배를 안긴 마르키스 키도-헨드라 세티아완 조(인도네시아·3위)와 9일 대만에서 치러진 수퍼시리즈 마스터스 파이널대회 결승에서 이-정 조를 물리친 카르스텐 모겐센-마티아스 보 조(덴마크·1위)가 출전한다.

아시안게임	아시안/NNP+게임/NNG
남자	남자/NNG
복식	복식/NNG
준결승에서	준/XPN+결승/NNG+에서/JKB
이들에게	이/NP+들/XSN+에게/JKB
패배를	패배/NNG+를/JKO
안긴	안기/VV+ㄴ/ETM
마르키스	마르키스/NNP
키도-헨드라	키도/NNP+-/SO+헨드라/NNP
세티아완	세티아완/NNP
조(인도네시아·3위)와	조/NNG+(/SS+인도네시아/NNP+·/SP+3/SN+위/NNB+)/SS+와/JC
9일	9/SN+일/NNB
대만에서	대만/NNP+에서/JKB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
수퍼시리즈	수퍼/NNG+시리즈/NNG
마스터스	마스터스/NNG
파이널대회	파이널/NNG+대회/NNG
결승에서	결승/NNG+에서/JKB
이-정	이/NNP+-/SO+정/NNP
조를	조/NNG+를/JKO
물리친	물리치/VV+ㄴ/ETM
카르스텐	카르스텐/NNP
모겐센-마티아스	모겐센/NNP+-/SO+마티아스/NNP
보	보/NNP
조(덴마크·1위)가	조/NNG+(/SS+덴마크/NNP+·/SP+1/SN+위/NNB+)/SS+가/JKS
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.196.6.4
이용대는 "팔꿈치 부상에서 완전히 회복했다. 이번 대회를 계기로 상승세를 타겠다"고 밝혔다.

이용대는	이용대/NNP+는/JX
"팔꿈치	"/SS+팔꿈치/NNG
부상에서	부상/NNG+에서/JKB
완전히	완전히/MAG
회복했다.	회복/NNG+하/XSV+았/EP+다/EF+./SF
이번	이번/NNG
대회를	대회/NNG+를/JKO
계기로	계기/NNG+로/JKB
상승세를	상승세/NNG+를/JKO
타겠다"고	타/VV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.196.7.1
여자 복식과 혼합복식은 베이징올림픽 금메달리스트 이효정의 공백이 크다.

여자	여자/NNG
복식과	복식/NNG+과/JC
혼합복식은	혼합/NNG+복식/NNG+은/JX
베이징올림픽	베이징/NNP+올림픽/NNG
금메달리스트	금메달리스트/NNG
이효정의	이효정/NNP+의/JKG
공백이	공백/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000030.196.7.2
혼합복식은 고성현-하정은 조(6위)가 버티고 있지만 여자 복식은 10위권 내에 아무도 없다.

혼합복식은	혼합/NNG+복식/NNG+은/JX
고성현-하정은	고성현/NNP+-/SO+하정은/NNP
조(6위)가	조/NNG+(/SS+6/SN+위/NNB+)/SS+가/JKS
버티고	버티/VV+고/EC
있지만	있/VX+지만/EC
여자	여자/NNG
복식은	복식/NNG+은/JX
10위권	10/SN+위/NNB+권/XSN
내에	내/NNB+에/JKB
아무도	아무/NP+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.196.8.1
남자 단식은 '린단 킬러'로 통하는 박성환(27)이 주목받고 있다.

남자	남자/NNG
단식은	단식/NNG+은/JX
'린단	'/SS+린단/NNP
킬러'로	킬러/NNG+'/SS+로/JKB
통하는	통하/VV+는/ETM
박성환(27)이	박성환/NNP+(/SS+27/SN+)/SS+이/JKS
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.196.8.2
세계 랭킹 16위 박성환은 중국의 국민적 스타이자 광저우 아시안게임 MVP 린단에게 유독 강했다.

세계	세계/NNG
랭킹	랭킹/NNG
16위	16/SN+위/NNB
박성환은	박성환/NNP+은/JX
중국의	중국/NNP+의/JKG
국민적	국민/NNG+적/XSN
스타이자	스타/NNG+이/VCP+자/EC
광저우	광저우/NNP
아시안게임	아시안/NNP+게임/NNG
MVP	MVP/SL
린단에게	린단/NNP+에게/JKB
유독	유독/MAG
강했다.	강하/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.196.8.3
세대교체가 이뤄진 여자 단식은 성한국 감독의 딸인 성지현(19)과 배연주(20) 등 '젊은 피'에 기대를 걸고 있다.

세대교체가	세대교체/NNG+가/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
여자	여자/NNG
단식은	단식/NNG+은/JX
성한국	성한국/NNP
감독의	감독/NNG+의/JKG
딸인	딸/NNG+이/VCP+ㄴ/ETM
성지현(19)과	성지현/NNP+(/SS+19/SN+)/SS+과/JC
배연주(20)	배연주/NNP+(/SS+20/SN+)/SS
등	등/NNB
'젊은	'/SS+젊/VA+은/ETM
피'에	피/NNG+'/SS+에/JKB
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


