# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.33
metadata : {}


# id : NWRW1800000044.33.1.1
들뜬 은행들 ‘이사철 고객잡기 총력’ 이점 사라진 신협 등 상호금융 ‘울상’

들뜬	들뜨/VV+ㄴ/ETM
은행들	은행/NNG+들/XSN
‘이사철	‘/SS+이사/NNG+철/NNG
고객잡기	고객/NNG+잡/VV+기/ETN
총력’	총력/NNG+’/SS
이점	이점/NNG
사라진	사라지/VV+ㄴ/ETM
신협	신협/NNP
등	등/NNB
상호금융	상호/NNG+금융/NNG
‘울상’	‘/SS+울상/NNG+’/SS


# id : NWRW1800000044.33.2.1
[한겨레] LTV·DTI 규제완화 은행권 움직임

[한겨레]	[/SS+한겨레/NNP+]/SS
LTV·DTI	LTV/SL+·/SP+DTI/SL
규제완화	규제/NNG+완화/NNG
은행권	은행/NNG+권/XSN
움직임	움직임/NNG


# id : NWRW1800000044.33.3.1
우리은 “넘어올 고객 금리 그대로”

우리은	우리은/NNP
“넘어올	“/SS+넘어오/VV+ㄹ/ETM
고객	고객/NNG
금리	금리/NNG
그대로”	그대로/MAG+”/SS


# id : NWRW1800000044.33.4.1
일부 은행은 금리 깎아주기 검토

일부	일부/NNG
은행은	은행/NNG+은/JX
금리	금리/NNG
깎아주기	깎/VV+아/EC+주/VX+기/ETN
검토	검토/NNG


# id : NWRW1800000044.33.5.1
주택담보인정비율(LTV)과 총부채상환비율(DTI)의 규제 완화가 본격화하면서 은행들은 향후 가을 이사철의 신규 대출 수요를 잡기 위한 준비로 분주해졌다.

주택담보인정비율(LTV)과	주택/NNG+담보/NNG+인정/NNG+비율/NNG+(/SS+LTV/SL+)/SS+과/JC
총부채상환비율(DTI)의	총부채/NNG+상환/NNG+비율/NNG+(/SS+DTI/SL+)/SS+의/JKG
규제	규제/NNG
완화가	완화/NNG+가/JKS
본격화하면서	본격/NNG+화/XSN+하/XSV+면서/EC
은행들은	은행/NNG+들/XSN+은/JX
향후	향후/NNG
가을	가을/NNG
이사철의	이사/NNG+철/NNG+의/JKG
신규	신규/NNG
대출	대출/NNG
수요를	수요/NNG+를/JKO
잡기	잡/VV+기/ETN
위한	위하/VV+ㄴ/ETM
준비로	준비/NNG+로/JKB
분주해졌다.	분주/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.33.5.2
반면 상호금융기관들은 은행들에 기존 고객을 빼앗길까 고심에 빠졌다.

반면	반면/NNG
상호금융기관들은	상호/NNG+금융/NNG+기관/NNG+들/XSN+은/JX
은행들에	은행/NNG+들/XSN+에/JKB
기존	기존/NNG
고객을	고객/NNG+을/JKO
빼앗길까	빼앗기/VV+ㄹ까/EF
고심에	고심/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.33.6.1
지난 1일부터 지역 등에 따라 50~60%로 다르던 은행권 엘티브이와 디티아이가 각각 70%와 60%까지 상향 조정됐다.

지난	지나/VV+ㄴ/ETM
1일부터	1/SN+일/NNB+부터/JX
지역	지역/NNG
등에	등/NNB+에/JKB
따라	따르/VV+아/EC
50~60%로	50/SN+~/SO+60/SN+%/SW+로/JKB
다르던	다르/VA+던/ETM
은행권	은행/NNG+권/XSN
엘티브이와	엘티브이/NNG+와/JC
디티아이가	디티아이/NNG+가/JKS
각각	각각/MAG
70%와	70/SN+%/SW+와/JC
60%까지	60/SN+%/SW+까지/JX
상향	상향/NNG
조정됐다.	조정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.33.6.2
첫날인 1일 은행을 찾은 고객은 많지 않았다.

첫날인	첫날/NNG+이/VCP+ㄴ/ETM
1일	1/SN+일/NNB
은행을	은행/NNG+을/JKO
찾은	찾/VV+은/ETM
고객은	고객/NNG+은/JX
많지	많/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.33.6.3
따로 기한 제한이 없는데다 휴가철까지 겹쳤기 때문이다.

따로	따로/MAG
기한	기한/NNG
제한이	제한/NNG+이/JKS
없는데다	없/VA+는/ETM+데/NNB+다/JX
휴가철까지	휴가철/NNG+까지/JX
겹쳤기	겹치/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.33.6.4
한 시중은행 담당자는 “규제 완화 첫날이 휴가 피크 기간이라 객장은 한산했다. 상담센터로 전화 문의는 이어졌는데 신규 대출 상담보다는 기존에 주택담보대출을 받았는데 추가 대출이 가능하냐, 제2금융권 대출자인데 갈아타는 대출이 가능하냐는 문의였다”고 말했다.

한	한/MMN
시중은행	시중/NNG+은행/NNG
담당자는	담당자/NNG+는/JX
“규제	“/SS+규제/NNG
완화	완화/NNG
첫날이	첫날/NNG+이/JKS
휴가	휴가/NNG
피크	피크/NNG
기간이라	기간/NNG+이/VCP+라/EC
객장은	객장/NNG+은/JX
한산했다.	한산하/VA+았/EP+다/EF+./SF
상담센터로	상담/NNG+센터/NNG+로/JKB
전화	전화/NNG
문의는	문의/NNG+는/JX
이어졌는데	이어지/VV+었/EP+는데/EC
신규	신규/NNG
대출	대출/NNG
상담보다는	상담/NNG+보다/JKB+는/JX
기존에	기존/NNG+에/JKB
주택담보대출을	주택/NNG+담보/NNG+대출/NNG+을/JKO
받았는데	받/VV+았/EP+는데/EC
추가	추가/NNG
대출이	대출/NNG+이/JKS
가능하냐,	가능/NNG+하/XSA+냐/EF+,/SP
제2금융권	제/XPN+2/SN+금융/NNG+권/XSN
대출자인데	대출자/NNG+이/VCP+ㄴ데/EC
갈아타는	갈아타/VV+는/ETM
가능하냐는	가능/NNG+하/XSA+냐는/ETM
문의였다”고	문의/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.33.7.1
하지만 은행들은 가을 이사철이 돌아오면 대출 수요 증가가 본격화할 것으로 보고 준비에 나섰다.

하지만	하지만/MAJ
은행들은	은행/NNG+들/XSN+은/JX
가을	가을/NNG
이사철이	이사/NNG+철/NNG+이/JKS
돌아오면	돌아오/VV+면/EC
대출	대출/NNG
수요	수요/NNG
증가가	증가/NNG+가/JKS
본격화할	본격/NNG+화/XSN+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
준비에	준비/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.33.7.2
은행들은 오는 14일 열릴 한국은행 금융통화위원회에서 기준금리 인하 가능성이 높다고 보고 수요가 더욱 늘어날 것으로 예상하고 있다.

은행들은	은행/NNG+들/XSN+은/JX
오는	오/VV+는/ETM
14일	14/SN+일/NNB
열릴	열리/VV+ㄹ/ETM
한국은행	한국은행/NNP
금융통화위원회에서	금융/NNG+통화/NNG+위원회/NNG+에서/JKB
기준금리	기준/NNG+금리/NNG
인하	인하/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높다고	높/VA+다고/EC
보고	보/VV+고/EC
