# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.100
metadata : {}


# id : NWRW1800000052.100.1.1
일, 돈먹는 원자로 ‘몬주’ 폐로…핵연료 플루토늄은 포기 안해

일,	일/NNP+,/SP
돈먹는	돈/NNG+먹/VV+는/ETM
원자로	원자로/NNG
‘몬주’	‘/SS+몬주/NNP+’/SS
폐로…핵연료	폐로/NNG+…/SE+핵연료/NNG
플루토늄은	플루토늄/NNG+은/JX
포기	포기/NNG
안해	안/MAG+하/VV+아/EF


# id : NWRW1800000052.100.2.1
1조엔 들이붓고 전력생산은 ‘0’

1조엔	1/SN+조/NR+엔/NNB
들이붓고	들이붓/VV+고/EC
전력생산은	전력/NNG+생산/NNG+은/JX
‘0’	‘/SS+0/SN+’/SS


# id : NWRW1800000052.100.3.1
핵탄두 6000발 분량 플루토늄

핵탄두	핵탄두/NNG
6000발	6000/SN+발/NNB
분량	분량/NNG
플루토늄	플루토늄/NNG


# id : NWRW1800000052.100.4.1
보유 정당성 사라졌지만

보유	보유/NNG
정당성	정당성/NNG
사라졌지만	사라지/VV+었/EP+지만/EC


# id : NWRW1800000052.100.5.1
‘핵연료 사이클 정책’ 고수

‘핵연료	‘/SS+핵연료/NNG
사이클	사이클/NNG
정책’	정책/NNG+’/SS
고수	고수/NNG


# id : NWRW1800000052.100.6.1
북핵과 이중잣대 ‘갈등의 핵’

북핵과	북핵/NNG+과/JC
이중잣대	이중/NNG+잣대/NNG
‘갈등의	‘/SS+갈등/NNG+의/JKG
핵’	핵/NNG+’/SS


# id : NWRW1800000052.100.7.1
일본이 핵무기 수천발분에 해당하는 막대한 플루토늄 보유를 정당화하는 수단으로 활용해왔던 고속증식로 ‘몬주’를 사실상 폐로하기로 했다.

일본이	일본/NNP+이/JKS
핵무기	핵무기/NNG
수천발분에	수천/NR+발/NNB+분/XSN+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
막대한	막대하/VA+ㄴ/ETM
플루토늄	플루토늄/NNG
보유를	보유/NNG+를/JKO
정당화하는	정당화/NNG+하/XSV+는/ETM
수단으로	수단/NNG+으로/JKB
활용해왔던	활용/NNG+하/XSV+아/EC+오/VX+았/EP+던/ETM
고속증식로	고속/NNG+증식로/NNG
‘몬주’를	‘/SS+몬주/NNP+’/SS+를/JKO
사실상	사실/NNG+상/XSN
폐로하기로	폐로/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.100.8.1
일본 정부는 21일 도쿄 총리관저에서 ‘원자력 관계각료 회의’를 열어 그동안 1조엔(10조9300억원) 넘는 자금이 투입된 몬주에 대해 “폐로를 포함해 올해 말까지 최종결론을 내겠다”는 방침을 확인했다.

일본	일본/NNP
정부는	정부/NNG+는/JX
21일	21/SN+일/NNB
도쿄	도쿄/NNP
총리관저에서	총리/NNG+관저/NNG+에서/JKB
‘원자력	‘/SS+원자력/NNG
관계각료	관계/NNG+각료/NNG
회의’를	회의/NNG+’/SS+를/JKO
열어	열/VV+어/EC
그동안	그동안/NNG
1조엔(10조9300억원)	1/SN+조/NR+엔/NNB+(/SS+10/SN+조/NR+9300/SN+억/NR+원/NNB+)/SS
넘는	넘/VV+는/ETM
자금이	자금/NNG+이/JKS
투입된	투입/NNG+되/XSV+ㄴ/ETM
몬주에	몬주/NNP+에/JKB
대해	대하/VV+아/EC
“폐로를	“/SS+폐로/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
올해	올해/NNG
말까지	말/NNB+까지/JX
최종결론을	최종/NNG+결론/NNG+을/JKO
내겠다”는	내/VV+겠/EP+다/EF+”/SS+는/ETM
방침을	방침/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.100.8.2
몬주는 일본이 원자력 발전을 도입하기로 결정한 1956년부터 추진해온 ‘핵연료 사이클’ 정책을 지탱하는 핵심시설로 주목받아왔다.

몬주는	몬주/NNP+는/JX
일본이	일본/NNP+이/JKS
원자력	원자력/NNG
발전을	발전/NNG+을/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
1956년부터	1956/SN+년/NNB+부터/JX
추진해온	추진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
‘핵연료	‘/SS+핵연료/NNG
사이클’	사이클/NNG+’/SS
정책을	정책/NNG+을/JKO
지탱하는	지탱/NNG+하/XSV+는/ETM
핵심시설로	핵심/NNG+시설/NNG+로/JKB
주목받아왔다.	주목/NNG+받/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.100.8.3
핵연료 사이클이란 핵발전 뒤에 발생하는 사용후 핵연료를 재처리해 나오는 플루토늄을 다시 핵발전에 활용해 추가적인 에너지 투입 없이 영원히 전기를 생산하는 구상을 뜻한다.

핵연료	핵연료/NNG
사이클이란	사이클/NNG+이란/JX
핵발전	핵/NNG+발전/NNG
뒤에	뒤/NNG+에/JKB
