# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.120
metadata : {}


# id : NWRW1800000054.120.1.1
'달인' 소개하던 '목소리 달인' 48년 만에 마이크 내려놓다

'달인'	'/SS+달인/NNG+'/SS
소개하던	소개/NNG+하/XSV+던/ETM
'목소리	'/SS+목소리/NNG
달인'	달인/NNG+'/SS
48년	48/SN+년/NNB
만에	만/NNB+에/JKB
마이크	마이크/NNG
내려놓다	내려놓/VV+다/EF


# id : NWRW1800000054.120.2.1
유명 성우 양지운 은퇴… '생활의 달인' 등 내레이션, 오늘 대중문화예술상 받아

유명	유명/NNG
성우	성우/NNG
양지운	양지운/NNP
은퇴…	은퇴/NNG+…/SE
'생활의	'/SS+생활/NNG+의/JKG
달인'	달인/NNG+'/SS
등	등/NNB
내레이션,	내레이션/NNG+,/SP
오늘	오늘/MAG
대중문화예술상	대중문화/NNG+예술상/NNG
받아	받/VV+아/EF


# id : NWRW1800000054.120.3.1
"마지막 녹음하는 날이 처음 마이크 앞에 섰을 때처럼 떨리더군요.

"마지막	"/SS+마지막/NNG
녹음하는	녹음/NNG+하/XSV+는/ETM
날이	날/NNG+이/JKS
처음	처음/NNG
마이크	마이크/NNG
앞에	앞/NNG+에/JKB
섰을	서/VV+었/EP+을/ETM
때처럼	때/NNG+처럼/JKB
떨리더군요.	떨리/VV+더군/EF+요/JX+./SF


# id : NWRW1800000054.120.3.2
원고가 눈에 들어오지도 않았고요.

원고가	원고/NNG+가/JKS
눈에	눈/NNG+에/JKB
들어오지도	들어오/VV+지/EC+도/JX
않았고요.	않/VX+았/EP+고/EC+요/JX+./SF


# id : NWRW1800000054.120.3.3
방송국 제작진이 꽃다발을 건네는데 울컥했어요."

방송국	방송국/NNG
제작진이	제작진/NNG+이/JKS
꽃다발을	꽃다발/NNG+을/JKO
건네는데	건네/VV+는데/EC
울컥했어요."	울컥/MAG+하/XSV+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000054.120.4.1
유명 성우 양지운(69·사진)씨가 48년 성우 생활을 마무리했다.

유명	유명/NNG
성우	성우/NNG
양지운(69·사진)씨가	양지운/NNP+(/SS+69/SN+·/SP+사진/NNG+)/SS+씨/NNB+가/JKS
48년	48/SN+년/NNB
생활을	생활/NNG+을/JKO
마무리했다.	마무리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.120.4.2
지난 30일 SBS '생활의 달인' 속 익살스러운 내레이션이 마지막 목소리였다.

지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
SBS	SBS/SL
'생활의	'/SS+생활/NNG+의/JKG
달인'	달인/NNG+'/SS
속	속/NNG
익살스러운	익살/NNG+스럽/XSA+ㄴ/ETM
내레이션이	내레이션/NNG+이/JKS
마지막	마지막/NNG
목소리였다.	목소리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.120.4.3
지난 공로를 인정받아 3일 '대한민국 대중문화예술상' 시상식에서 대통령 표창을 받는다.

지난	지나/VV+ㄴ/ETM
공로를	공로/NNG+를/JKO
인정받아	인정/NNG+받/XSV+아/EC
3일	3/SN+일/NNB
'대한민국	'/SS+대한민국/NNP
대중문화예술상'	대중문화/NNG+예술상/NNG+'/SS
시상식에서	시상식/NNG+에서/JKB
대통령	대통령/NNG
표창을	표창/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000054.120.4.4
양씨는 "박수 받으며 떠나 기쁘다"고 했다.

양씨는	양/NNP+씨/NNB+는/JX
"박수	"/SS+박수/NNG
받으며	받/VV+으며/EC
떠나	떠나/VV+아/EC
기쁘다"고	기쁘/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.120.5.1
그는 경남 통영에서 보낸 고교 시절 구민, 고은정 등 당대 유명 성우들 목소리를 라디오로 들으며 꿈을 키웠다고 한다.

그는	그/NP+는/JX
경남	경남/NNP
통영에서	통영/NNP+에서/JKB
보낸	보내/VV+ㄴ/ETM
고교	고교/NNG
시절	시절/NNG
구민,	구민/NNP+,/SP
고은정	고은정/NNP
등	등/NNB
당대	당대/NNG
유명	유명/NNG
성우들	성우/NNG+들/XSN
목소리를	목소리/NNG+를/JKO
라디오로	라디오/NNG+로/JKB
들으며	듣/VV+으며/EC
꿈을	꿈/NNG+을/JKO
키웠다고	키우/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.120.5.2
대학교 1학년이던 1969년 TBC 동양방송 5기 공채 성우로 입문했다.

대학교	대/XPN+학교/NNG
1학년이던	1/SN+학년/NNG+이/VCP+던/ETM
1969년	1969/SN+년/NNB
TBC	TBC/SL
동양방송	동양방송/NNP
5기	5/SN+기/NNG
공채	공채/NNG
성우로	성우/NNG+로/JKB
입문했다.	입문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.120.5.3
1980년대 KBS에서 방영된 미국 TV시리즈 '600만불의 사나이'에서 주인공 스티브 오스틴 공군 대령 목소리를 연기해 인기를 얻었다.

1980년대	1980/SN+년대/NNB
KBS에서	KBS/SL+에서/JKB
방영된	방영/NNG+되/XSV+ㄴ/ETM
미국	미국/NNP
TV시리즈	TV/SL+시리즈/NNG
'600만불의	'/SS+600/SN+만/NR+불/NNB+의/JKG
사나이'에서	사나이/NNG+'/SS+에서/JKB
주인공	주인공/NNG
스티브	스티브/NNP
오스틴	오스틴/NNP
공군	공군/NNG
대령	대령/NNG
목소리를	목소리/NNG+를/JKO
연기해	연기/NNG+하/XSV+아/EC
인기를	인기/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.120.5.4
