# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.381
metadata : {}


# id : NWRW1800000033.381.1.1
[대선 D-15]安 “새정치 담대한 정진”… 화끈한 文 밀어주기는 없었다

[대선	[/SS+대선/NNG
D-15]安	D/SL+-/SO+15/SN+]/SS+安/SH
“새정치	“/SS+새/MMA+정치/NNG
담대한	담대/NNG+하/XSA+ㄴ/ETM
정진”…	정진/NNG+”/SS+…/SE
화끈한	화끈/MAG+하/XSA+ㄴ/ETM
文	文/SH
밀어주기는	밀어주/VV+기/ETN+는/JX
없었다	없/VA+었/EP+다/EF


# id : NWRW1800000033.381.2.1
안철수, 5년 뒤 겨냥 정치독립선언… 대선에 미칠 영향은

안철수,	안철수/NNP+,/SP
5년	5/SN+년/NNB
뒤	뒤/NNG
겨냥	겨냥/NNG
정치독립선언…	정치/NNG+독립/NNG+선언/NNG+…/SE
대선에	대선/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
영향은	영향/NNG+은/JX


# id : NWRW1800000033.381.3.1
3일 안철수 전 대선후보가 던진 메시지만으로는 현재의 대선 판세에 큰 영향을 미치기 어렵다는 분석이 지배적이다.

3일	3/SN+일/NNB
안철수	안철수/NNP
전	전/MMD
대선후보가	대선/NNG+후보/NNG+가/JKS
던진	던지/VV+ㄴ/ETM
메시지만으로는	메시지/NNG+만/JX+으로/JKB+는/JX
현재의	현재/NNG+의/JKG
대선	대선/NNG
판세에	판세/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치기	미치/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
분석이	분석/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.381.3.2
안 전 후보가 민주통합당 문재인 후보에 대한 지지 의사를 다시 확인했지만 그 내용과 형식이 지난달 23일 후보사퇴 당시의 발언을 반복하는 수준이었기 때문이다.

안	안/NNP
전	전/MMD
후보가	후보/NNG+가/JKS
민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지지	지지/NNG
의사를	의사/NNG+를/JKO
다시	다시/MAG
확인했지만	확인/NNG+하/XSV+았/EP+지만/EC
그	그/MMD
내용과	내용/NNG+과/JC
형식이	형식/NNG+이/JKS
지난달	지난달/NNG
23일	23/SN+일/NNB
후보사퇴	후보/NNG+사퇴/NNG
당시의	당시/NNG+의/JKG
발언을	발언/NNG+을/JKO
반복하는	반복/NNG+하/XSV+는/ETM
수준이었기	수준/NNG+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.381.4.1
안 전 후보가 이날 어느 정도의 강도로 문 후보를 지지할지가 정치권의 초미의 관심사였다.

안	안/NNP
전	전/MMD
후보가	후보/NNG+가/JKS
이날	이날/NNG
어느	어느/MMD
정도의	정도/NNG+의/JKG
강도로	강도/NNG+로/JKB
문	문/NNP
후보를	후보/NNG+를/JKO
지지할지가	지지/NNG+하/XSV+ㄹ지/EF+가/JKS
정치권의	정치/NNG+권/XSN+의/JKG
초미의	초미/NNG+의/JKG
관심사였다.	관심사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.381.4.2
새누리당 박근혜 후보가 근소하게 앞서가는 현재의 구도가 바뀌려면 마치 안 전 후보가 직접 대선에 출마한 것 같은 효과를 주는 ‘고강도’ 지지 선언이 있어야 한다는 관측이 적지 않았다.

새누리당	새누리당/NNP
박근혜	박근혜/NNP
후보가	후보/NNG+가/JKS
근소하게	근소하/VA+게/EC
앞서가는	앞서/VV+어/EC+가/VV+는/ETM
현재의	현재/NNG+의/JKG
구도가	구도/NNG+가/JKS
바뀌려면	바뀌/VV+려면/EC
마치	마치/MAG
안	안/NNP
전	전/MMD
직접	직접/MAG
대선에	대선/NNG+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같은	같/VA+은/ETM
효과를	효과/NNG+를/JKO
주는	주/VV+는/ETM
‘고강도’	‘/SS+고/XPN+강도/NNG+’/SS
지지	지지/NNG
선언이	선언/NNG+이/JKS
있어야	있/VA+어야/EC
한다는	하/VX+ㄴ다는/ETM
관측이	관측/NNG+이/JKS
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.381.5.1
각종 여론조사에서 안 전 후보를 지지했다가 부동층으로 돌아선 유권자들이 전체 유권자의 6∼7%에 달하는 것으로 분석된 만큼 이들이 어느 후보를 지지할지, 투표장에 나갈 것인지 등은 박빙 승부에서 주요 변수가 될 수 있기 때문이다.

각종	각종/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
안	안/NNP
전	전/MMD
후보를	후보/NNG+를/JKO
지지했다가	지지/NNG+하/XSV+았/EP+다가/EC
부동층으로	부동/NNG+층/XSN+으로/JKB
돌아선	돌아서/VV+ㄴ/ETM
유권자들이	유권자/NNG+들/XSN+이/JKS
전체	전체/NNG
유권자의	유권자/NNG+의/JKG
6∼7%에	6/SN+∼/SO+7/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
것으로	것/NNB+으로/JKB
분석된	분석/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
이들이	이/NP+들/XSN+이/JKS
어느	어느/MMD
지지할지,	지지/NNG+하/XSV+ㄹ지/EF+,/SP
투표장에	투표장/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
등은	등/NNB+은/JX
박빙	박빙/NNG
승부에서	승부/NNG+에서/JKB
주요	주요/NNG
변수가	변수/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.381.6.1
하지만 안 전 후보는 문 후보에 대한 ‘성원’을 언급하면서도 결국 ‘나의 길을 가겠다’는 데 방점을 뒀다.

하지만	하지만/MAJ
안	안/NNP
전	전/MMD
후보는	후보/NNG+는/JX
문	문/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘성원’을	‘/SS+성원/NNG+’/SS+을/JKO
언급하면서도	언급/NNG+하/XSV+면서/EC+도/JX
결국	결국/MAG
‘나의	‘/SS+나/NP+의/JKG
길을	길/NNG+을/JKO
가겠다’는	가/VV+겠/EP+다/EF+’/SS+는/ETM
데	데/NNB
방점을	방점/NNG+을/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.381.7.1
일각에선 선거법 문제를 들기도 하지만 다른 방법으로도 얼마든지 문 후보에 대한 지지와 투표 참여를 호소할 수 있었다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
선거법	선거법/NNG
문제를	문제/NNG+를/JKO
들기도	들/VV+기/ETN+도/JX
하지만	하/VX+지만/EC
다른	다른/MMD
방법으로도	방법/NNG+으로/JKB+도/JX
얼마든지	얼마/NNG+든지/JX
문	문/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지지와	지지/NNG+와/JC
투표	투표/NNG
참여를	참여/NNG+를/JKO
호소할	호소/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.381.8.1
명지대 김형준 교수(정치학)는 “문 후보가 안 전 후보의 지지를 이끌어내기 위해서는 적극적인 변화의 모습을 보여줘야 한다”며 “문재인의 ‘운명’은 안철수가 아닌 문재인에게 달려 있다”고 말했다.

명지대	명지대/NNP
김형준	김형준/NNP
교수(정치학)는	교수/NNG+(/SS+정치학/NNG+)/SS+는/JX
“문	“/SS+문/NNP
후보가	후보/NNG+가/JKS
안	안/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
지지를	지지/NNG+를/JKO
이끌어내기	이끌/VV+어/EC+내/VX+기/ETN
위해서는	위하/VV+아서/EC+는/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
변화의	변화/NNG+의/JKG
모습을	모습/NNG+을/JKO
보여줘야	보이/VV+어/EC+주/VX+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“문재인의	“/SS+문재인/NNP+의/JKG
‘운명’은	‘/SS+운명/NNG+’/SS+은/JX
안철수가	안철수/NNP+가/JKC
아닌	아니/VCN+ㄴ/ETM
문재인에게	문재인/NNP+에게/JKB
달려	달리/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.381.8.2
그러면서 앞으로 열흘 안에 안 전 후보가 문 후보와 공동유세를 할 정도의 적극적인 지원에 나선다면 문 후보의 극적인 반등도 가능하다고 예측했다.

그러면서	그러/VV+면서/EC
앞으로	앞/NNG+으로/JKB
열흘	열흘/NNG
안에	안/NNG+에/JKB
안	안/MAG
전	전/MMD
후보가	후보/NNG+가/JKS
문	문/NNP
후보와	후보/NNG+와/JKB
공동유세를	공동/NNG+유세/NNG+를/JKO
할	하/VV+ㄹ/ETM
정도의	정도/NNG+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
지원에	지원/NNG+에/JKB
나선다면	나서/VV+ㄴ다면/EC
후보의	후보/NNG+의/JKG
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
반등도	반등/NNG+도/JX
가능하다고	가능/NNG+하/XSA+다고/EC
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.381.8.3
2002년 대선 당시에도 정몽준 후보가 공동유세에 나선 것은 12월 9일부터였기 때문에 시간은 아직 남아있다는 것이다.

2002년	2002/SN+년/NNB
대선	대선/NNG
당시에도	당시/NNG+에/JKB+도/JX
정몽준	정몽준/NNP
후보가	후보/NNG+가/JKS
공동유세에	공동/NNG+유세/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
12월	12/SN+월/NNB
9일부터였기	9/SN+일/NNB+부터/JX+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
시간은	시간/NNG+은/JX
아직	아직/MAG
남아있다는	남/VV+아/EC+있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.381.8.4
박 후보가 최근 각종 여론조사에서 문 후보와의 격차를 조금 벌렸지만, 자신의 지지도 자체가 그리 높아진 것은 아니기 때문이다.

박	박/NNP
후보가	후보/NNG+가/JKS
최근	최근/MAG
각종	각종/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
문	문/NNP
후보와의	후보/NNG+와/JKB+의/JKG
격차를	격차/NNG+를/JKO
조금	조금/MAG
벌렸지만,	벌리/VV+었/EP+지만/EC+,/SP
자신의	자신/NNG+의/JKG
지지도	지지도/NNG
자체가	자체/NNG+가/JKS
그리	그리/MAG
높아진	높아지/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니기	아니/VCN+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.381.9.1
반면 대통령리더십연구소 최진 소장은 ‘안철수 태풍’과 안-문 단일화의 시너지효과는 이미 거의 정리돼 안 전 후보가 고강도의 지원 발언을 했다하더라도 대세에 영향을 못 미쳤을 것으로 분석했다.

반면	반면/NNG
대통령리더십연구소	대통령리더십연구소/NNP
최진	최진/NNP
소장은	소장/NNG+은/JX
‘안철수	‘/SS+안철수/NNP
태풍’과	태풍/NNG+’/SS+과/JC
안-문	안/NNP+-/SO+문/NNP
단일화의	단일/NNG+화/XSN+의/JKG
시너지효과는	시너지/NNG+효과/NNG+는/JX
이미	이미/MAG
거의	거의/MAG
정리돼	정리/NNG+되/XSV+어/EC
안	안/MAG
전	전/MMD
후보가	후보/NNG+가/JKS
고강도의	고/XPN+강도/NNG+의/JKG
지원	지원/NNG
발언을	발언/NNG+을/JKO
했다하더라도	하/VV+았/EP+다/EF+하/VV+더라도/EC
대세에	대세/NNG+에/JKB
영향을	영향/NNG+을/JKO
못	못/MAG
미쳤을	미치/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.381.9.2
최 소장은 “단일화 협상 과정의 신경전으로 예민해진 안철수 지지표는 안 전 후보의 사퇴 후 이미 문 후보와 박 후보 쪽으로 흩어져 갔고, 남은 부동층도 응집력이 약해 도움이 안 될 것”이라고 봤다.

최	최/NNP
소장은	소장/NNG+은/JX
“단일화	“/SS+단일/NNG+화/XSN
협상	협상/NNG
과정의	과정/NNG+의/JKG
신경전으로	신경전/NNG+으로/JKB
예민해진	예민하/VA+아/EC+지/VX+ㄴ/ETM
안철수	안철수/NNP
지지표는	지지표/NNG+는/JX
안	안/MAG
전	전/MMD
후보의	후보/NNG+의/JKG
사퇴	사퇴/NNG
후	후/NNG
이미	이미/MAG
문	문/NNP
후보와	후보/NNG+와/JC
박	박/NNP
후보	후보/NNG
쪽으로	쪽/NNB+으로/JKB
흩어져	흩어지/VV+어/EC
갔고,	가/VX+았/EP+고/EC+,/SP
남은	남/VV+은/ETM
부동층도	부동/NNG+층/XSN+도/JX
응집력이	응집력/NNG+이/JKS
약해	약하/VA+아/EC
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.381.9.3
그러면서 “차라리 문 후보는 ‘단일화 지상주의’에서 벗어나 안 전 후보의 지원 외에 국민의 마음을 잡을 다른 정책과 전략을 내놓는 게 나을 것”이라고 말했다.

그러면서	그러/VV+면서/EC
“차라리	“/SS+차라리/MAG
문	문/NNP
후보는	후보/NNG+는/JX
‘단일화	‘/SS+단일/NNG+화/XSN
지상주의’에서	지상주의/NNG+’/SS+에서/JKB
벗어나	벗어나/VV+아/EC
안	안/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
지원	지원/NNG
외에	외/NNB+에/JKB
국민의	국민/NNG+의/JKG
마음을	마음/NNG+을/JKO
잡을	잡/VV+을/ETM
다른	다른/MMD
정책과	정책/NNG+과/JC
전략을	전략/NNG+을/JKO
내놓는	내놓/VV+는/ETM
게	거/NNB+이/JKS
나을	낫/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


