# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.394
metadata : {}


# id : NWRW1800000052.394.1.1
‘체육계 대통령’ 김종의 민낯…“삼성에 장시호 16억 지원 강요”

‘체육계	‘/SS+체육/NNG+계/XSN
대통령’	대통령/NNG+’/SS
김종의	김종/NNP+의/JKG
민낯…“삼성에	민낯/NNG+…/SE+“/SS+삼성/NNP+에/JKB
장시호	장시호/NNP
16억	16/SN+억/NR
지원	지원/NNG
강요”	강요/NNG+”/SS


# id : NWRW1800000052.394.2.1
김종 전 차관 직권남용 혐의 구속영장 청구

김종	김종/NNP
전	전/MMD
차관	차관/NNG
직권남용	직권/NNG+남용/NNG
혐의	혐의/NNG
구속영장	구속/NNG+영장/NNG
청구	청구/NNG


# id : NWRW1800000052.394.3.1
삼성에 장시호 센터 16억 지원 강요

삼성에	삼성/NNP+에/JKB
장시호	장시호/NNP
센터	센터/NNG
16억	16/SN+억/NR
지원	지원/NNG
강요	강요/NNG


# id : NWRW1800000052.394.4.1
체육계 현안 등 비밀누설 혐의에

체육계	체육/NNG+계/XSN
현안	현안/NNG
등	등/NNB
비밀누설	비밀/NNG+누설/NNG
혐의에	혐의/NNG+에/JKB


# id : NWRW1800000052.394.5.1
정유라 국가대표 발탁도 개입 의혹도

정유라	정유라/NNP
국가대표	국가/NNG+대표/NNG
발탁도	발탁/NNG+도/JX
개입	개입/NNG
의혹도	의혹/NNG+도/JX


# id : NWRW1800000052.394.6.1
‘최순실 집안’ 이권 추구 곳곳 개입 의혹

‘최순실	‘/SS+최순실/NNP
집안’	집안/NNG+’/SS
이권	이권/NNG
추구	추구/NNG
곳곳	곳곳/NNG
개입	개입/NNG
의혹	의혹/NNG


# id : NWRW1800000052.394.7.1
차관직 이용 체육계 장악 추가 조사

차관직	차관직/NNG
이용	이용/NNG
체육계	체육/NNG+계/XSN
장악	장악/NNG
추가	추가/NNG
조사	조사/NNG


