# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.166
metadata : {}


# id : NWRW1800000038.166.1.1
신월성原電 1호기 또 고장… 전국 원전 23기 중 9기 멈춰

신월성原電	신월성/NNP+原電/SH
1호기	1/SN+호기/NNB
또	또/MAG
고장…	고장/NNG+…/SE
전국	전국/NNG
원전	원전/NNG
23기	23/SN+기/NNB
중	중/NNB
9기	9/SN+기/NNB
멈춰	멈추/VV+어/EF


# id : NWRW1800000038.166.2.1
시험 가동부터 6차례 정지… 여름철 대비 정비 많아 전력 수급에 비상 걸려

시험	시험/NNG
가동부터	가동/NNG+부터/JX
6차례	6/SN+차례/NNG
정지…	정지/NNG+…/SE
여름철	여름철/NNG
대비	대비/NNG
정비	정비/NNG
많아	많/VA+아/EC
전력	전력/NNG
수급에	수급/NNG+에/JKB
비상	비상/NNG
걸려	걸리/VV+어/EF


# id : NWRW1800000038.166.3.1
경북 경주에 있는 신월성원전(原電) 1호기가 23일 제어 계통 고장으로 발전(發電)이 정지됐다.

경북	경북/NNP
경주에	경주/NNP+에/JKB
있는	있/VA+는/ETM
신월성원전(原電)	신월성원전/NNP+(/SS+原電/SH+)/SS
1호기가	1/SN+호기/NNB+가/JKS
23일	23/SN+일/NNB
제어	제어/NNG
계통	계통/NNG
고장으로	고장/NNG+으로/JKB
발전(發電)이	발전/NNG+(/SS+發電/SH+)/SS+이/JKS
정지됐다.	정지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.166.4.1
한국수력원자력(이하 한수원)은 이날 "원자로 출력을 조절하는 제어 계통의 전자 부품이 고장 나 오전 7시 44분 원전이 멈췄다"고 밝혔다.

한국수력원자력(이하	한국수력원자력/NNP+(/SS+이하/NNG
한수원)은	한수원/NNP+)/SS+은/JX
이날	이날/NNG
"원자로	"/SS+원자로/NNG
출력을	출력/NNG+을/JKO
조절하는	조절/NNG+하/XSV+는/ETM
제어	제어/NNG
계통의	계통/NNG+의/JKG
전자	전자/NNG
부품이	부품/NNG+이/JKS
고장	고장/NNG
나	나/VV+아/EC
오전	오전/NNG
7시	7/SN+시/NNB
44분	44/SN+분/NNB
원전이	원전/NNG+이/JKS
멈췄다"고	멈추/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.166.4.2
신월성 1호기는 작년 7월 상업 운전을 시작한 100만㎾(킬로와트)급 신형 원전이다.

신월성	신월성/NNP
1호기는	1/SN+호기/NNB+는/JX
작년	작년/NNG
7월	7/SN+월/NNB
상업	상업/NNG
운전을	운전/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
100만㎾(킬로와트)급	100/SN+만/NR+㎾/SW+(/SS+킬로와트/NNB+)/SS+급/NNG
신형	신형/NNG
원전이다.	원전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.166.4.3
국내 발전 설비 용량에서 차지하는 비중은 1.2% 수준이다.

국내	국내/NNG
발전	발전/NNG
설비	설비/NNG
용량에서	용량/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비중은	비중/NNG+은/JX
1.2%	1/SN+./SP+2/SN+%/SW
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.166.4.4
지난해 시운전 중 4차례 정지한 적이 있고, 가동을 시작한 지 한 달이 안 된 작년 8월 19일에도 제어 계통 고장으로 멈춘 바 있다.

지난해	지난해/NNG
시운전	시운전/NNG
중	중/NNB
4차례	4/SN+차례/NNG
정지한	정지/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있고,	있/VA+고/EC+,/SP
가동을	가동/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
한	한/MMN
달이	달/NNB+이/JKC
안	안/MAG
된	되/VV+ㄴ/ETM
작년	작년/NNG
8월	8/SN+월/NNB
19일에도	19/SN+일/NNB+에/JKB+도/JX
제어	제어/NNG
계통	계통/NNG
고장으로	고장/NNG+으로/JKB
멈춘	멈추/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.166.5.1
한수원은 "작년 8월 고장과 비슷한 부분에서 다시 문제가 생겼다"며 "우선 예비 부품으로 바꾸고, 올 6월 계획예방정비 때 신제품으로 모두 바꿀 예정"이라고 말했다.

한수원은	한수원/NNP+은/JX
"작년	"/SS+작년/NNG
8월	8/SN+월/NNB
고장과	고장/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
부분에서	부분/NNG+에서/JKB
다시	다시/MAG
문제가	문제/NNG+가/JKS
생겼다"며	생기/VV+었/EP+다/EF+"/SS+며/EC
"우선	"/SS+우선/MAG
예비	예비/NNG
부품으로	부품/NNG+으로/JKB
바꾸고,	바꾸/VV+고/EC+,/SP
올	올/NNG
6월	6/SN+월/NNB
계획예방정비	계획/NNG+예방/NNG+정비/NNG
때	때/NNG
신제품으로	신/XPN+제품/NNG+으로/JKB
모두	모두/MAG
바꿀	바꾸/VV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.166.5.2
예비 부품 교체는 빠르면 사흘 안에 마무리될 것으로 보인다.

예비	예비/NNG
부품	부품/NNG
교체는	교체/NNG+는/JX
빠르면	빠르/VA+면/EC
사흘	사흘/NNG
안에	안/NNG+에/JKB
마무리될	마무리/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.166.6.1
원전이 갑자기 발전을 멈추면서 전력 수급엔 비상이 걸렸다.

원전이	원전/NNG+이/JKS
갑자기	갑자기/MAG
발전을	발전/NNG+을/JKO
멈추면서	멈추/VV+면서/EC
전력	전력/NNG
수급엔	수급/NNG+에/JKB+ㄴ/JX
비상이	비상/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.166.6.2
