# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.403
metadata : {}


# id : NWRW1800000026.403.1.1
[인천·부천] "연평도 포격 안보 관광지로"… 일부 주민 반대

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
"연평도	"/SS+연평도/NNP
포격	포격/NNG
안보	안보/NNG
관광지로"…	관광지/NNG+로/JKB+"/SS+…/SE
일부	일부/NNG
주민	주민/NNG
반대	반대/NNG


# id : NWRW1800000026.403.2.1
인천시 옹진군이 북한군에게 포격당한 연평도 마을 폐허 현장을 안보체험 코스로 꾸미기로 해 일부 주민들의 반발을 사고 있다.

인천시	인천시/NNP
옹진군이	옹진군/NNP+이/JKS
북한군에게	북한군/NNG+에게/JKB
포격당한	포격/NNG+당하/XSV+ㄴ/ETM
연평도	연평도/NNP
마을	마을/NNG
폐허	폐허/NNG
현장을	현장/NNG+을/JKO
안보체험	안보/NNG+체험/NNG
코스로	코스/NNG+로/JKB
꾸미기로	꾸미/VV+기/ETN+로/JKB
해	하/VV+아/EC
일부	일부/NNG
주민들의	주민/NNG+들/XSN+의/JKG
반발을	반발/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.403.3.1
옹진군 관계자는 "2012년까지 연평도 폐허에 50억원을 들여 안보체험 코스와 안보교육장을 만들 예정"이라며 "피해를 입은 3052㎡ 터를 중심으로 전체 7899㎡ 터에 조성해 일반인에게 공개할 것"이라고 9일 밝혔다.

옹진군	옹진군/NNP
관계자는	관계자/NNG+는/JX
"2012년까지	"/SS+2012/SN+년/NNB+까지/JX
연평도	연평도/NNP
폐허에	폐허/NNG+에/JKB
50억원을	50/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
안보체험	안보/NNG+체험/NNG
코스와	코스/NNG+와/JC
안보교육장을	안보/NNG+교육장/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
예정"이라며	예정/NNG+"/SS+이/VCP+라며/EC
"피해를	"/SS+피해/NNG+를/JKO
입은	입/VV+은/ETM
3052㎡	3052/SN+㎡/SW
터를	터/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
전체	전체/NNG
7899㎡	7899/SN+㎡/SW
터에	터/NNG+에/JKB
조성해	조성/NNG+하/XSV+아/EC
일반인에게	일반인/NNG+에게/JKB
공개할	공개/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
9일	9/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.403.4.1
옹진군은 포격으로 부서진 건물 190채를 일부 원형으로 보존할 계획이다.

옹진군은	옹진군/NNP+은/JX
포격으로	포격/NNG+으로/JKB
부서진	부서지/VV+ㄴ/ETM
건물	건물/NNG
190채를	190/SN+채/NNB+를/JKO
일부	일부/NNG
원형으로	원형/NNG+으로/JKB
보존할	보존/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.403.4.2
파손된 건물이 4~6채씩 연평도 마을 곳곳에 흩어져 있는 점을 감안해 7개 구간으로 나눠 안보체험코스를 만들기로 했다.

파손된	파손/NNG+되/XSV+ㄴ/ETM
건물이	건물/NNG+이/JKS
4~6채씩	4/SN+~/SO+6/SN+채/NNB+씩/XSN
연평도	연평도/NNP
마을	마을/NNG
곳곳에	곳곳/NNG+에/JKB
흩어져	흩어지/VV+어/EC
있는	있/VX+는/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
7개	7/SN+개/NNB
구간으로	구간/NNG+으로/JKB
나눠	나누/VV+어/EC
안보체험코스를	안보/NNG+체험/NNG+코스/NNG+를/JKO
만들기로	만들/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.403.5.1
이번 사업은 일본 히로시마의 대표적 안보관광지인 '평화공원 원폭돔'을 참고할 방침이다.

이번	이번/NNG
사업은	사업/NNG+은/JX
일본	일본/NNP
히로시마의	히로시마/NNP+의/JKG
대표적	대표/NNG+적/XSN
안보관광지인	안보/NNG+관광지/NNG+이/VCP+ㄴ/ETM
'평화공원	'/SS+평화/NNG+공원/NNG
원폭돔'을	원폭/NNG+돔/NNG+'/SS+을/JKO
참고할	참고/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.403.5.2
원폭돔은 1915년 상업전시관 형태로 만들어졌으나 1945년 원자폭탄이 떨어져 크게 부서지자 1966년부터 원폭 피해를 입은 유적으로 조성해 운영 중이다.

원폭돔은	원폭/NNG+돔/NNG+은/JX
1915년	1915/SN+년/NNB
상업전시관	상업/NNG+전시관/NNG
형태로	형태/NNG+로/JKB
만들어졌으나	만들/VV+어/EC+지/VX+었/EP+으나/EC
1945년	1945/SN+년/NNB
원자폭탄이	원자/NNG+폭탄/NNG+이/JKS
떨어져	떨어지/VV+어/EC
크게	크/VA+게/EC
부서지자	부서지/VV+자/EC
1966년부터	1966/SN+년/NNB+부터/JX
원폭	원폭/NNG
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
유적으로	유적/NNG+으로/JKB
조성해	조성/NNG+하/XSV+아/EC
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.403.6.1
이에 대해 연평도 주민들은 찬반 입장이 갈리고 있다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
연평도	연평도/NNP
주민들은	주민/NNG+들/XSN+은/JX
찬반	찬반/NNG
입장이	입장/NNG+이/JKS
갈리고	갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.403.7.1
최성일(47) 연평도 주민대책위원장은 "안보체험코스는 오래 전부터 군청에 건의한 사항"이라며 "어업이 주된 소득원이고 유동인구가 많지 않은 상황에서 앞으로 이 같은 관광자원을 활성화해 지역경제를 일으키는데 찬성한다"고 말했다.

최성일(47)	최성일/NNP+(/SS+47/SN+)/SS
연평도	연평도/NNP
주민대책위원장은	주민/NNG+대책/NNG+위원장/NNG+은/JX
"안보체험코스는	"/SS+안보/NNG+체험/NNG+코스/NNG+는/JX
오래	오래/MAG
전부터	전/NNG+부터/JX
군청에	군청/NNG+에/JKB
건의한	건의/NNG+하/XSV+ㄴ/ETM
사항"이라며	사항/NNG+"/SS+이/VCP+라며/EC
"어업이	"/SS+어업/NNG+이/JKS
주된	주/NNG+되/XSV+ㄴ/ETM
소득원이고	소득원/NNG+이/VCP+고/EC
유동인구가	유동/NNG+인구/NNG+가/JKS
많지	많/VA+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
앞으로	앞/NNG+으로/JKB
이	이/MMD
같은	같/VA+은/ETM
관광자원을	관광/NNG+자원/NNG+을/JKO
활성화해	활성/NNG+화/XSN+하/XSV+아/EC
지역경제를	지역/NNG+경제/NNG+를/JKO
일으키는데	일으키/VV+는데/EC
찬성한다"고	찬성/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.403.7.2
주민 송영옥(49)씨는 "우리집도 전부 타버려 아직도 마음이 아프다"며 "그러나 군청에서 펼치는 사업인 만큼 일단 믿어본다"고 말했다.

주민	주민/NNG
송영옥(49)씨는	송영옥/NNP+(/SS+49/SN+)/SS+씨/NNB+는/JX
"우리집도	"/SS+우리/NP+집/NNG+도/JX
전부	전부/MAG
타버려	타/VV+아/EC+버리/VX+어/EC
아직도	아직/MAG+도/JX
마음이	마음/NNG+이/JKS
아프다"며	아프/VA+다/EF+"/SS+며/EC
"그러나	"/SS+그러나/MAJ
