# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.297
metadata : {}


# id : NWRW1800000053.297.1.1
정부, 설-추석 선물 한도 상향 검토

정부,	정부/NNG+,/SP
설-추석	설/NNG+-/SO+추석/NNG
선물	선물/NNG
한도	한도/NNG
상향	상향/NNG
검토	검토/NNG


# id : NWRW1800000053.297.2.1
황교안 대행, 청탁금지법 조정방안 주문… 권익위는 “법개정 검토 안해” 무인 자율주행버스 12월 판교 첫선

황교안	황교안/NNP
대행,	대행/NNG+,/SP
청탁금지법	청탁/NNG+금지법/NNG
조정방안	조정/NNG+방안/NNG
주문…	주문/NNG+…/SE
권익위는	권익위/NNG+는/JX
“법개정	“/SS+법/NNG+개정/NNG
검토	검토/NNG
안해”	안/MAG+하/VV+아/EC+”/SS
무인	무인/NNG
자율주행버스	자율/NNG+주행/NNG+버스/NNG
12월	12/SN+월/NNB
판교	판교/NNP
첫선	첫선/NNG


# id : NWRW1800000053.297.3.1
정부가 5일로 시행 100일째를 맞은 ‘청탁금지법’의 식사비 등 상한선을 상향 조정하는 방안을 검토한다.

정부가	정부/NNG+가/JKS
5일로	5/SN+일/NNB+로/JKB
시행	시행/NNG
100일째를	100/SN+일/NNB+째/XSN+를/JKO
맞은	맞/VV+은/ETM
‘청탁금지법’의	‘/SS+청탁/NNG+금지법/NNG+’/SS+의/JKG
식사비	식사비/NNG
등	등/NNB
상한선을	상한선/NNG+을/JKO
상향	상향/NNG
조정하는	조정/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토한다.	검토/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.297.3.2
‘4차 산업혁명’을 대표하는 제품으로 꼽히는 무인자율주행차는 올해 12월 경기 성남시 판교신도시에서 첫선을 보인다.

‘4차	‘/SS+4/SN+차/NNB
산업혁명’을	산업/NNG+혁명/NNG+’/SS+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
제품으로	제품/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
무인자율주행차는	무인/NNG+자율/NNG+주행차/NNG+는/JX
올해	올해/NNG
12월	12/SN+월/NNB
경기	경기/NNP
성남시	성남시/NNP
판교신도시에서	판교신도시/NNP+에서/JKB
첫선을	첫선/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


