# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.416
metadata : {}


# id : NWRW1800000022.416.1.1
조성규 前중부국세청장 영장;"세무조사 편의 봐달라" 3000만원 받은 혐의

조성규	조성규/NNP
前중부국세청장	前/SH+중부국세청장/NNG
영장;"세무조사	영장/NNG+;/SW+"/SS+세무/NNG+조사/NNG
편의	편의/NNG
봐달라"	보/VV+아/EC+달/VX+라/EF+"/SS
3000만원	3000/SN+만/NR+원/NNB
받은	받/VV+은/ETM
혐의	혐의/NNG


# id : NWRW1800000022.416.2.1
수원지검 안산지청(지청장 이건주)은 25일 세무 조사에서 편의를 봐달라는 청탁과 함께 금품을 받은 혐의(뇌물)로 조성규(55) 전 중부지방국세청장에 대해 사전 구속영장을 청구했다고 밝혔다.

수원지검	수원지검/NNP
안산지청(지청장	안산/NNP+지청/NNG+(/SS+지청장/NNG
이건주)은	이건주/NNP+)/SS+은/JX
25일	25/SN+일/NNB
세무	세무/NNG
조사에서	조사/NNG+에서/JKB
편의를	편의/NNG+를/JKO
봐달라는	보/VV+아/EC+달/VX+라는/ETM
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
혐의(뇌물)로	혐의/NNG+(/SS+뇌물/NNG+)/SS+로/JKB
조성규(55)	조성규/NNP+(/SS+55/SN+)/SS
전	전/MMD
중부지방국세청장에	중부지방국세청장/NNG+에/JKB
대해	대하/VV+아/EC
사전	사전/NNG
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했다고	청구/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.416.3.1
검찰에 따르면 조 전 청장은 지난해 4월 아파트 건설업체인 신창건설 김영수(48) 대표로부터 "세무 조사를 가볍게 해달라"는 청탁과 함께 3000만원을 받은 혐의를 받고 있다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
조	조/NNP
전	전/MMD
청장은	청장/NNG+은/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
아파트	아파트/NNG
건설업체인	건설업체/NNG+이/VCP+ㄴ/ETM
신창건설	신창건설/NNP
김영수(48)	김영수/NNP+(/SS+48/SN+)/SS
대표로부터	대표/NNG+로부터/JKB
"세무	"/SS+세무/NNG
조사를	조사/NNG+를/JKO
가볍게	가볍/VA+게/EC
해달라"는	하/VX+아/EC+달/VX+라/EF+"/SS+는/ETM
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
3000만원을	3000/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.416.3.2
조 전 청장에 대한 구속영장 실질 심사는 26일 오전 11시 수원지법 안산지원에서 열린다.

조	조/NNP
전	전/MMD
청장에	청장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구속영장	구속/NNG+영장/NNG
실질	실질/NNG
심사는	심사/NNG+는/JX
26일	26/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
수원지법	수원지법/NNP
안산지원에서	안산지원/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.416.4.1
조 전 청장은 논산세무서장, 국세청장 비서관, 국세교육원장 등을 거쳐 지난해 3월부터 12월까지 중부지방국세청장을 지냈다.

조	조/NNP
전	전/MMD
청장은	청장/NNG+은/JX
논산세무서장,	논산세무서장/NNG+,/SP
국세청장	국세청장/NNG
비서관,	비서관/NNG+,/SP
국세교육원장	국세교육원장/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
지난해	지난해/NNG
3월부터	3/SN+월/NNB+부터/JX
12월까지	12/SN+월/NNB+까지/JX
중부지방국세청장을	중부지방국세청장/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.416.5.1
검찰은 김 대표로부터 조 전청장에게 금품을 건넸다는 진술을 확보한 뒤 지난주 조 전 청장을 소환 조사했다.

검찰은	검찰/NNG+은/JX
김	김/NNP
대표로부터	대표/NNG+로부터/JKB
조	조/NNP
전청장에게	전/MMD+청장/NNG+에게/JKB
금품을	금품/NNG+을/JKO
건넸다는	건네/VV+었/EP+다는/ETM
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
지난주	지난주/NNG
전	전/MMD
청장을	청장/NNG+을/JKO
소환	소환/NNG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.416.6.1
