# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.342
metadata : {}


# id : NWRW1800000041.342.1.1
北, 고려인 통일행사마저 체제홍보 이용

北,	北/SH+,/SP
고려인	고려인/NNG
통일행사마저	통일/NNG+행사/NNG+마저/JX
체제홍보	체제/NNG+홍보/NNG
이용	이용/NNG


# id : NWRW1800000041.342.2.1
[러시아 고려인 통일대장정] 8·15 DMZ 통과 막고… 김일성동상 헌화-판문점 행사 동원

[러시아	[/SS+러시아/NNP
고려인	고려인/NNG
통일대장정]	통일/NNG+대/XPN+장정/NNG+]/SS
8·15	8/SN+·/SP+15/SN
DMZ	DMZ/SL
통과	통과/NNG
막고…	막/VV+고/EC+…/SE
김일성동상	김일성/NNP+동상/NNG
헌화-판문점	헌화/NNG+-/SO+판문점/NNP
행사	행사/NNG
동원	동원/NNG


# id : NWRW1800000041.342.3.1
북한이 러시아 이주 150년 만에 이뤄진 고려인들의 첫 육로 고향방문이자 군사분계선(MDL) 통과 대장정 랠리를 정치적으로 활용해 논란을 일으켰다.

북한이	북한/NNP+이/JKS
러시아	러시아/NNP
이주	이주/NNG
150년	150/SN+년/NNB
만에	만/NNB+에/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
고려인들의	고려인/NNG+들/XSN+의/JKG
첫	첫/MMN
육로	육로/NNG
고향방문이자	고향/NNG+방문/NNG+이/VCP+자/EC
군사분계선(MDL)	군사/NNG+분계선/NNG+(/SS+MDL/SL+)/SS
통과	통과/NNG
대장정	대/XPN+장정/NNG
랠리를	랠리/NNG+를/JKO
정치적으로	정치/NNG+적/XSN+으로/JKB
활용해	활용/NNG+하/XSV+아/EC
논란을	논란/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.342.4.1
북한은 광복절인 15일 군사분계선을 통과하게 해달라는 랠리팀의 요청에 말이 없다가 막판에야 ‘16일 통과 허용’이라고 답변했다.

북한은	북한/NNP+은/JX
광복절인	광복절/NNG+이/VCP+ㄴ/ETM
15일	15/SN+일/NNB
군사분계선을	군사/NNG+분계선/NNG+을/JKO
통과하게	통과/NNG+하/XSV+게/EC
해달라는	하/VX+아/EC+달/VX+라는/ETM
랠리팀의	랠리/NNG+팀/NNG+의/JKG
요청에	요청/NNG+에/JKB
말이	말/NNG+이/JKS
없다가	없/VA+다가/EC
막판에야	막판/NNG+에/JKB+야/JX
‘16일	‘/SS+16/SN+일/NNB
통과	통과/NNG
허용’이라고	허용/NNG+’/SS+이라고/JKQ
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.342.4.2
이는 14, 15일 평양에서 열린 광복절(북한은 조국해방으로 표현) 행사에 랠리팀을 참석시킨 뒤 남쪽으로 향하게 만들려는 조치임이 뒤늦게 드러났다.

이는	이/NP+는/JX
14,	14/SN+,/SP
15일	15/SN+일/NNB
평양에서	평양/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
광복절(북한은	광복절/NNG+(/SS+북한/NNP+은/JX
조국해방으로	조국/NNG+해방/NNG+으로/JKB
표현)	표현/NNG+)/SS
행사에	행사/NNG+에/JKB
랠리팀을	랠리/NNG+팀/NNG+을/JKO
참석시킨	참석/NNG+시키/XSV+ㄴ/ETM
뒤	뒤/NNG
남쪽으로	남쪽/NNG+으로/JKB
향하게	향하/VV+게/EC
만들려는	만들/VV+려는/ETM
조치임이	조치/NNG+이/VCP+ㅁ/ETN+이/JKS
뒤늦게	뒤늦/VA+게/EC
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.342.4.3
그동안 랠리팀은 백두산 밀영과 만경대 방문, 김일성·김정일 동상 헌화 행사 등에 동원됐다.

그동안	그동안/NNG
랠리팀은	랠리/NNG+팀/NNG+은/JX
백두산	백두산/NNP
밀영과	밀영/NNP+과/JC
만경대	만경대/NNP
방문,	방문/NNG+,/SP
김일성·김정일	김일성/NNP+·/SP+김정일/NNP
동상	동상/NNG
헌화	헌화/NNG
행사	행사/NNG
등에	등/NNB+에/JKB
동원됐다.	동원/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.342.5.1
16일 입경 과정에서도 북한의 ‘비밀주의’가 이어졌다.

16일	16/SN+일/NNB
입경	입경/NNG
과정에서도	과정/NNG+에서/JKB+도/JX
북한의	북한/NNP+의/JKG
‘비밀주의’가	‘/SS+비밀주의/NNG+’/SS+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.342.5.2
당초 랠리팀은 오후 3시 한국 땅을 밟을 계획이었지만 북한은 군 통신선으로 ‘오후 5시에 넘어간다’는 한마디만 전하고 묵묵부답이었다.

당초	당초/NNG
랠리팀은	랠리/NNG+팀/NNG+은/JX
오후	오후/NNG
3시	3/SN+시/NNB
한국	한국/NNP
땅을	땅/NNG+을/JKO
밟을	밟/VV+을/ETM
계획이었지만	계획/NNG+이/VCP+었/EP+지만/EC
북한은	북한/NNP+은/JX
군	군/NNG
통신선으로	통신선/NNG+으로/JKB
