# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.200
metadata : {}


# id : NWRW1800000054.200.1.1
충북, 오늘도 120㎜ 비 예고… 퍼부은 데만 또 내리붓는 폭우

충북,	충북/NNP+,/SP
오늘도	오늘/NNG+도/JX
120㎜	120/SN+㎜/SW
비	비/NNG
예고…	예고/NNG+…/SE
퍼부은	퍼붓/VV+은/ETM
데만	데/NNB+만/JX
또	또/MAG
내리붓는	내리붓/VV+는/ETM
폭우	폭우/NNG


# id : NWRW1800000054.200.2.1
어제 90㎜, 경기 안성은 194.5㎜… 장마 아닌 소멸 태풍 영향

어제	어제/MAG
90㎜,	90/SN+㎜/SW+,/SP
경기	경기/NNP
안성은	안성/NNP+은/JX
194.5㎜…	194/SN+./SP+5/SN+㎜/SW+…/SE
장마	장마/NNG
아닌	아니/VCN+ㄴ/ETM
소멸	소멸/NNG
태풍	태풍/NNG
영향	영향/NNG


# id : NWRW1800000054.200.3.1
2주 전 최악의 물난리를 겪었던 충북 지역에 또다시 많은 비가 쏟아졌다.

2주	2/SN+주/NNB
전	전/NNG
최악의	최악/NNG+의/JKG
물난리를	물난리/NNG+를/JKO
겪었던	겪/VV+었/EP+던/ETM
충북	충북/NNP
지역에	지역/NNG+에/JKB
또다시	또다시/MAG
많은	많/VA+은/ETM
비가	비/NNG+가/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.200.3.2
31일 청주기상지청에 따르면 충주 노은 89.5㎜, 음성 금왕 76.5㎜, 괴산 청천 75.5㎜, 청주 상당(미원) 71㎜ 등의 강수량을 기록했다.

31일	31/SN+일/NNB
청주기상지청에	청주기상지청/NNP+에/JKB
따르면	따르/VV+면/EC
충주	충주/NNP
노은	노은/NNP
89.5㎜,	89/SN+./SP+5/SN+㎜/SW+,/SP
음성	음성/NNP
금왕	금왕/NNP
76.5㎜,	76/SN+./SP+5/SN+㎜/SW+,/SP
괴산	괴산/NNP
청천	청천/NNP
75.5㎜,	75/SN+./SP+5/SN+㎜/SW+,/SP
청주	청주/NNP
상당(미원)	상당/NNP+(/SS+미원/NNP+)/SS
71㎜	71/SN+㎜/SW
등의	등/NNB+의/JKG
강수량을	강수량/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.200.3.3
경기 안성에는 194.5㎜, 경기 평택엔 151.0㎜의 폭우가 내렸다.

경기	경기/NNP
안성에는	안성/NNP+에/JKB+는/JX
194.5㎜,	194/SN+./SP+5/SN+㎜/SW+,/SP
평택엔	평택/NNP+에/JKB+ㄴ/JX
151.0㎜의	151/SN+./SP+0/SN+㎜/SW+의/JKG
폭우가	폭우/NNG+가/JKS
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.200.4.1
