# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.82
metadata : {}


# id : NWRW1800000036.82.1.1
‘페이스북’ 저커버그 대박 치자마자 결혼

‘페이스북’	‘/SS+페이스북/NNP+’/SS
저커버그	저커버그/NNP
대박	대/XPN+박/NNG
치자마자	치/VV+자마자/EC
결혼	결혼/NNG


# id : NWRW1800000036.82.2.1
[한겨레] 9년 사귄 중국계 여성과

[한겨레]	[/SS+한겨레/NNP+]/SS
9년	9/SN+년/NNB
사귄	사귀/VV+ㄴ/ETM
중국계	중국/NNP+계/XSN
여성과	여성/NNG+과/JKB


# id : NWRW1800000036.82.3.1
기업공개 다음날 집에서

기업공개	기업/NNG+공개/NNG
다음날	다음날/NNG
집에서	집/NNG+에서/JKB


# id : NWRW1800000036.82.4.1
페이스북 기업공개(IPO)로 단숨에 200억달러(23조4000억원)대 부자가 된 창립자 마크 저커버그(28·사진 오른쪽)가 기업공개 다음날인 19일 결혼했다.

페이스북	페이스북/NNP
기업공개(IPO)로	기업/NNG+공개/NNG+(/SS+IPO/SL+)/SS+로/JKB
단숨에	단숨에/MAG
200억달러(23조4000억원)대	200/SN+억/NR+달러/NNB+(/SS+23/SN+조/NR+4000/SN+억/NR+원/NNB+)/SS+대/XSN
부자가	부자/NNG+가/JKC
된	되/VV+ㄴ/ETM
창립자	창립자/NNG
마크	마크/NNP
저커버그(28·사진	저커버그/NNP+(/SS+28/SN+·/SP+사진/NNG
오른쪽)가	오른쪽/NNG+)/SS+가/JKS
기업공개	기업/NNG+공개/NNG
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
19일	19/SN+일/NNB
결혼했다.	결혼/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.82.4.2
신부는 그와 9년 동안 연애해온 중국계 프리실라 챈(27·왼쪽)이다.

신부는	신부/NNG+는/JX
그와	그/NP+와/JKB
9년	9/SN+년/NNB
동안	동안/NNG
연애해온	연애/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
중국계	중국/NNP+계/XSN
프리실라	프리실라/NNP
챈(27·왼쪽)이다.	챈/NNP+(/SS+27/SN+·/SP+왼쪽/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000036.82.5.1
저커버그는 이날 미국 캘리포니아주 팔로알토에 있는 자신의 집 뒷마당에서 100명의 가까운 사람들만 불러서 결혼식을 올렸다고 <에이피>(AP) 통신 등이 보도했다.

저커버그는	저커버그/NNP+는/JX
이날	이날/NNG
미국	미국/NNP
캘리포니아주	캘리포니아주/NNP
팔로알토에	팔로알토/NNP+에/JKB
있는	있/VA+는/ETM
자신의	자신/NNG+의/JKG
집	집/NNG
뒷마당에서	뒷마당/NNG+에서/JKB
100명의	100/SN+명/NNB+의/JKG
가까운	가깝/VA+ㄴ/ETM
사람들만	사람/NNG+들/XSN+만/JX
불러서	부르/VV+어서/EC
결혼식을	결혼식/NNG+을/JKO
올렸다고	올리/VV+었/EP+다고/EC
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신	통신/NNG
등이	등/NNB+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.82.5.2
이 지인들은 파티가 챈의 의대 졸업 기념 파티인줄 알고 참석했다가 결혼식이라는 것을 알고 깜짝 놀랐던 것으로 알려졌다.

이	이/MMD
지인들은	지인/NNG+들/XSN+은/JX
파티가	파티/NNG+가/JKS
챈의	챈/NNP+의/JKG
의대	의대/NNG
졸업	졸업/NNG
기념	기념/NNG
파티인줄	파티/NNG+이/VCP+ㄴ/ETM+줄/NNB
알고	알/VV+고/EC
참석했다가	참석/NNG+하/XSV+았/EP+다가/EC
결혼식이라는	결혼식/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
깜짝	깜짝/MAG
놀랐던	놀라/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.82.6.1
결혼식은 소박하게 치러졌으며, 저커버그는 단순한 모양의 루비를 박은 결혼반지를 직접 디자인해 챈에게 선물한 것으로 알려졌다.

결혼식은	결혼식/NNG+은/JX
소박하게	소박하/VA+게/EC
치러졌으며,	치르/VV+어/EC+지/VX+었/EP+으며/EC+,/SP
저커버그는	저커버그/NNP+는/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
모양의	모양/NNG+의/JKG
루비를	루비/NNG+를/JKO
박은	박/VV+은/ETM
결혼반지를	결혼반지/NNG+를/JKO
직접	직접/MAG
디자인해	디자인/NNG+하/XSV+아/EC
챈에게	챈/NNP+에게/JKB
선물한	선물/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.82.6.2
식사는 가정식에 저커버그 커플이 좋아하는 팔로알토의 일식 메뉴가 끼여 있었다.

식사는	식사/NNG+는/JX
