# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.171
metadata : {}


# id : NWRW1800000046.171.1.1
벌점 감면 후엔 늘 교통사고 증가… 特赦(특사) 딜레마

벌점	벌점/NNG
감면	감면/NNG
후엔	후/NNG+에/JKB+ㄴ/JX
늘	늘/MAG
교통사고	교통사고/NNG
증가…	증가/NNG+…/SE
特赦(특사)	特赦/SH+(/SS+특사/NNG+)/SS
딜레마	딜레마/NNG


# id : NWRW1800000046.171.2.1
교통 관련 감면 포함해야 100만명 대규모 특사 가능

교통	교통/NNG
관련	관련/NNG
감면	감면/NNG
포함해야	포함/NNG+하/XSV+아야/EC
100만명	100/SN+만/NR+명/NNB
대규모	대/XPN+규모/NNG
특사	특사/NNG
가능	가능/NNG


# id : NWRW1800000046.171.3.1
박근혜 정부가 추진 중인 광복 70주년 특별사면에 운전면허 벌점을 삭제해주거나 행정처분을 면제해주는 '특별감면(減免)'이 포함될 것이냐는 문제를 놓고 논란이 일고 있다.

박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
광복	광복/NNG
70주년	70/SN+주년/NNB
특별사면에	특별/NNG+사면/NNG+에/JKB
운전면허	운전면허/NNG
벌점을	벌점/NNG+을/JKO
삭제해주거나	삭제/NNG+하/XSV+아/EC+주/VX+거나/EC
행정처분을	행정/NNG+처분/NNG+을/JKO
면제해주는	면제/NNG+하/XSV+아/EC+주/VX+는/ETM
'특별감면(減免)'이	'/SS+특별/NNG+감면/NNG+(/SS+減免/SH+)/SS+'/SS+이/JKS
포함될	포함/NNG+되/XSV+ㄹ/ETM
것이냐는	것/NNB+이/VCP+냐는/ETM
문제를	문제/NNG+를/JKO
놓고	놓/VV+고/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.171.3.2
지금까지 교통 관련 특별감면 조치 이후엔 교통사고 발생 건수가 크게 증가하는 추세를 보여왔기 때문이다.

지금까지	지금/NNG+까지/JX
교통	교통/NNG
관련	관련/NNG
특별감면	특별/NNG+감면/NNG
조치	조치/NNG
이후엔	이후/NNG+에/JKB+ㄴ/JX
교통사고	교통사고/NNG
발생	발생/NNG
건수가	건수/NNG+가/JKS
크게	크/VA+게/EC
증가하는	증가/NNG+하/XSV+는/ETM
추세를	추세/NNG+를/JKO
보여왔기	보이/VV+어/EC+오/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.171.4.1
1995년 24만8000여건이던 교통사고 건수는 특별감면 직후인 1996년 26만5000여건으로 6.5% 증가했고, 이후 다시 감소세를 이어가다 1998년 대대적인 특별감면 이듬해인 1999년에는 전년 대비 15%나 증가했다.

1995년	1995/SN+년/NNB
24만8000여건이던	24/SN+만/NR+8000/SN+여/XSN+건/NNB+이/VCP+던/ETM
교통사고	교통사고/NNG
건수는	건수/NNG+는/JX
특별감면	특별/NNG+감면/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
1996년	1996/SN+년/NNB
26만5000여건으로	26/SN+만/NR+5000/SN+여/XSN+건/NNB+으로/JKB
6.5%	6/SN+./SP+5/SN+%/SW
증가했고,	증가/NNG+하/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
다시	다시/MAG
감소세를	감소세/NNG+를/JKO
이어가다	잇/VV+어/EC+가/VX+다/EC
1998년	1998/SN+년/NNB
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
이듬해인	이듬해/NNG+이/VCP+ㄴ/ETM
1999년에는	1999/SN+년/NNB+에/JKB+는/JX
전년	전년/NNG
대비	대비/NNG
15%나	15/SN+%/SW+나/JX
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.171.4.2
교통사고 증가율은 이후 -10%(2001년), -11%(2002년)로 다시 감소세로 돌아섰지만, 특별감면이 이뤄지자 2003년 다시 4.2%로 증가했다.

교통사고	교통사고/NNG
증가율은	증가/NNG+율/XSN+은/JX
이후	이후/NNG
-10%(2001년),	-/SO+10/SN+%/SW+(/SS+2001/SN+년/NNB+)/SS+,/SP
-11%(2002년)로	-/SO+11/SN+%/SW+(/SS+2002/SN+년/NNB+)/SS+로/JKB
다시	다시/MAG
감소세로	감소세/NNG+로/JKB
돌아섰지만,	돌아서/VV+었/EP+지만/EC+,/SP
특별감면이	특별/NNG+감면/NNG+이/JKS
이뤄지자	이뤄지/VV+자/EC
2003년	2003/SN+년/NNB
4.2%로	4/SN+./SP+2/SN+%/SW+로/JKB
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.171.4.3
2008년과 2009년에도 연이어 특별감면이 이어지며 교통사고 건수가 증가했다.

2008년과	2008/SN+년/NNB+과/JC
2009년에도	2009/SN+년/NNB+에/JKB+도/JX
연이어	연잇/VV+어/EC
특별감면이	특별/NNG+감면/NNG+이/JKS
이어지며	이어지/VV+며/EC
교통사고	교통사고/NNG
건수가	건수/NNG+가/JKS
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.171.4.4
특별감면 이후 교통사고 증가율이 감소한 것은 2010년(-2.2%)이었다.

특별감면	특별/NNG+감면/NNG
이후	이후/NNG
교통사고	교통사고/NNG
증가율이	증가/NNG+율/XSN+이/JKS
감소한	감소/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
2010년(-2.2%)이었다.	2010/SN+년/NNB+(/SS+-/SO+2/SN+./SP+2/SN+%/SW+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.171.4.5
2010년 감소된 것은 직전 해에 단행된 특별감면으로 워낙 증가율이 높아져 있던 터라 다소 줄었을 뿐 2008년에 비해선 5% 늘어난 수치다.

2010년	2010/SN+년/NNB
감소된	감소/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
직전	직전/NNG
해에	해/NNG+에/JKB
단행된	단행/NNG+되/XSV+ㄴ/ETM
특별감면으로	특별/NNG+감면/NNG+으로/JKB
워낙	워낙/MAG
증가율이	증가/NNG+율/XSN+이/JKS
높아져	높아지/VV+어/EC
있던	있/VX+던/ETM
터라	터/NNB+이/VCP+라/EC
다소	다소/MAG
줄었을	줄/VV+었/EP+을/ETM
뿐	뿐/NNB
2008년에	2008/SN+년/NNB+에/JKB
비해선	비/NNG+하/XSV+아서/EC+ㄴ/JX
5%	5/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.171.5.1
일선 경찰관들은 "사면으로 다시 운전할 수 있게 된 사람 중 다시 단속에 걸리거나 사고를 내는 경우가 많다"고 말한다.

일선	일선/NNG
경찰관들은	경찰관/NNG+들/XSN+은/JX
"사면으로	"/SS+사면/NNG+으로/JKB
다시	다시/MAG
운전할	운전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된	되/VV+ㄴ/ETM
사람	사람/NNG
중	중/NNB
단속에	단속/NNG+에/JKB
걸리거나	걸리/VV+거나/EC
사고를	사고/NNG+를/JKO
내는	내/VV+는/ETM
경우가	경우/NNG+가/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.171.5.2
익명을 요구한 서울의 한 교통 경찰관은 "감면자 중에는 진짜 딱한 사정을 가진 분들도 있지만 '다시 운전하게 허용해도 되나' 싶은 사람도 적지 않다"고 말했다.

익명을	익명/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
서울의	서울/NNP+의/JKG
한	한/MMN
교통	교통/NNG
경찰관은	경찰관/NNG+은/JX
"감면자	"/SS+감면자/NNG
중에는	중/NNB+에/JKB+는/JX
진짜	진짜/NNG
딱한	딱하/VA+ㄴ/ETM
사정을	사정/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
분들도	분/NNB+들/XSN+도/JX
있지만	있/VA+지만/EC
'다시	'/SS+다시/MAG
운전하게	운전/NNG+하/XSV+게/EC
허용해도	허용/NNG+하/XSV+아도/EC
되나'	되/VV+나/EF+'/SS
싶은	싶/VX+은/ETM
사람도	사람/NNG+도/JX
적지	적/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.171.6.1
