# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.118
metadata : {}


# id : NWRW1800000024.118.1.1
직원 폭행 청양군수 고발

직원	직원/NNG
폭행	폭행/NNG
청양군수	청양군수/NNG
고발	고발/NNG


# id : NWRW1800000024.118.2.1
전국공무원노동조합 충남본부 청양군지부 등은 6일 김시환 청양군수를 폭행 등의 혐의로 경찰에 고발하는 한편 군수 사퇴를 촉구했다.

전국공무원노동조합	전국공무원노동조합/NNP
충남본부	충남/NNP+본부/NNG
청양군지부	청양군/NNP+지부/NNG
등은	등/NNB+은/JX
6일	6/SN+일/NNB
김시환	김시환/NNP
청양군수를	청양군수/NNG+를/JKO
폭행	폭행/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
고발하는	고발/NNG+하/XSV+는/ETM
한편	한편/NNG
군수	군수/NNG
사퇴를	사퇴/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.118.3.1
공무원노조 청양군지부, 청양지역 민주단체연합, 청양군농민회 등은 이날 청양군청 앞에서 기자회견을 열어 “김 군수는 자신의 마음에 들지 않으면 대상에 관계없이 욕설을 해왔고, 특히 자신의 수행비서를 폭행해 2주의 상처를 내는 등 지자체장으로서 자질이 없음을 드러냈다”며 자진사퇴를 촉구했다.

공무원노조	공무원/NNG+노조/NNG
청양군지부,	청양군/NNP+지부/NNG+,/SP
청양지역	청양/NNP+지역/NNG
민주단체연합,	민주/NNG+단체/NNG+연합/NNG+,/SP
청양군농민회	청양군농민회/NNP
등은	등/NNB+은/JX
이날	이날/NNG
청양군청	청양군청/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“김	“/SS+김/NNP
군수는	군수/NNG+는/JX
자신의	자신/NNG+의/JKG
마음에	마음/NNG+에/JKB
들지	들/VV+지/EC
않으면	않/VX+으면/EC
대상에	대상/NNG+에/JKB
관계없이	관계없이/MAG
욕설을	욕설/NNG+을/JKO
해왔고,	하/VV+아/EC+오/VX+았/EP+고/EC+,/SP
특히	특히/MAG
수행비서를	수행/NNG+비서/NNG+를/JKO
폭행해	폭행/NNG+하/XSV+아/EC
2주의	2/SN+주/NNB+의/JKG
상처를	상처/NNG+를/JKO
내는	내/VV+는/ETM
등	등/NNB
지자체장으로서	지자체장/NNG+으로서/JKB
자질이	자질/NNG+이/JKS
없음을	없/VA+음/ETN+을/JKO
드러냈다”며	드러내/VV+었/EP+다/EF+”/SS+며/EC
자진사퇴를	자진/NNG+사퇴/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.118.3.2
이들 단체는 이어 “사건의 크고 작음을 떠나 공인으로서 하지 말아야 할 짓을 했다”며 폭행 혐의로 경찰에 고발했다.

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
이어	이어/MAG
“사건의	“/SS+사건/NNG+의/JKG
크고	크/VA+고/EC
작음을	작/VA+음/ETN+을/JKO
떠나	떠나/VV+아/EC
공인으로서	공인/NNG+으로서/JKB
하지	하/VV+지/EC
말아야	말/VX+아야/EC
할	하/VX+ㄹ/ETM
짓을	짓/NNG+을/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
폭행	폭행/NNG
혐의로	혐의/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.118.4.1
김 청양군수는 지난 1일 오전 관내 행사에 참석하기 위한 차량 대기가 늦었다며 자신의 수행비서 이아무개(7급)씨에게 욕설을 하고 가방으로 머리를 내리쳐 전치 2주의 상처를 냈다.

김	김/NNP
청양군수는	청양군수/NNG+는/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
오전	오전/NNG
관내	관내/NNG
행사에	행사/NNG+에/JKB
참석하기	참석/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
차량	차량/NNG
대기가	대기/NNG+가/JKS
늦었다며	늦/VA+었/EP+다며/EC
자신의	자신/NNG+의/JKG
수행비서	수행/NNG+비서/NNG
이아무개(7급)씨에게	이/NNP+아무개/NP+(/SS+7/SN+급/NNG+)/SS+씨/NNB+에게/JKB
욕설을	욕설/NNG+을/JKO
하고	하/VV+고/EC
가방으로	가방/NNG+으로/JKB
머리를	머리/NNG+를/JKO
내리쳐	내리치/VV+어/EC
전치	전치/NNG
2주의	2/SN+주/NNB+의/JKG
상처를	상처/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.118.5.1
또 항의하는 수행비서에게 “내년 선거가 끝나면 승진시켜줄 테니 조용히 해달라”고 회유하기도 했다고 이들 단체는 밝혔다.

또	또/MAG
항의하는	항의/NNG+하/XSV+는/ETM
수행비서에게	수행/NNG+비서/NNG+에게/JKB
“내년	“/SS+내년/NNG
선거가	선거/NNG+가/JKS
