# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.28
metadata : {}


# id : NWRW1800000053.28.1.1
[공기업 감동경영]‘지역 관광 네트워킹의 장’ 트래블아이 어워즈 시상식

[공기업	[/SS+공기업/NNG
감동경영]‘지역	감동/NNG+경영/NNG+]/SS+‘/SS+지역/NNG
관광	관광/NNG
네트워킹의	네트워킹/NNG+의/JKG
장’	장/NNG+’/SS
트래블아이	트래블아이/NNP
어워즈	어워즈/NNG
시상식	시상식/NNG


# id : NWRW1800000053.28.2.1
문화마케팅연구소

문화마케팅연구소	문화/NNG+마케팅/NNG+연구소/NNG


# id : NWRW1800000053.28.3.1
2017 제3회 트래블아이 어워즈 시상식이 21일 한국프레스센터에서 열렸다.

2017	2017/SN
제3회	제/XPN+3/SN+회/NNB
트래블아이	트래블아이/NNP
어워즈	어워즈/NNG
시상식이	시상식/NNG+이/JKS
21일	21/SN+일/NNB
한국프레스센터에서	한국프레스센터/NNP+에서/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.28.3.2
이날 시상식에는 8개 부문 20개 광역 및 기초지자체 관계자, 지역 관광네트워크 관계자 100여 명이 참석했다.

이날	이날/NNG
시상식에는	시상식/NNG+에/JKB+는/JX
8개	8/SN+개/NNB
부문	부문/NNG
20개	20/SN+개/NNB
광역	광역/NNG
및	및/MAG
기초지자체	기초/NNG+지자체/NNG
관계자,	관계자/NNG+,/SP
지역	지역/NNG
관광네트워크	관광/NNG+네트워크/NNG
관계자	관계자/NNG
100여	100/SN+여/XSN
명이	명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.28.3.3
이번 행사는 문화마케팅연구소 주관, 관광정보 플랫폼 트래블아이·관광인터넷신문 트래블투데이 주최, 동아일보 후원으로 진행 됐다.

이번	이번/NNG
행사는	행사/NNG+는/JX
문화마케팅연구소	문화/NNG+마케팅/NNG+연구소/NNG
주관,	주관/NNG+,/SP
관광정보	관광/NNG+정보/NNG
플랫폼	플랫폼/NNG
트래블아이·관광인터넷신문	트래블아이/NNP+·/SP+관광/NNG+인터넷/NNG+신문/NNG
트래블투데이	트래블투데이/NNP
주최,	주최/NNG+,/SP
동아일보	동아일보/NNP
후원으로	후원/NNG+으로/JKB
진행	진행/NNG
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.28.4.1
시상식 본 행사에는 수상 기관인 광역 및 기초지자체 관계자, 지역 문화관광재단, 지역관광공사(RTO) 등이 참석했고 언론계, 문화계, 지역 관광 종사자 등이 내빈으로 참석해 트래블아이가 추구하고 있는 지역 관광마케팅 네트워킹의 의미를 빛냈다.

시상식	시상식/NNG
본	본/NA
행사에는	행사/NNG+에/JKB+는/JX
수상	수상/NNG
기관인	기관/NNG+이/VCP+ㄴ/ETM
광역	광역/NNG
및	및/MAG
기초지자체	기초/NNG+지자체/NNG
관계자,	관계자/NNG+,/SP
지역	지역/NNG
문화관광재단,	문화/NNG+관광/NNG+재단/NNG+,/SP
지역관광공사(RTO)	지역/NNG+관광공사/NNP+(/SS+RTO/SL+)/SS
등이	등/NNB+이/JKS
참석했고	참석/NNG+하/XSV+았/EP+고/EC
언론계,	언론/NNG+계/XSN+,/SP
문화계,	문화/NNG+계/XSN+,/SP
관광	관광/NNG
종사자	종사자/NNG
내빈으로	내빈/NNG+으로/JKB
참석해	참석/NNG+하/XSV+아/EC
트래블아이가	트래블아이/NNP+가/JKS
추구하고	추구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
관광마케팅	관광/NNG+마케팅/NNG
네트워킹의	네트워킹/NNG+의/JKG
의미를	의미/NNG+를/JKO
빛냈다.	빛내/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.28.5.1
트래블아이 어워즈 주관사인 관광마케팅 전문기업 문화마케팅연구소 이호열 공장장은 “관광정보는 여행을 준비하는 분들이 사용한다.

트래블아이	트래블아이/NNP
어워즈	어워즈/NNG
주관사인	주관사/NNG+이/VCP+ㄴ/ETM
관광마케팅	관광/NNG+마케팅/NNG
전문기업	전문/NNG+기업/NNG
문화마케팅연구소	문화/NNG+마케팅/NNG+연구소/NNG
이호열	이호열/NNP
공장장은	공장장/NNG+은/JX
“관광정보는	“/SS+관광/NNG+정보/NNG+는/JX
여행을	여행/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
분들이	분/NNB+들/XSN+이/JKS
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.28.5.2
이러한 여행 준비는 어느 날 문득 하기도 하고 사전에 치밀한 계획으로 준비하기도 한다.

이러한	이러하/VA+ㄴ/ETM
여행	여행/NNG
준비는	준비/NNG+는/JX
어느	어느/MMD
날	날/NNG
문득	문득/MAG
하기도	하/VV+기/ETN+도/JX
하고	하/VX+고/EC
사전에	사전/NNG+에/JKB
치밀한	치밀하/VA+ㄴ/ETM
계획으로	계획/NNG+으로/JKB
준비하기도	준비/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.28.5.3
이러한 의미에서 올 10월 상용서비스를 개시한 관광정보 사용자 빅데이터 통계 시스템 ‘트래블데이터’는 지역 관광 마케팅 정책을 수립하는 모든 분에게 도움이 될 것”이라는 환영사를 밝히고 “시상식이 시상과 수상에 의미를 부여하기보다는 지역 관광공동체의 네트워킹 장으로서 지역 관광자원 교류와 지역 관광마케팅 주체 간의 교류가 활성화되는 시발점이 되었으면 한다”는 의지를 표명했다.

이러한	이러하/VA+ㄴ/ETM
의미에서	의미/NNG+에서/JKB
올	올/NNG
10월	10/SN+월/NNB
상용서비스를	상용/NNG+서비스/NNG+를/JKO
개시한	개시/NNG+하/XSV+ㄴ/ETM
관광정보	관광/NNG+정보/NNG
사용자	사용자/NNG
빅데이터	빅데이터/NNG
통계	통계/NNG
시스템	시스템/NNG
‘트래블데이터’는	‘/SS+트래블데이터/NNP+’/SS+는/JX
지역	지역/NNG
관광	관광/NNG
마케팅	마케팅/NNG
정책을	정책/NNG+을/JKO
수립하는	수립/NNG+하/XSV+는/ETM
모든	모든/MMN
분에게	분/NNB+에게/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
환영사를	환영사/NNG+를/JKO
밝히고	밝히/VV+고/EC
