# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.257
metadata : {}


# id : NWRW1800000030.257.1.1
[조선데스크] 늘어나는 노인 분노범죄

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
늘어나는	늘어나/VV+는/ETM
노인	노인/NNG
분노범죄	분노/NNG+범죄/NNG


# id : NWRW1800000030.257.2.1
초보 기자 시절인 1994년 9월 전남 고흥에서 70대 노인이 90대 노모를 목 졸라 숨지게 한 사건을 취재한 일이 있었다.

초보	초보/NNG
기자	기자/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
1994년	1994/SN+년/NNB
9월	9/SN+월/NNB
전남	전남/NNP
고흥에서	고흥/NNP+에서/JKB
70대	70/SN+대/NNB
노인이	노인/NNG+이/JKS
90대	90/SN+대/NNB
노모를	노모/NNG+를/JKO
목	목/NNG
졸라	조르/VV+아/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
사건을	사건/NNG+을/JKO
취재한	취재/NNG+하/XSV+ㄴ/ETM
일이	일/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.257.2.2
70대 노인은 아내가 세상을 떠나 노모를 모실 길이 막막해지자 서울에 사는 자신의 자식들을 차례로 찾아가 할머니 봉양 의사를 타진했다.

70대	70/SN+대/NNB
노인은	노인/NNG+은/JX
아내가	아내/NNG+가/JKS
세상을	세상/NNG+을/JKO
떠나	떠나/VV+아/EC
노모를	노모/NNG+를/JKO
모실	모시/VV+ㄹ/ETM
길이	길/NNG+이/JKS
막막해지자	막막하/VA+아/EC+지/VX+자/EC
서울에	서울/NNP+에/JKB
사는	살/VV+는/ETM
자신의	자신/NNG+의/JKG
자식들을	자식/NNG+들/XSN+을/JKO
차례로	차례/NNG+로/JKB
찾아가	찾아가/VV+아/EC
할머니	할머니/NNG
봉양	봉양/NNG
의사를	의사/NNG+를/JKO
타진했다.	타진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.257.2.3
그런데 모두 못 모시겠다고 하자 울분을 참지 못하고 자신의 부인 무덤 옆에서 노모를 목졸라 살해한 것이다.

그런데	그런데/MAJ
모두	모두/MAG
못	못/MAG
모시겠다고	모시/VV+겠/EP+다고/EC
하자	하/VV+자/EC
울분을	울분/NNG+을/JKO
참지	참/VV+지/EC
못하고	못하/VX+고/EC
자신의	자신/NNG+의/JKG
부인	부인/NNG
무덤	무덤/NNG
옆에서	옆/NNG+에서/JKB
노모를	노모/NNG+를/JKO
목졸라	목/NNG+조르/VV+아/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.257.2.4
17년 전 안개 자욱한 밤늦게 노인의 육성을 들어보기 위해 고흥경찰서 유치장을 찾아갔을 때 그의 분노에 찬 푹 꺼진 두 눈이 아직도 눈에 선하다.

17년	17/SN+년/NNB
전	전/NNG
안개	안개/NNG
자욱한	자욱하/VA+ㄴ/ETM
밤늦게	밤늦/VA+게/EC
노인의	노인/NNG+의/JKG
육성을	육성/NNG+을/JKO
들어보기	듣/VV+어/EC+보/VX+기/ETN
위해	위하/VV+아/EC
고흥경찰서	고흥/NNP+경찰서/NNG
유치장을	유치장/NNG+을/JKO
찾아갔을	찾아가/VV+았/EP+을/ETM
때	때/NNG
그의	그/NP+의/JKG
분노에	분노/NNG+에/JKB
찬	차/VV+ㄴ/ETM
푹	푹/MAG
꺼진	꺼지/VV+ㄴ/ETM
두	두/MMN
눈이	눈/NNG+이/JKS
아직도	아직/MAG+도/JX
눈에	눈/NNG+에/JKB
선하다.	선하/VA+다/EF+./SF


# id : NWRW1800000030.257.3.1
우리나라가 고령사회에 진입하면서 노인 범죄도 빠른 속도로 늘어나고 있다.

우리나라가	우리나라/NNG+가/JKS
고령사회에	고령/NNG+사회/NNG+에/JKB
진입하면서	진입/NNG+하/XSV+면서/EC
노인	노인/NNG
범죄도	범죄/NNG+도/JX
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.257.3.2
2009년 범죄자 중 60세 이상 노인은 5.0%를 차지했다(대검찰청 2010 범죄분석).

2009년	2009/SN+년/NNB
범죄자	범죄자/NNG
중	중/NNB
60세	60/SN+세/NNB
이상	이상/NNG
노인은	노인/NNG+은/JX
5.0%를	5/SN+./SP+0/SN+%/SW+를/JKO
차지했다(대검찰청	차지/NNG+하/XSV+았/EP+다/EF+(/SS+대/XPN+검찰청/NNG
2010	2010/SN
범죄분석).	범죄/NNG+분석/NNG+)/SS+./SF


# id : NWRW1800000030.257.3.3
10년 전 2.3%에서 두 배 이상 높아진 것이다.

10년	10/SN+년/NNB
전	전/NNG
2.3%에서	2/SN+./SP+3/SN+%/SW+에서/JKB
두	두/MMN
배	배/NNG
이상	이상/NNG
높아진	높아지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.257.3.4
10년 동안 전체 범죄자는 9% 늘었는데, 노인 범죄자는 240%나 증가했다.

10년	10/SN+년/NNB
동안	동안/NNG
전체	전체/NNG
범죄자는	범죄자/NNG+는/JX
9%	9/SN+%/SW
늘었는데,	늘/VV+었/EP+는데/EC+,/SP
노인	노인/NNG
240%나	240/SN+%/SW+나/JX
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.257.3.5
노인 인구도 늘고 있지만 노인 범죄가 훨씬 빠른 속도로 늘어나고 있는 것이다.

노인	노인/NNG
인구도	인구/NNG+도/JX
늘고	늘/VV+고/EC
있지만	있/VX+지만/EC
범죄가	범죄/NNG+가/JKS
훨씬	훨씬/MAG
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
늘어나고	늘어나/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.257.4.1
생활고에 따른 생계형 범죄 성격이 강한 노인들의 절도 범죄는 10년 동안 6.3배나 증가했다.

생활고에	생활고/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
생계형	생계/NNG+형/XSN
범죄	범죄/NNG
성격이	성격/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
노인들의	노인/NNG+들/XSN+의/JKG
절도	절도/NNG
범죄는	범죄/NNG+는/JX
10년	10/SN+년/NNB
동안	동안/NNG
6.3배나	6/SN+./SP+3/SN+배/NNG+나/JX
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.257.4.2
2008년 기준 우리나라 노인빈곤율은 45% 수준으로 OECD 평균보다 3배나 높다.

2008년	2008/SN+년/NNB
기준	기준/NNG
우리나라	우리나라/NNG
노인빈곤율은	노인/NNG+빈곤/NNG+율/XSN+은/JX
45%	45/SN+%/SW
