# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.54
metadata : {}


# id : NWRW1800000026.54.1.1
[제주·서울] "제주에 기증한 내 그림 전부 돌려달라";서양화가 장리석 화백 작품 반환소송 제기

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
"제주에	"/SS+제주/NNP+에/JKB
기증한	기증/NNG+하/XSV+ㄴ/ETM
내	나/NP+의/JKG
그림	그림/NNG
전부	전부/MAG
돌려달라";서양화가	돌리/VV+어/EC+달/VX+라/EF+"/SS+;/SW+서양화가/NNG
장리석	장리석/NNP
화백	화백/NNG
작품	작품/NNG
반환소송	반환/NNG+소송/NNG
제기	제기/NNG


# id : NWRW1800000026.54.2.1
한국 화단의 거장 장리석(張利錫·94) 화백이 제주도를 상대로 작품 반환소송을 제기했다

한국	한국/NNP
화단의	화단/NNG+의/JKG
거장	거장/NNG
장리석(張利錫·94)	장리석/NNP+(/SS+張利錫/SH+·/SP+94/SN+)/SS
화백이	화백/NNG+이/JKS
제주도를	제주도/NNP+를/JKO
상대로	상대/NNG+로/JKB
작품	작품/NNG
반환소송을	반환/NNG+소송/NNG+을/JKO
제기했다	제기/NNG+하/XSV+았/EP+다/EF


# id : NWRW1800000026.54.3.1
17일 제주도에 따르면 서양화가인 장리석 화백이 지난 2005년 6월 제주도와의 협약에 따라 제주도립미술관 건립 기념으로 기증한 미술작품 112점 전부를 돌려달라는 소송을 최근 서울 서부지방법원에 제기했다.

17일	17/SN+일/NNB
제주도에	제주도/NNP+에/JKB
따르면	따르/VV+면/EC
서양화가인	서양화가/NNG+이/VCP+ㄴ/ETM
장리석	장리석/NNP
화백이	화백/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
6월	6/SN+월/NNB
제주도와의	제주도/NNP+와/JKB+의/JKG
협약에	협약/NNG+에/JKB
따라	따르/VV+아/EC
제주도립미술관	제주도립미술관/NNP
건립	건립/NNG
기념으로	기념/NNG+으로/JKB
기증한	기증/NNG+하/XSV+ㄴ/ETM
미술작품	미술/NNG+작품/NNG
112점	112/SN+점/NNB
전부를	전부/NNG+를/JKO
돌려달라는	돌리/VV+어/EC+달/VX+라는/ETM
소송을	소송/NNG+을/JKO
최근	최근/MAG
서울	서울/NNP
서부지방법원에	서부/NNG+지방/NNG+법원/NNG+에/JKB
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.54.4.1
장 화백이 밝힌 반환소송 사유는 제주도가 당초 약속과 달리 70여점의 작품을 전시하지 않고 수장고에 방치하고 있다는 것이다.

장	장/NNP
화백이	화백/NNG+이/JKS
밝힌	밝히/VV+ㄴ/ETM
반환소송	반환/NNG+소송/NNG
사유는	사유/NNG+는/JX
제주도가	제주도/NNP+가/JKS
당초	당초/NNG
약속과	약속/NNG+과/JKB
달리	달리/MAG
70여점의	70/SN+여/XSN+점/NNB+의/JKG
작품을	작품/NNG+을/JKO
전시하지	전시/NNG+하/XSV+지/EC
않고	않/VX+고/EC
수장고에	수장고/NNG+에/JKB
방치하고	방치/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.54.4.2
그는 "기증 작품의 3분의 1밖에 못 보는 그런 미술관이 어디 있나"며 "당초 자신의 기증 취지에 반할 뿐만 아니라 작품에 대한 모독"이라고 주장하고 있다.

그는	그/NP+는/JX
"기증	"/SS+기증/NNG
작품의	작품/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1밖에	1/SN+밖에/JX
못	못/MAG
보는	보/VV+는/ETM
그런	그런/MMD
미술관이	미술관/NNG+이/JKS
어디	어디/NP
있나"며	있/VA+나/EF+"/SS+며/EC
"당초	"/SS+당초/NNG
자신의	자신/NNG+의/JKG
기증	기증/NNG
취지에	취지/NNG+에/JKB
반할	반하/VV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
작품에	작품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모독"이라고	모독/NNG+"/SS+이라고/JKQ
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.54.5.1
그러나 제주도는 "당초 협약내용대로 220㎡의 상설전시관을 마련하는 등 약속을 지켰다"며 장 화백의 반환소송 제기에 당혹스런 표정이다.

그러나	그러나/MAJ
제주도는	제주도/NNP+는/JX
"당초	"/SS+당초/NNG
협약내용대로	협약/NNG+내용/NNG+대로/JX
220㎡의	220/SN+㎡/SW+의/JKG
상설전시관을	상설/NNG+전시관/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
등	등/NNB
약속을	약속/NNG+을/JKO
지켰다"며	지키/VV+었/EP+다/EF+"/SS+며/EC
장	장/NNP
화백의	화백/NNG+의/JKG
반환소송	반환/NNG+소송/NNG
제기에	제기/NNG+에/JKB
당혹스런	당혹/NNG+스럽/XSA+ㄴ/ETM
표정이다.	표정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.54.6.1
평양이 고향인 장 화백은 6·25 전쟁 당시 제주도로 내려온 뒤 5년 동안 살면서 이중섭·홍종명·최영림 등과 함께 그림을 그리면서 제주와 인연을 맺었다.

평양이	평양/NNP+이/JKS
고향인	고향/NNG+이/VCP+ㄴ/ETM
장	장/NNP
화백은	화백/NNG+은/JX
6·25	6/SN+·/SP+25/SN
전쟁	전쟁/NNG
당시	당시/NNG
제주도로	제주도/NNP+로/JKB
내려온	내려오/VV+ㄴ/ETM
뒤	뒤/NNG
5년	5/SN+년/NNB
동안	동안/NNG
살면서	살/VV+면서/EC
이중섭·홍종명·최영림	이중섭/NNP+·/SP+홍종명/NNP+·/SP+최영림/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
그림을	그림/NNG+을/JKO
그리면서	그리/VV+면서/EC
제주와	제주/NNP+와/JKB
인연을	인연/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.54.7.1
제주도는 제주도립미술관 건립을 추진하면서 이 같은 인연이 있는 장 화백에게 작품 기증을 요청했다.

제주도는	제주도/NNP+는/JX
제주도립미술관	제주도립미술관/NNP
건립을	건립/NNG+을/JKO
추진하면서	추진/NNG+하/XSV+면서/EC
이	이/NP
같은	같/VA+은/ETM
인연이	인연/NNG+이/JKS
있는	있/VA+는/ETM
장	장/NNP
화백에게	화백/NNG+에게/JKB
작품	작품/NNG
기증을	기증/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.54.7.2
이에 장 화백은 일생 동안 그린 작품을 선뜻 내놓았다.

이에	이/NP+에/JKB
장	장/NNP
화백은	화백/NNG+은/JX
일생	일생/NNG
동안	동안/NNG
그린	그리/VV+ㄴ/ETM
작품을	작품/NNG+을/JKO
선뜻	선뜻/MAG
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.54.7.3
장 화백이 제주에 기증한 작품은 제4회 국전 특선 수상작인 '조롱과 노인'을 비롯해 걸작 10선으로 꼽히는 '찬방' '건설' '경부고속도로' '남국의 봄' '폭풍전' '산정' '여담' '차돌어멍' '휴식' 등이다.

장	장/NNP
화백이	화백/NNG+이/JKS
제주에	제주/NNP+에/JKB
기증한	기증/NNG+하/XSV+ㄴ/ETM
작품은	작품/NNG+은/JX
제4회	제/XPN+4/SN+회/NNB
국전	국전/NNG
특선	특선/NNG
