# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.361
metadata : {}


# id : NWRW1800000041.361.1.1
예산 ‘부당거래’

예산	예산/NNG
‘부당거래’	‘/SS+부당/NNG+거래/NNG+’/SS


# id : NWRW1800000041.361.2.1
정부, 376조원 중 1조 안팎 떼내… 정치권 요구 사업에 배분 계획 국회의 삭감 우려해 ‘선물’ 준비

정부,	정부/NNG+,/SP
376조원	376/SN+조/NR+원/NNB
중	중/NNB
1조	1/SN+조/NR
안팎	안팎/NNG
떼내…	떼/VV+어/EC+내/VX+어/EC+…/SE
정치권	정치/NNG+권/XSN
요구	요구/NNG
사업에	사업/NNG+에/JKB
배분	배분/NNG
계획	계획/NNG
국회의	국회/NNG+의/JKG
삭감	삭감/NNG
우려해	우려/NNG+하/XSV+아/EC
‘선물’	‘/SS+선물/NNG+’/SS
준비	준비/NNG


# id : NWRW1800000041.361.3.1
여야 간 정쟁으로 국회의 내년 예산안 심사가 지지부진한 가운데 정부가 당초 예정한 376조 원의 예산안에서 1조 원 안팎을 떼어내 정치권이 요구하는 증액사업에 배분할 계획인 것으로 알려졌다.

여야	여야/NNG
간	간/NNB
정쟁으로	정쟁/NNG+으로/JKB
국회의	국회/NNG+의/JKG
내년	내년/NNG
예산안	예산안/NNG
심사가	심사/NNG+가/JKS
지지부진한	지지부진/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
정부가	정부/NNG+가/JKS
당초	당초/NNG
예정한	예정/NNG+하/XSV+ㄴ/ETM
376조	376/SN+조/NR
원의	원/NNB+의/JKG
예산안에서	예산안/NNG+에서/JKB
1조	1/SN+조/NR
원	원/NNB
안팎을	안팎/NNG+을/JKO
떼어내	떼/VV+어/EC+내/VX+어/EC
정치권이	정치/NNG+권/XSN+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
증액사업에	증액/NNG+사업/NNG+에/JKB
배분할	배분/NNG+하/XSV+ㄹ/ETM
계획인	계획/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.361.3.2
국회의원들이 지역구 사업의 재원을 확보하기 위해 정부사업 예산을 무차별적으로 깎으려 할 수 있다고 보고 ‘협상용 재원’을 마련하는 것이다.

국회의원들이	국회/NNG+의원/NNG+들/XSN+이/JKS
지역구	지역구/NNG
사업의	사업/NNG+의/JKG
재원을	재원/NNG+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
정부사업	정부/NNG+사업/NNG
예산을	예산/NNG+을/JKO
무차별적으로	무/XPN+차별/NNG+적/XSN+으로/JKB
깎으려	깎/VV+으려/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
‘협상용	‘/SS+협상/NNG+용/XSN
재원’을	재원/NNG+’/SS+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.361.4.1
이에 따라 1953년 국회에 예산결산위원회가 설치된 뒤 계속돼 온 정부와 국회 간 ‘예산안 거래’가 올해에도 재연될 것이라는 우려가 커지고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
1953년	1953/SN+년/NNB
국회에	국회/NNG+에/JKB
예산결산위원회가	예산/NNG+결산/NNG+위원회/NNG+가/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
계속돼	계속/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
정부와	정부/NNG+와/JC
국회	국회/NNG
간	간/NNB
‘예산안	‘/SS+예산안/NNG
거래’가	거래/NNG+’/SS+가/JKS
올해에도	올해/NNG+에/JKB+도/JX
재연될	재연/NNG+되/XSV+ㄹ/ETM
