# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.385
metadata : {}


# id : NWRW1800000054.385.1.1
안경환 법무장관 후보자 사퇴

안경환	안경환/NNP
법무장관	법무/NNG+장관/NNG
후보자	후보자/NNG
사퇴	사퇴/NNG


# id : NWRW1800000054.385.2.1
오전엔 "사퇴 안한다" 기자회견… 저녁에 돌연 사의 표명

오전엔	오전/NNG+에/JKB+ㄴ/JX
"사퇴	"/SS+사퇴/NNG
안한다"	안/MAG+하/VV+ㄴ다/EF+"/SS
기자회견…	기자/NNG+회견/NNG+…/SE
저녁에	저녁/NNG+에/JKB
돌연	돌연/MAG
사의	사의/NNG
표명	표명/NNG


# id : NWRW1800000054.385.3.1
안경환(69) 법무부 장관 후보자가 16일 밤 후보직에서 사퇴했다.

안경환(69)	안경환/NNP+(/SS+69/SN+)/SS
법무부	법무부/NNG
장관	장관/NNG
후보자가	후보자/NNG+가/JKS
16일	16/SN+일/NNB
밤	밤/NNG
후보직에서	후보직/NNG+에서/JKB
사퇴했다.	사퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.385.3.2
청와대가 지난 11일 법무부 장관 후보자 지명을 발표한 지 5일 만이다.

청와대가	청와대/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
법무부	법무부/NNG
장관	장관/NNG
후보자	후보자/NNG
지명을	지명/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
지	지/NNB
5일	5/SN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.385.3.3
문재인 대통령이 지명한 장관급 이상 인사 가운데 사퇴는 안 후보자가 처음이다.

문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
지명한	지명/NNG+하/XSV+ㄴ/ETM
장관급	장관급/NNG
이상	이상/NNG
인사	인사/NNG
가운데	가운데/NNG
사퇴는	사퇴/NNG+는/JX
안	안/NNP
후보자가	후보자/NNG+가/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.385.3.4
문재인 정부 첫 인사 낙마 사례로 기록되게 됐다.

문재인	문재인/NNP
정부	정부/NNG
첫	첫/MMN
인사	인사/NNG
낙마	낙마/NNG
사례로	사례/NNG+로/JKB
기록되게	기록/NNG+되/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.385.4.1
안 후보자는 16일 저녁 8시 40분쯤 법무부를 통해 입장을 표명해 "법무장관 청문 후보직을 이 시간부로 사퇴한다"며 "문재인 정부의 개혁 추진에 걸림돌이 될 수 없어 직(職)을 내려놓습니다"라고 했다.

안	안/NNP
후보자는	후보자/NNG+는/JX
16일	16/SN+일/NNB
저녁	저녁/NNG
8시	8/SN+시/NNB
40분쯤	40/SN+분/NNB+쯤/XSN
법무부를	법무부/NNG+를/JKO
통해	통하/VV+아/EC
입장을	입장/NNG+을/JKO
