# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.399
metadata : {}


# id : NWRW1800000029.399.1.1
안철수-박원순 지난달 극비 회동… 朴 “신당 바람직하지 않다” 조언

안철수-박원순	안철수/NNP+-/SO+박원순/NNP
지난달	지난달/NNG
극비	극비/NNG
회동…	회동/NNG+…/SE
朴	朴/SH
“신당	“/SS+신당/NNG
바람직하지	바람직하/VA+지/EC
않다”	않/VX+다/EF+”/SS
조언	조언/NNG


# id : NWRW1800000029.399.2.1
박원순 서울시장이 안철수 서울대 융합과학기술대학원장을 비밀리에 만나 신당을 창당하지 말라고 조언한 것으로 확인됐다.

박원순	박원순/NNP
서울시장이	서울시장/NNG+이/JKS
안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장을	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+을/JKO
비밀리에	비밀/NNG+리/XSN+에/JKB
만나	만나/VV+아/EC
신당을	신당/NNG+을/JKO
창당하지	창당/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
조언한	조언/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.399.2.2
두 사람의 모임은 안 원장이 신당을 창당하지 않겠다고 1일 밝히기 나흘 전인 지난달 27일 이뤄져 박 시장의 조언이 상당한 영향을 미친 것 아니냐는 분석이 나오고 있다.

두	두/MMN
사람의	사람/NNG+의/JKG
모임은	모임/NNG+은/JX
안	안/NNP
원장이	원장/NNG+이/JKS
신당을	신당/NNG+을/JKO
창당하지	창당/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
1일	1/SN+일/NNB
밝히기	밝히/VV+기/ETN
나흘	나흘/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
27일	27/SN+일/NNB
이뤄져	이뤄지/VV+어/EC
박	박/NNP
시장의	시장/NNG+의/JKG
조언이	조언/NNG+이/JKS
상당한	상당/NNG+하/XSA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.399.3.1
류경기 서울시 대변인은 6일 “박 시장은 ‘신당 창당 등은 바람직하지 않을 수 있다’는 등 자신의 정치적 경험을 이야기해 주었다”며 “10·26 서울시장 보궐선거에 도움을 준 데 대한 감사의 인사 자리였다”고 밝혔다.

류경기	류경기/NNP
서울시	서울시/NNP
대변인은	대변인/NNG+은/JX
6일	6/SN+일/NNB
“박	“/SS+박/NNP
시장은	시장/NNG+은/JX
‘신당	‘/SS+신당/NNG
창당	창당/NNG
등은	등/NNB+은/JX
바람직하지	바람직하/VA+지/EC
않을	않/VX+을/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
등	등/NNB
자신의	자신/NNG+의/JKG
정치적	정치/NNG+적/XSN
경험을	경험/NNG+을/JKO
이야기해	이야기/NNG+하/XSV+아/EC
주었다”며	주/VX+었/EP+다/EF+”/SS+며/EC
“10·26	“/SS+10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거에	보궐/NNG+선거/NNG+에/JKB
도움을	도움/NNG+을/JKO
준	주/VV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
감사의	감사/NNG+의/JKG
인사	인사/NNG
자리였다”고	자리/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.399.4.1
박 시장이 안 원장에게 신당 창당에 부정적인 견해를 밝히면서 ‘자신의 정치적 경험’을 언급한 것은 정당 후보가 아니더라도 선거에서 충분히 통할 수 있다는 점을 강조한 것으로 보인다.

박	박/NNP
시장이	시장/NNG+이/JKS
안	안/NNP
원장에게	원장/NNG+에게/JKB
신당	신당/NNG
창당에	창당/NNG+에/JKB
