# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.415
metadata : {}


# id : NWRW1800000026.415.1.1
[제주·서울] "WCC 예산 등 제주도 중앙 절충 능력 부족해"

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
"WCC	"/SS+WCC/SL
예산	예산/NNG
등	등/NNB
제주도	제주도/NNP
중앙	중앙/NNG
절충	절충/NNG
능력	능력/NNG
부족해"	부족/NNG+하/XSA+아/EF+"/SS


# id : NWRW1800000026.415.2.1
세계자연보전총회(WCC) 성공 개최와 신공항 건설 등의 지역 현안을 둘러싸고 제주도의 중앙 절충 능력이 부족하다는 지적이 제기됐다.

세계자연보전총회(WCC)	세계/NNG+자연/NNG+보전/NNG+총회/NNG+(/SS+WCC/SL+)/SS
성공	성공/NNG
개최와	개최/NNG+와/JC
신공항	신/XPN+공항/NNG
건설	건설/NNG
등의	등/NNB+의/JKG
지역	지역/NNG
현안을	현안/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
제주도의	제주도/NNP+의/JKG
중앙	중앙/NNG
절충	절충/NNG
능력이	능력/NNG+이/JKS
부족하다는	부족/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.415.3.1
16일 열린 제주도의회 본회의에서 신관홍 의원은 "내년 국고보조금은 9712억9400만원으로 전년 대비 증가율이 6.9%에 그쳐 전국평균 8.8%보다 1.9% 포인트 낮았다"며 "정부를 상대로 한 예산 확보 능력에 한계를 보이고 있음이 여실히 드러났다"고 지적했다.

16일	16/SN+일/NNB
열린	열리/VV+ㄴ/ETM
제주도의회	제주도/NNP+의회/NNG
본회의에서	본회의/NNG+에서/JKB
신관홍	신관홍/NNP
의원은	의원/NNG+은/JX
"내년	"/SS+내년/NNG
국고보조금은	국고/NNG+보조금/NNG+은/JX
9712억9400만원으로	9712/SN+억/NR+9400/SN+만/NR+원/NNB+으로/JKB
전년	전년/NNG
대비	대비/NNG
증가율이	증가/NNG+율/XSN+이/JKS
6.9%에	6/SN+./SP+9/SN+%/SW+에/JKB
그쳐	그치/VV+어/EC
전국평균	전국/NNG+평균/NNG
8.8%보다	8/SN+./SP+8/SN+%/SW+보다/JKB
1.9%	1/SN+./SP+9/SN+%/SW
포인트	포인트/NNB
낮았다"며	낮/VA+았/EP+다/EF+"/SS+며/EC
"정부를	"/SS+정부/NNG+를/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
예산	예산/NNG
확보	확보/NNG
능력에	능력/NNG+에/JKB
한계를	한계/NNG+를/JKO
보이고	보이/VV+고/EC
있음이	있/VX+음/ETN+이/JKS
여실히	여실히/MAG
드러났다"고	드러나/VV+았/EP+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.415.4.1
신 의원은 또 "WCC 개최와 해군기지 갈등 해결, 신공항 건설 등의 지역 현안 해결을 위해서는 중앙정부와 국회의 전폭적인 지원과 제주도의 중앙 교섭력이 무엇보다 중요하다"며 "하지만 제주도가 보여준 중앙 절충 능력은 도민들을 실망시키고 있다"고 덧붙였다.

신	신/NNP
의원은	의원/NNG+은/JX
또	또/MAG
"WCC	"/SS+WCC/SL
개최와	개최/NNG+와/JC
해군기지	해군/NNG+기지/NNG
갈등	갈등/NNG
해결,	해결/NNG+,/SP
신공항	신/XPN+공항/NNG
건설	건설/NNG
등의	등/NNB+의/JKG
지역	지역/NNG
현안	현안/NNG
해결을	해결/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
중앙정부와	중앙/NNG+정부/NNG+와/JC
국회의	국회/NNG+의/JKG
전폭적인	전폭/NNG+적/XSN+이/VCP+ㄴ/ETM
지원과	지원/NNG+과/JC
제주도의	제주도/NNP+의/JKG
중앙	중앙/NNG
교섭력이	교섭력/NNG+이/JKS
무엇보다	무엇/NP+보다/JKB
중요하다"며	중요/NNG+하/XSA+다/EF+"/SS+며/EC
"하지만	"/SS+하지만/MAJ
제주도가	제주도/NNP+가/JKS
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
절충	절충/NNG
능력은	능력/NNG+은/JX
도민들을	도민/NNG+들/XSN+을/JKO
실망시키고	실망/NNG+시키/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.415.5.1
김경진 의원도 "WCC 관련 국비 절충 결과 신청 국비 중 17%만 반영됐으며, 제주도가 실질적으로 집행할 수 있는 예산은 49억원에 불과하다"고 질타했다.

김경진	김경진/NNP
의원도	의원/NNG+도/JX
"WCC	"/SS+WCC/SL
관련	관련/NNG
국비	국비/NNG
절충	절충/NNG
결과	결과/NNG
신청	신청/NNG
중	중/NNB
17%만	17/SN+%/SW+만/JX
반영됐으며,	반영/NNG+되/XSV+었/EP+으며/EC+,/SP
제주도가	제주도/NNP+가/JKS
실질적으로	실질/NNG+적/XSN+으로/JKB
집행할	집행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
예산은	예산/NNG+은/JX
49억원에	49/SN+억/NR+원/NNB+에/JKB
불과하다"고	불과/MAG+하/XSA+다/EF+"/SS+고/JKQ
질타했다.	질타/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.415.6.1
답변에 나선 우근민 지사는 "WCC 예산은 중앙 차원의 추진위원회가 구성돼 국무총리께서 직접 지원을 밝힌 만큼 최소한 400억원 이상은 확보할 수 있을 것"이라며 "안되면 반납하는 각오로 추진할 것"이라고 밝혔다.

답변에	답변/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
우근민	우근민/NNP
지사는	지사/NNG+는/JX
"WCC	"/SS+WCC/SL
예산은	예산/NNG+은/JX
중앙	중앙/NNG
차원의	차원/NNG+의/JKG
추진위원회가	추진/NNG+위원회/NNG+가/JKS
구성돼	구성/NNG+되/XSV+어/EC
국무총리께서	국무총리/NNG+께서/JKS
직접	직접/MAG
지원을	지원/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
만큼	만큼/NNB
최소한	최소한/MAG
400억원	400/SN+억/NR+원/NNB
이상은	이상/NNG+은/JX
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"안되면	"/SS+안/MAG+되/XSV+면/EC
반납하는	반납/NNG+하/XSV+는/ETM
각오로	각오/NNG+로/JKB
추진할	추진/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.415.7.1
우 지사는 "국고 보조금인 경우 10% 정도 올렸어야 하는데 못했다"며 "앞으로 중앙 절충을 통해 늘려 나가겠다"고 말했다.

우	우/NNP
지사는	지사/NNG+는/JX
"국고	"/SS+국고/NNG
보조금인	보조금/NNG+이/VCP+ㄴ/ETM
경우	경우/NNG
10%	10/SN+%/SW
정도	정도/NNG
올렸어야	올리/VV+었/EP+어야/EC
하는데	하/VX+는데/EC
못했다"며	못하/VX+았/EP+다/EF+"/SS+며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
중앙	중앙/NNG
절충을	절충/NNG+을/JKO
통해	통하/VV+아/EC
늘려	늘리/VV+어/EC
