# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.74
metadata : {}


# id : NWRW1800000028.74.1.1
성장 빠르고 자연산 같은 ‘신품종 넙치’

성장	성장/NNG
빠르고	빠르/VA+고/EC
자연산	자연/NNG+산/XSN
같은	같/VA+은/ETM
‘신품종	‘/SS+신/XPN+품종/NNG
넙치’	넙치/NNG+’/SS


# id : NWRW1800000028.74.2.1
일반 양식 넙치(광어)보다 30% 이상 빨리 자라면서 자연산과 비슷한 체형을 가진 신품종 넙치가 개발돼 양식 현장에 보급된다.

일반	일반/NNG
양식	양식/NNG
넙치(광어)보다	넙치/NNG+(/SS+광어/NNG+)/SS+보다/JKB
30%	30/SN+%/SW
이상	이상/NNG
빨리	빨리/MAG
자라면서	자라/VV+면서/EC
자연산과	자연/NNG+산/XSN+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
체형을	체형/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
신품종	신/XPN+품종/NNG
넙치가	넙치/NNG+가/JKS
개발돼	개발/NNG+되/XSV+어/EC
현장에	현장/NNG+에/JKB
보급된다.	보급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.74.3.1
국립수산과학원 육종연구센터는 신품종 육종넙치를 개발해 지난 5일 보고회를 열었다고 밝혔다.

국립수산과학원	국립수산과학원/NNP
육종연구센터는	육종/NNG+연구/NNG+센터/NNG+는/JX
신품종	신/XPN+품종/NNG
육종넙치를	육종/NNG+넙치/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
보고회를	보고회/NNG+를/JKO
열었다고	열/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.74.3.2
이날로 본격 보급되는 신품종 육종넙치는 현재 양식되고 있는 넙치에 견줘 30% 이상 성장이 빠를 뿐 아니라 자연산과 비슷한 체형에 생존율이 높고, 기형 발생률도 낮다고 연구센터는 설명했다.

이날로	이날/NNG+로/JKB
본격	본격/NNG
보급되는	보급/NNG+되/XSV+는/ETM
신품종	신/XPN+품종/NNG
육종넙치는	육종/NNG+넙치/NNG+는/JX
현재	현재/MAG
양식되고	양식/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
넙치에	넙치/NNG+에/JKB
견줘	견주/VV+어/EC
30%	30/SN+%/SW
이상	이상/NNG
성장이	성장/NNG+이/JKS
빠를	빠르/VA+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
자연산과	자연/NNG+산/XSN+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
체형에	체형/NNG+에/JKB
생존율이	생존/NNG+율/XSN+이/JKS
높고,	높/VA+고/EC+,/SP
기형	기형/NNG
발생률도	발생/NNG+률/XSN+도/JX
낮다고	낮/VA+다고/EC
연구센터는	연구/NNG+센터/NNG+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.74.3.3
육종연구센터는 1차로 우리나라 넙치 종묘 수요의 10%에 해당하는 양을 각 양식장에 보급하기로 했다.

육종연구센터는	육종/NNG+연구/NNG+센터/NNG+는/JX
1차로	1/SN+차/NNB+로/JKB
우리나라	우리나라/NNG
넙치	넙치/NNG
종묘	종묘/NNG
수요의	수요/NNG+의/JKG
10%에	10/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
양을	양/NNG+을/JKO
각	각/MMD
양식장에	양식장/NNG+에/JKB
보급하기로	보급/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.74.3.4
이 신품종 육종넙치 보급을 통해 연간 636억원의 사육기간 단축 등에 따른 생산원가 절감 효과를 볼 수 있을 것이라고 육종연구센터는 밝혔다.

이	이/MMD
신품종	신/XPN+품종/NNG
육종넙치	육종/NNG+넙치/NNG
보급을	보급/NNG+을/JKO
통해	통하/VV+아/EC
연간	연간/NNG
636억원의	636/SN+억/NR+원/NNB+의/JKG
사육기간	사육/NNG+기간/NNG
단축	단축/NNG
등에	등/NNB+에/JKB
따른	따르/VV+ㄴ/ETM
생산원가	생산/NNG+원가/NNG
절감	절감/NNG
효과를	효과/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
