# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.379
metadata : {}


# id : NWRW1800000030.379.1.1
[충청] 3개 국립대 학생들 모두 '통합 반대'

[충청]	[/SS+충청/NNP+]/SS
3개	3/SN+개/NNB
국립대	국립대/NNG
학생들	학생/NNG+들/XSN
모두	모두/MAG
'통합	'/SS+통합/NNG
반대'	반대/NNG+'/SS


# id : NWRW1800000030.379.2.1
•각 총학생회 여론조사… 통합 추진에 험로 예고

•각	•/SW+각/MMD
총학생회	총학생회/NNG
여론조사…	여론/NNG+조사/NNG+…/SE
통합	통합/NNG
추진에	추진/NNG+에/JKB
험로	험로/NNG
예고	예고/NNG


# id : NWRW1800000030.379.3.1
충남대, 공주대, 공주교대 등 3개 국립대가 통합을 추진 중인 가운데 해당 대학 학생들의 반대 목소리가 커 통합 추진에 어려움이 예상되고 있다.

충남대,	충남대/NNP+,/SP
공주대,	공주대/NNP+,/SP
공주교대	공주교대/NNP
등	등/NNB
3개	3/SN+개/NNB
국립대가	국립대/NNG+가/JKS
통합을	통합/NNG+을/JKO
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
가운데	가운데/NNG
해당	해당/NNG
대학	대학/NNG
학생들의	학생/NNG+들/XSN+의/JKG
반대	반대/NNG
목소리가	목소리/NNG+가/JKS
커	크/VA+어/EC
통합	통합/NNG
추진에	추진/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
예상되고	예상/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.379.3.2
이들 3개 대학은 다음달 말쯤 통합방안을 수립, 구성원 찬반투표를 거쳐 통합안을 최종 결정한다는 방침이지만 학생들이 강력하게 반대할 경우 통합 추진에 제동이 걸릴 가능성이 크다.

이들	이/NP+들/XSN
3개	3/SN+개/NNB
대학은	대학/NNG+은/JX
다음달	다음/NNG+달/NNG
말쯤	말/NNB+쯤/XSN
통합방안을	통합/NNG+방안/NNG+을/JKO
수립,	수립/NNG+,/SP
구성원	구성원/NNG
찬반투표를	찬반/NNG+투표/NNG+를/JKO
거쳐	거치/VV+어/EC
통합안을	통합안/NNG+을/JKO
최종	최종/NNG
