# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.309
metadata : {}


# id : NWRW1800000032.309.1.1
맨유 수문장, 21살 데 헤아 낙점

맨유	맨유/NNP
수문장,	수문장/NNG+,/SP
21살	21/SN+살/NNB
데	데/NNP
헤아	헤아/NNP
낙점	낙점/NNG


# id : NWRW1800000032.309.2.1
메디컬 테스트중…최종 사인 앞둬

메디컬	메디컬/NNG
테스트중…최종	테스트/NNG+중/NNB+…/SE+최종/NNG
사인	사인/NNG
앞둬	앞두/VV+어/EF


# id : NWRW1800000032.309.3.1
맨체스터 유나이티드가 지난 시즌 뒤 은퇴한 수문장 에드윈 판데르사르 후임을 낙점하고 조만간 계약을 맺을 것으로 알려졌다.

맨체스터	맨체스터/NNP
유나이티드가	유나이티드/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
뒤	뒤/NNG
은퇴한	은퇴/NNG+하/XSV+ㄴ/ETM
수문장	수문장/NNG
에드윈	에드윈/NNP
판데르사르	판데르사르/NNP
후임을	후임/NNG+을/JKO
낙점하고	낙점/NNG+하/XSV+고/EC
조만간	조만간/MAG
계약을	계약/NNG+을/JKO
맺을	맺/VV+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.309.3.2
최근까지 21살 이하 스페인대표팀 수문장으로 활약한 데 헤아(21·사진)다.

최근까지	최근/NNG+까지/JX
21살	21/SN+살/NNB
이하	이하/NNG
스페인대표팀	스페인/NNP+대표/NNG+팀/NNG
수문장으로	수문장/NNG+으로/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
데	데/NNB
헤아(21·사진)다.	헤아/NNP+(/SS+21/SN+·/SP+사진/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000032.309.3.3
스페인 프리메라리가 아틀레티코 마드리드 소속으로 1m92, 82㎏의 거구다.

스페인	스페인/NNP
프리메라리가	프리메라리가/NNG
아틀레티코	아틀레티코/NNP
마드리드	마드리드/NNP
소속으로	소속/NNG+으로/JKB
1m92,	1/SN+m/SW+92/SN+,/SP
82㎏의	82/SN+㎏/SW+의/JKG
거구다.	거구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.309.3.4
데 헤아는 이미 맨체스터에 도착해 메디컬 테스트를 받고 맨유와 최종 사인을 앞두고 있다고 28일(한국시각) 영국 언론들이 일제히 보도했다.

데	데/NNP
헤아는	헤아/NNP+는/JX
이미	이미/MAG
맨체스터에	맨체스터/NNP+에/JKB
도착해	도착/NNG+하/XSV+아/EC
메디컬	메디컬/NNG
테스트를	테스트/NNG+를/JKO
받고	받/VV+고/EC
맨유와	맨유/NNP+와/JKB
최종	최종/NNG
사인을	사인/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다고	있/VX+다고/EC
28일(한국시각)	28/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
영국	영국/NNP
언론들이	언론/NNG+들/XSN+이/JKS
일제히	일제히/MAG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.309.3.5
이적료는 1700만파운드(294억원)로 추산되고 있다.

이적료는	이적료/NNG+는/JX
1700만파운드(294억원)로	1700/SN+만/NR+파운드/NNB+(/SS+294/SN+억/NR+원/NNB+)/SS+로/JKB
추산되고	추산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.309.4.1
데 헤아는 26일 덴마크에서 열린 2011 20살 이하 유럽축구선수권 결승에서도 스페인의 주전 골키퍼로 출전해 2-0 승리에 기여했고, 팀은 2012 런던올림픽 출전권도 따냈다.

데	데/NNP
헤아는	헤아/NNP+는/JX
26일	26/SN+일/NNB
덴마크에서	덴마크/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2011	2011/SN
20살	20/SN+살/NNB
이하	이하/NNG
유럽축구선수권	유럽/NNP+축구/NNG+선수/NNG+권/XSN
결승에서도	결승/NNG+에서/JKB+도/JX
스페인의	스페인/NNP+의/JKG
주전	주전/NNG
골키퍼로	골키퍼/NNG+로/JKB
출전해	출전/NNG+하/XSV+아/EC
2-0	2/SN+-/SO+0/SN
승리에	승리/NNG+에/JKB
기여했고,	기여/NNG+하/XSV+았/EP+고/EC+,/SP
팀은	팀/NNG+은/JX
2012	2012/SN
런던올림픽	런던/NNP+올림픽/NNG
출전권도	출전/NNG+권/XSN+도/JX
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.309.4.2
맨유는 데 헤아에 앞서 필 존스와 애슐리 영을 영입하는 등 전력 보강에 열을 올리고 있다.

맨유는	맨유/NNP+는/JX
데	데/NNP
헤아에	헤아/NNP+에/JKB
앞서	앞서/VV+어/EC
필	필/NNP
존스와	존스/NNP+와/JC
애슐리	애슐리/NNP
영을	영/NNP+을/JKO
영입하는	영입/NNG+하/XSV+는/ETM
등	등/NNB
전력	전력/NNG
보강에	보강/NNG+에/JKB
열을	열/NNG+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.309.5.1
한편, 아스널은 이날 중앙 미드필더 세스크 파브레가스를 FC바르셀로나에 팔 용의가 있음을 내비쳤다고 영국 신문들이 보도했다.

한편,	한편/MAG+,/SP
아스널은	아스널/NNP+은/JX
이날	이날/NNG
중앙	중앙/NNG
미드필더	미드필더/NNG
세스크	세스크/NNP
파브레가스를	파브레가스/NNP+를/JKO
FC바르셀로나에	FC바르셀로나/NNP+에/JKB
팔	팔/VV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있음을	있/VA+음/ETN+을/JKO
내비쳤다고	내비치/VV+었/EP+다고/EC
영국	영국/NNP
신문들이	신문/NNG+들/XSN+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.309.5.2
이전까지 아스널은 파브레가스만큼은 절대 보낼 수 없다는 입장이었다.

이전까지	이전/NNG+까지/JX
아스널은	아스널/NNP+은/JX
파브레가스만큼은	파브레가스/NNP+만큼/JKB+은/JX
절대	절대/MAG
보낼	보내/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
입장이었다.	입장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.309.5.3
영국 언론들은 아스널 고위 관계자의 말을 인용해 “바르사가 파브레가스의 영입을 공식 제안을 했지만 그 자리에서 거절했다.

영국	영국/NNP
언론들은	언론/NNG+들/XSN+은/JX
아스널	아스널/NNP
고위	고위/NNG
관계자의	관계자/NNG+의/JKG
말을	말/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
“바르사가	“/SS+바르사/NNP+가/JKS
파브레가스의	파브레가스/NNP+의/JKG
영입을	영입/NNG+을/JKO
공식	공식/NNG
제안을	제안/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
그	그/MMD
자리에서	자리/NNG+에서/JKB
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.309.5.4
하지만 바르사가 적절한 제안을 한다면 생각해볼 수 있다”고 전했다.

하지만	하지만/MAJ
바르사가	바르사/NNP+가/JKS
적절한	적절하/VA+ㄴ/ETM
제안을	제안/NNG+을/JKO
한다면	하/VV+ㄴ다면/EC
생각해볼	생각/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.309.5.5
아스널이 생각하는 적절한 금액은 4000만파운드(690억여원)인 것으로 알려졌다.

아스널이	아스널/NNP+이/JKS
생각하는	생각/NNG+하/XSV+는/ETM
적절한	적절하/VA+ㄴ/ETM
금액은	금액/NNG+은/JX
4000만파운드(690억여원)인	4000/SN+만/NR+파운드/NNB+(/SS+690/SN+억/NR+여/XSN+원/NNB+)/SS+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.309.5.6
아스널은 거액의 이적료를 챙겨 칠레 출신 미드필더 아르투로 비달(바이어 레버쿠젠) 등의 영입을 노리고 있는 것으로 알려졌다.

아스널은	아스널/NNP+은/JX
거액의	거액/NNG+의/JKG
이적료를	이적료/NNG+를/JKO
챙겨	챙기/VV+어/EC
칠레	칠레/NNP
출신	출신/NNG
미드필더	미드필더/NNG
아르투로	아르투로/NNP
비달(바이어	비달/NNP+(/SS+바이어/NNG
레버쿠젠)	레버쿠젠/NNP+)/SS
등의	등/NNB+의/JKG
영입을	영입/NNG+을/JKO
노리고	노리/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


