# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.196
metadata : {}


# id : NWRW1800000028.196.1.1
친인척 공안기록 법정 제출 금지

친인척	친인척/NNG
공안기록	공안/NNG+기록/NNG
법정	법정/NNG
제출	제출/NNG
금지	금지/NNG


# id : NWRW1800000028.196.2.1
“검찰이 촛불집회 때 모 여성단체 사무처장을 기소하며 법원에 제출한 ‘공안범죄 조회 결과’를 보면, 남편인 이인영 전 의원은 물론 부친의 공안범죄 현황까지 다 나옵니다.

“검찰이	“/SS+검찰/NNG+이/JKS
촛불집회	촛불/NNG+집회/NNG
때	때/NNG
모	모/MMD
여성단체	여성/NNG+단체/NNG
사무처장을	사무처장/NNG+을/JKO
기소하며	기소/NNG+하/XSV+며/EC
법원에	법원/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
‘공안범죄	‘/SS+공안/NNG+범죄/NNG
조회	조회/NNG
결과’를	결과/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
남편인	남편/NNG+이/VCP+ㄴ/ETM
이인영	이인영/NNP
전	전/MMD
의원은	의원/NNG+은/JX
물론	물론/MAG
부친의	부친/NNG+의/JKG
공안범죄	공안/NNG+범죄/NNG
현황까지	현황/NNG+까지/JX
다	다/MAG
나옵니다.	나오/VV+ㅂ니다/EF+./SF


# id : NWRW1800000028.196.2.2
촛불집회 참가자를 기소하는 데 남편과 부친의 공안사범 전력이 무슨 관계가 있습니까?”(이춘석 민주당 의원)

촛불집회	촛불/NNG+집회/NNG
참가자를	참가자/NNG+를/JKO
기소하는	기소/NNG+하/XSV+는/ETM
데	데/NNB
남편과	남편/NNG+과/JC
부친의	부친/NNG+의/JKG
공안사범	공안/NNG+사범/NNG
전력이	전력/NNG+이/JKS
무슨	무슨/MMD
관계가	관계/NNG+가/JKS
있습니까?”(이춘석	있/VA+습니까/EF+?/SF+”/SS+(/SS+이춘석/NNP
민주당	민주당/NNP
의원)	의원/NNG+)/SS


# id : NWRW1800000028.196.3.1
“관계가 없습니다.

“관계가	“/SS+관계/NNG+가/JKS
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000028.196.3.2
관계가 없는데….”(노환균 서울중앙지검장)

관계가	관계/NNG+가/JKS
없는데….”(노환균	없/VA+는데/EC+…./SE+”/SS+(/SS+노환균/NNP
서울중앙지검장)	서울중앙지검장/NNG+)/SS


# id : NWRW1800000028.196.4.1
“그렇다면 검찰이 촛불집회 단순 참가자의 가족에 대해서 30년이 지난 공안 기록까지 증거 자료로 법원에 제출한 이유가 무엇입니까?”(이 의원)

“그렇다면	“/SS+그렇/VA+다면/EC
검찰이	검찰/NNG+이/JKS
촛불집회	촛불/NNG+집회/NNG
단순	단순/NNG
참가자의	참가자/NNG+의/JKG
가족에	가족/NNG+에/JKB
대해서	대하/VV+아서/EC
30년이	30/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
공안	공안/NNG
기록까지	기록/NNG+까지/JX
증거	증거/NNG
자료로	자료/NNG+로/JKB
법원에	법원/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
이유가	이유/NNG+가/JKS
무엇입니까?”(이	무엇/NP+이/VCP+ㅂ니까/EF+?/SF+”/SS+(/SS+이/NNP
의원)	의원/NNG+)/SS


# id : NWRW1800000028.196.5.1
“좀 알아봐야 해서 지금 뭐라 말씀드리기는….”(노 지검장)

“좀	“/SS+좀/MAG
알아봐야	알아보/VV+아야/EC
해서	하/VX+아서/EC
지금	지금/MAG
뭐라	뭐/NP+이/VCP+라/EC
말씀드리기는….”(노	말씀/NNG+드리/VV+기/ETN+는/JX+…/SE+./SF+”/SS+(/SS+노/NNP
지검장)	지검장/NNG+)/SS


# id : NWRW1800000028.196.6.1
지난해 10월12일 국회 법제사법위원회의 서울중앙지검 국정감사에선 갑자기 ‘연좌제 논란’이 불거졌다.

지난해	지난해/NNG
10월12일	10/SN+월/NNB+12/SN+일/NNB
국회	국회/NNG
법제사법위원회의	법제/NNG+사법/NNG+위원회/NNG+의/JKG
서울중앙지검	서울중앙지검/NNP
국정감사에선	국정/NNG+감사/NNG+에서/JKB+ㄴ/JX
갑자기	갑자기/MAG
‘연좌제	‘/SS+연좌/NNG+제/XSN
논란’이	논란/NNG+’/SS+이/JKS
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.196.6.2
촛불집회 참가자를 입건한 경찰이 당사자는 물론 가족들의 공안기록까지 첨부해 사건을 검찰에 송치하고, 검찰이 또 이 자료를 고스란히 법원에 증거물로 낸 사실이 뒤늦게 밝혀졌기 때문이다.

촛불집회	촛불/NNG+집회/NNG
참가자를	참가자/NNG+를/JKO
입건한	입건/NNG+하/XSV+ㄴ/ETM
경찰이	경찰/NNG+이/JKS
당사자는	당사자/NNG+는/JX
물론	물론/MAG
가족들의	가족/NNG+들/XSN+의/JKG
공안기록까지	공안/NNG+기록/NNG+까지/JX
첨부해	첨부/NNG+하/XSV+아/EC
사건을	사건/NNG+을/JKO
검찰에	검찰/NNG+에/JKB
송치하고,	송치/NNG+하/XSV+고/EC+,/SP
검찰이	검찰/NNG+이/JKS
또	또/MAG
이	이/MMD
자료를	자료/NNG+를/JKO
고스란히	고스란히/MAG
법원에	법원/NNG+에/JKB
증거물로	증거물/NNG+로/JKB
낸	내/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
밝혀졌기	밝혀지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.196.6.3
야당 의원들은 “헌법에서 규정한 연좌제 금지 원칙을 위배한 것 아니냐”며 검찰을 비판했고, 노 지검장은 물론 이귀남 법무장관, 김준규 검찰총장까지 나서서 “문제가 있어 보이는 관련 규정의 개정이나 폐지를 검토해보겠다”고 밝혔다.

야당	야당/NNG
의원들은	의원/NNG+들/XSN+은/JX
“헌법에서	“/SS+헌법/NNG+에서/JKB
규정한	규정/NNG+하/XSV+ㄴ/ETM
연좌제	연좌/NNG+제/XSN
금지	금지/NNG
원칙을	원칙/NNG+을/JKO
위배한	위배/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐”며	아니/VCN+냐/EF+”/SS+며/EC
검찰을	검찰/NNG+을/JKO
비판했고,	비판/NNG+하/XSV+았/EP+고/EC+,/SP
노	노/NNP
지검장은	지검장/NNG+은/JX
물론	물론/MAG
이귀남	이귀남/NNP
법무장관,	법무/NNG+장관/NNG+,/SP
김준규	김준규/NNP
검찰총장까지	검찰/NNG+총장/NNG+까지/JX
나서서	나서/VV+어서/EC
“문제가	“/SS+문제/NNG+가/JKS
있어	있/VA+어/EC
보이는	보이/VV+는/ETM
관련	관련/NNG
규정의	규정/NNG+의/JKG
개정이나	개정/NNG+이나/JC
폐지를	폐지/NNG+를/JKO
검토해보겠다”고	검토/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.196.7.1
결국 법무부가 뒤늦게 문제점을 인정하고 관련 조항을 손질했다.

결국	결국/NNG
법무부가	법무부/NNG+가/JKS
뒤늦게	뒤늦/VA+게/EC
문제점을	문제점/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
관련	관련/NNG
조항을	조항/NNG+을/JKO
손질했다.	손질/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.196.7.2
법무부는 13일 ‘공안사범자료관리규정’(대통령훈령 제45호)을 지난 11일자로 개정해 시행에 들어갔다고 밝혔다.

법무부는	법무부/NNG+는/JX
13일	13/SN+일/NNB
‘공안사범자료관리규정’(대통령훈령	‘/SS+공안/NNG+사범/NNG+자료/NNG+관리/NNG+규정/NNG+’/SS+(/SS+대통령/NNG+훈령/NNG
제45호)을	제/XPN+45/SN+호/NNB+)/SS+을/JKO
지난	지나/VV+ㄴ/ETM
11일자로	11/SN+일/NNB+자/NNG+로/JKB
개정해	개정/NNG+하/XSV+아/EC
시행에	시행/NNG+에/JKB
들어갔다고	들어가/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.196.7.3
이번에 바뀐 조문을 보면 ‘공안사범자료는 자기의 행위가 아닌 친족의 행위로 인하여 불이익한 처우를 받게 하는 용도로 사용할 수 없다’는 조항(제16조 2항)이 추가됐으며, 대통령 긴급조치·밀항단속법 등 위반자를 공안사범으로 분류한 조항(제17조)은 삭제됐다.

이번에	이번/NNG+에/JKB
바뀐	바뀌/VV+ㄴ/ETM
조문을	조문/NNG+을/JKO
보면	보/VV+면/EC
‘공안사범자료는	‘/SS+공안/NNG+사범/NNG+자료/NNG+는/JX
자기의	자기/NNG+의/JKG
행위가	행위/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
친족의	친족/NNG+의/JKG
행위로	행위/NNG+로/JKB
인하여	인/NNG+하/XSV+아/EC
불이익한	불/XPN+이익/NNG+하/XSA+ㄴ/ETM
처우를	처우/NNG+를/JKO
받게	받/VV+게/EC
하는	하/VX+는/ETM
용도로	용도/NNG+로/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다’는	없/VA+다/EF+’/SS+는/ETM
조항(제16조	조항/NNG+(/SS+제/XPN+16/SN+조/NNB
2항)이	2/SN+항/NNG+)/SS+이/JKS
추가됐으며,	추가/NNG+되/XSV+었/EP+으며/EC+,/SP
대통령	대통령/NNG
긴급조치·밀항단속법	긴급/NNG+조치/NNG+·/SP+밀항/NNG+단속법/NNG
등	등/NNB
위반자를	위반자/NNG+를/JKO
공안사범으로	공안/NNG+사범/NNG+으로/JKB
분류한	분류/NNG+하/XSV+ㄴ/ETM
조항(제17조)은	조항/NNG+(/SS+제/XPN+17/SN+조/NNB+)/SS+은/JX
삭제됐다.	삭제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.196.7.4
하지만 공안 유관기관들의 광범한 협조 의무를 규정한 훈령의 뼈대는 그대로 유지했다.

하지만	하지만/MAJ
공안	공안/NNG
유관기관들의	유관/NNG+기관/NNG+들/XSN+의/JKG
광범한	광범하/VA+ㄴ/ETM
협조	협조/NNG
의무를	의무/NNG+를/JKO
규정한	규정/NNG+하/XSV+ㄴ/ETM
훈령의	훈령/NNG+의/JKG
뼈대는	뼈대/NNG+는/JX
그대로	그대로/MAG
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.196.8.1
법무부 관계자는 “지난해 국감에서 공안사범 자료의 운영방식이 가족 연좌제에 해당한다는 등의 지적이 나와 관리규정의 개폐를 놓고 논의한 끝에 일부 개정을 하게 된 것”이라고 말했다.

법무부	법무부/NNG
관계자는	관계자/NNG+는/JX
“지난해	“/SS+지난해/NNG
국감에서	국감/NNG+에서/JKB
공안사범	공안/NNG+사범/NNG
자료의	자료/NNG+의/JKG
운영방식이	운영/NNG+방식/NNG+이/JKS
가족	가족/NNG
연좌제에	연좌/NNG+제/XSN+에/JKB
해당한다는	해당/NNG+하/XSV+ㄴ다는/ETM
등의	등/NNB+의/JKG
지적이	지적/NNG+이/JKS
나와	나오/VV+아/EC
관리규정의	관리/NNG+규정/NNG+의/JKG
개폐를	개폐/NNG+를/JKO
놓고	놓/VV+고/EC
논의한	논의/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
일부	일부/NNG
개정을	개정/NNG+을/JKO
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.196.9.1
공안사범자료관리규정은 전두환 정권 출범 직후인 1981년 검찰과 경찰, 국정원, 군검찰, 기무사령부 등 관계기관의 체계적인 공안사범 정보 관리를 위해 제정된 것이다.

공안사범자료관리규정은	공안/NNG+사범/NNG+자료/NNG+관리/NNG+규정/NNG+은/JX
전두환	전두환/NNP
정권	정권/NNG
출범	출범/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
1981년	1981/SN+년/NNB
검찰과	검찰/NNG+과/JC
경찰,	경찰/NNG+,/SP
국정원,	국정원/NNG+,/SP
군검찰,	군검찰/NNG+,/SP
기무사령부	기무/NNG+사령부/NNG
등	등/NNB
관계기관의	관계/NNG+기관/NNG+의/JKG
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
공안사범	공안/NNG+사범/NNG
정보	정보/NNG
관리를	관리/NNG+를/JKO
위해	위하/VV+아/EC
제정된	제정/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


