# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.258
metadata : {}


# id : NWRW1800000054.258.1.1
정몽규 회장 'FIFA 최고기구' 평의회 위원 눈앞

정몽규	정몽규/NNP
회장	회장/NNG
'FIFA	'/SS+FIFA/SL
최고기구'	최고/NNG+기구/NNG+'/SS
평의회	평의회/NNG
위원	위원/NNG
눈앞	눈앞/NNG


# id : NWRW1800000054.258.2.1
셰이크 아마드 회장 후보직 사퇴 3명 뽑는 선거에 3명만 후보로… 당선땐 6년만에 집행부 입성

셰이크	셰이크/NNP
아마드	아마드/NNP
회장	회장/NNG
후보직	후보직/NNG
사퇴	사퇴/NNG
3명	3/SN+명/NNB
뽑는	뽑/VV+는/ETM
선거에	선거/NNG+에/JKB
3명만	3/SN+명/NNB+만/JX
후보로…	후보/NNG+로/JKB+…/SE
당선땐	당선/NNG+때/NNG+ㄴ/JX
6년만에	6/SN+년/NNB+만/NNB+에/JKB
집행부	집행부/NNG
입성	입성/NNG


# id : NWRW1800000054.258.3.1
정몽규(55·사진) 대한축구협회장이 FIFA(국제축구연맹) 내부 최고 기구인 평의회 위원이 될 가능성이 매우 높아졌다.

정몽규(55·사진)	정몽규/NNP+(/SS+55/SN+·/SP+사진/NNG+)/SS
대한축구협회장이	대한축구협회장/NNG+이/JKS
FIFA(국제축구연맹)	FIFA/SL+(/SS+국제축구연맹/NNP+)/SS
내부	내부/NNG
최고	최고/NNG
기구인	기구/NNG+이/VCP+ㄴ/ETM
평의회	평의회/NNG
위원이	위원/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
매우	매우/MAG
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.258.3.2
오는 8일 바레인에서 열리는 AFC(아시아축구연맹) 총회 FIFA 평의회 위원 선거를 앞두고 경쟁률이 1대1로 낮아졌기 때문이다.

오는	오/VV+는/ETM
8일	8/SN+일/NNB
바레인에서	바레인/NNP+에서/JKB
열리는	열리/VV+는/ETM
AFC(아시아축구연맹)	AFC/SL+(/SS+아시아축구연맹/NNP+)/SS
