# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.33
metadata : {}


# id : NWRW1800000033.33.1.1
현대건설, 고덕 재건축 포기 이유는 ‘품질경영’

현대건설,	현대건설/NNP+,/SP
고덕	고덕/NNP
재건축	재/XPN+건축/NNG
포기	포기/NNG
이유는	이유/NNG+는/JX
‘품질경영’	‘/SS+품질/NNG+경영/NNG+’/SS


# id : NWRW1800000033.33.2.1
“저가공사 절대 맡지 말라” 정몽구 회장 회의때마다 주문

“저가공사	“/SS+저가/NNG+공사/NNG
절대	절대/MAG
맡지	맡/VV+지/EC
말라”	말/VX+라/EF+”/SS
정몽구	정몽구/NNP
회장	회장/NNG
회의때마다	회의/NNG+때/NNG+마다/JX
주문	주문/NNG


# id : NWRW1800000033.33.3.1
정수현 사장 “출혈경쟁 안해”

정수현	정수현/NNP
사장	사장/NNG
“출혈경쟁	“/SS+출혈/NNG+경쟁/NNG
안해”	안/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000033.33.4.1
시공비만 1조 원에 이르러 올해 서울 재건축사업의 ‘최대어’인 서울 강동구 고덕주공2단지.

시공비만	시공비/NNG+만/JX
1조	1/SN+조/NR
원에	원/NNB+에/JKB
이르러	이르/VV+어/EC
올해	올해/NNG
서울	서울/NNP
재건축사업의	재/XPN+건축/NNG+사업/NNG+의/JKG
‘최대어’인	‘/SS+최대어/NNG+’/SS+이/VCP+ㄴ/ETM
강동구	강동구/NNP
고덕주공2단지.	고덕/NNP+주공/NNP+2/SN+단지/NNG+./SF


# id : NWRW1800000033.33.4.2
이 사업의 유력한 시공사 후보로 꼽혔던 현대건설이 13일 입찰에 참여하지 않은 이유는 정몽구 현대자동차그룹 회장의 특별한 당부 때문이었던 것으로 밝혀졌다.

이	이/MMD
사업의	사업/NNG+의/JKG
유력한	유력/NNG+하/XSA+ㄴ/ETM
시공사	시공사/NNG
후보로	후보/NNG+로/JKB
꼽혔던	꼽히/VV+었/EP+던/ETM
현대건설이	현대건설/NNP+이/JKS
13일	13/SN+일/NNB
입찰에	입찰/NNG+에/JKB
참여하지	참여/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
이유는	이유/NNG+는/JX
정몽구	정몽구/NNP
현대자동차그룹	현대자동차그룹/NNP
회장의	회장/NNG+의/JKG
특별한	특별/NNG+하/XSA+ㄴ/ETM
당부	당부/NNG
때문이었던	때문/NNB+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.33.4.3
