# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.117
metadata : {}


# id : NWRW1800000053.117.1.1
여름철 ‘구내염 환자’ 급증… 아이들 입맛 잃으면 의심을

여름철	여름철/NNG
‘구내염	‘/SS+구내염/NNG
환자’	환자/NNG+’/SS
급증…	급증/NNG+…/SE
아이들	아이/NNG+들/XSN
입맛	입맛/NNG
잃으면	잃/VV+으면/EC
의심을	의심/NNG+을/JKO


# id : NWRW1800000053.117.2.1
주부 김모 씨(35·경기 수원시)는 최근 밥을 잘 먹지 않는 네 살짜리 딸을 보며 “아이도 너무 더워서 입맛이 없는 것 같다”고 생각했다.

주부	주부/NNG
김모	김/NNP+모/NP
씨(35·경기	씨/NNB+(/SS+35/SN+·/SP+경기/NNP
수원시)는	수원시/NNP+)/SS+는/JX
최근	최근/MAG
밥을	밥/NNG+을/JKO
잘	잘/MAG
먹지	먹/VV+지/EC
않는	않/VX+는/ETM
네	네/MMN
살짜리	살/NNB+짜리/XSN
딸을	딸/NNG+을/JKO
보며	보/VV+며/EC
“아이도	“/SS+아이/NNG+도/JX
너무	너무/MAG
더워서	덥/VA+어서/EC
입맛이	입맛/NNG+이/JKS
없는	없/VA+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.117.2.2
그러던 중 딸의 양치질을 돕다가 깜짝 놀랐다.

그러던	그러/VV+던/ETM
중	중/NNB
딸의	딸/NNG+의/JKG
양치질을	양치/NNG+질/XSN+을/JKO
돕다가	돕/VV+다가/EC
깜짝	깜짝/MAG
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.117.2.3
입안이 울긋불긋했기 때문이다.

입안이	입안/NNG+이/JKS
울긋불긋했기	울긋불긋/MAG+하/XSA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.117.2.4
자세히 보니 입안 곳곳에 빨간 수포가 있었다.

자세히	자세히/MAG
보니	보/VV+니/EC
입안	입안/NNG
곳곳에	곳곳/NNG+에/JKB
빨간	빨갛/VA+ㄴ/ETM
수포가	수포/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.117.3.1
최근 습하고 무더운 날씨가 지속되면서 바이러스가 서식하기 좋은 환경이 형성됐다.

최근	최근/MAG
습하고	습하/VA+고/EC
무더운	무덥/VA+ㄴ/ETM
날씨가	날씨/NNG+가/JKS
지속되면서	지속/NNG+되/XSV+면서/EC
바이러스가	바이러스/NNG+가/JKS
서식하기	서식/NNG+하/XSV+기/ETN
좋은	좋/VA+은/ETM
환경이	환경/NNG+이/JKS
형성됐다.	형성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.117.3.2
이로 인해 김 씨의 딸처럼 ‘구내염’으로 병원을 찾는 영유아가 늘고 있다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
김	김/NNP
씨의	씨/NNB+의/JKG
딸처럼	딸/NNG+처럼/JKB
‘구내염’으로	‘/SS+구내염/NNG+’/SS+으로/JKB
병원을	병원/NNG+을/JKO
찾는	찾/VV+는/ETM
영유아가	영유아/NNG+가/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.117.4.1
구내염이란 세균, 바이러스, 곰팡이 등에 감염돼 혀, 잇몸, 입술과 볼 안쪽 등 입 속 점막에 염증이 생기는 질환을 뜻한다.

구내염이란	구내염/NNG+이란/JX
세균,	세균/NNG+,/SP
바이러스,	바이러스/NNG+,/SP
곰팡이	곰팡이/NNG
등에	등/NNB+에/JKB
감염돼	감염/NNG+되/XSV+어/EC
혀,	혀/NNG+,/SP
잇몸,	잇몸/NNG+,/SP
입술과	입술/NNG+과/JC
볼	볼/NNG
안쪽	안쪽/NNG
등	등/NNB
입	입/NNG
속	속/NNG
점막에	점막/NNG+에/JKB
염증이	염증/NNG+이/JKS
생기는	생기/VV+는/ETM
질환을	질환/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.117.4.2
크기에 따라 1cm 미만이면 ‘소(小)아프타성 구내염’, 1cm 이상이면 ‘대(大)아프타성 구내염’으로 나눈다.

크기에	크기/NNG+에/JKB
따라	따르/VV+아/EC
1cm	1/SN+cm/SW
미만이면	미만/NNG+이/VCP+면/EC
‘소(小)아프타성	‘/SS+소/XPN+(/SS+小/SH+)/SS+아프타/NNG+성/XSN
구내염’,	구내염/NNG+’/SS+,/SP
이상이면	이상/NNG+이/VCP+면/EC
‘대(大)아프타성	‘/SS+대/XPN+(/SS+大/SH+)/SS+아프타/NNG+성/XSN
구내염’으로	구내염/NNG+’/SS+으로/JKB
나눈다.	나누/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.117.4.3
소아프타성 구내염은 비교적 잘 낫고 대아프타성 구내염은 입천장 뒷부분 또는 인두에 주로 생겨 잘 낫지 않는다.

소아프타성	소/XPN+아프타/NNG+성/XSN
구내염은	구내염/NNG+은/JX
비교적	비교/NNG+적/XSN
잘	잘/MAG
낫고	낫/VA+고/EC
대아프타성	대/XPN+아프타/NNG+성/XSN
입천장	입천장/NNG
뒷부분	뒷부분/NNG
또는	또는/MAG
인두에	인두/NNG+에/JKB
주로	주로/MAG
생겨	생기/VV+어/EC
낫지	낫/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000053.117.5.1
특히 영유아 구내염은 초기에 겉으로 드러나는 증상이 없다.

특히	특히/MAG
영유아	영유아/NNG
구내염은	구내염/NNG+은/JX
초기에	초기/NNG+에/JKB
겉으로	겉/NNG+으로/JKB
드러나는	드러나/VV+는/ETM
증상이	증상/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.117.5.2
자세히 보지 않으면 티가 나지 않는다.

자세히	자세히/MAG
보지	보/VV+지/EC
않으면	않/VX+으면/EC
티가	티/NNG+가/JKS
나지	나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000053.117.5.3
아이가 점차 식욕을 잃고 간식조차 먹지 않는다면 구내염을 의심해야 한다.

아이가	아이/NNG+가/JKS
점차	점차/MAG
식욕을	식욕/NNG+을/JKO
잃고	잃/VV+고/EC
간식조차	간식/NNG+조차/JX
먹지	먹/VV+지/EC
않는다면	않/VX+는다면/EC
구내염을	구내염/NNG+을/JKO
의심해야	의심/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.117.5.4
입안이 아파 음식을 씹지 못하는 경우일 수 있기 때문이다.

입안이	입안/NNG+이/JKS
아파	아프/VA+아/EC
음식을	음식/NNG+을/JKO
씹지	씹/VV+지/EC
못하는	못하/VX+는/ETM
