# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.359
metadata : {}


# id : NWRW1800000021.359.1.1
[수도권]공연 - 수영장 갖춘 매머드 노인센터 조성

[수도권]공연	[/SS+수도/NNG+권/XSN+]/SS+공연/NNG
-	-/SO
수영장	수영장/NNG
갖춘	갖추/VV+ㄴ/ETM
매머드	매머드/NNG
노인센터	노인/NNG+센터/NNG
조성	조성/NNG


# id : NWRW1800000021.359.2.1
서울노인복지센터가 올 2월 조사한 결과에 따르면 서울 종로구 종묘와 탑골공원에는 매일 3300여 명의 노인이 몰려든다.

서울노인복지센터가	서울노인복지센터/NNP+가/JKS
올	올/NNG
2월	2/SN+월/NNB
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
서울	서울/NNP
종로구	종로구/NNP
종묘와	종묘/NNP+와/JC
탑골공원에는	탑골공원/NNP+에/JKB+는/JX
매일	매일/MAG
3300여	3300/SN+여/XSN
명의	명/NNB+의/JKG
노인이	노인/NNG+이/JKS
몰려든다.	몰려들/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.359.2.2
지역마다 노인복지센터나 경로당이 있지만 저소득층 위주로 운영되고, 프로그램이 부실해 이곳에 오는 것이 오히려 편하기 때문.

지역마다	지역/NNG+마다/JX
노인복지센터나	노인/NNG+복지/NNG+센터/NNG+나/JC
경로당이	경로당/NNG+이/JKS
있지만	있/VA+지만/EC
저소득층	저/XPN+소득/NNG+층/XSN
위주로	위주/NNG+로/JKB
운영되고,	운영/NNG+되/XSV+고/EC+,/SP
프로그램이	프로그램/NNG+이/JKS
부실해	부실/NNG+하/XSA+아/EC
이곳에	이곳/NP+에/JKB
오는	오/VV+는/ETM
것이	것/NNB+이/JKS
오히려	오히려/MAG
편하기	편하/VA+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000021.359.2.3
서울시가 노인인구 100만 시대를 맞아 뒤떨어진 노인복지의 질을 높이기 위한 계획을 내놨다.

서울시가	서울시/NNP+가/JKS
노인인구	노인/NNG+인구/NNG
100만	100/SN+만/NR
시대를	시대/NNG+를/JKO
맞아	맞/VV+아/EC
뒤떨어진	뒤떨어지/VV+ㄴ/ETM
노인복지의	노인/NNG+복지/NNG+의/JKG
질을	질/NNG+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
계획을	계획/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.359.3.1
서울시는 노인복지사업을 총괄하는 ‘9988 복지센터’(가칭)를 도심에 구축하고 ‘어르신 행복타운’(가칭)을 서울시내 4개 권역에 하나씩 건립하겠다고 3일 밝혔다.

서울시는	서울시/NNP+는/JX
노인복지사업을	노인/NNG+복지/NNG+사업/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
‘9988	‘/SS+9988/SN
복지센터’(가칭)를	복지/NNG+센터/NNG+’/SS+(/SS+가칭/NNG+)/SS+를/JKO
도심에	도심/NNG+에/JKB
구축하고	구축/NNG+하/XSV+고/EC
‘어르신	‘/SS+어르신/NNG
행복타운’(가칭)을	행복/NNG+타운/NNG+’/SS+(/SS+가칭/NNG+)/SS+을/JKO
서울시내	서울/NNP+시내/NNG
4개	4/SN+개/NNB
권역에	권역/NNG+에/JKB
하나씩	하나/NR+씩/XSN
건립하겠다고	건립/NNG+하/XSV+겠/EP+다고/EC
3일	3/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.359.3.2
오세훈 서울시장은 “저소득층만을 위한 시혜적 서비스에서 벗어나 다양한 계층의 노인을 폭넓게 만족시키는 능동적 복지서비스를 제공하기 위한 것”이라고 설명했다.

오세훈	오세훈/NNP
서울시장은	서울시장/NNG+은/JX
“저소득층만을	“/SS+저/XPN+소득/NNG+층/XSN+만/JX+을/JKO
위한	위하/VV+ㄴ/ETM
시혜적	시혜/NNG+적/XSN
서비스에서	서비스/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
계층의	계층/NNG+의/JKG
노인을	노인/NNG+을/JKO
폭넓게	폭넓/VA+게/EC
만족시키는	만족/NNG+시키/XSV+는/ETM
능동적	능동/NNG+적/XSN
복지서비스를	복지/NNG+서비스/NNG+를/JKO
제공하기	제공/NNG+하/XSV+기/ETN
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.359.3.3
총 사업비 6238억 원 가운데 1392억 원은 국고 보조금을 받아 충당할 계획이다.

총	총/MMA
사업비	사업비/NNG
6238억	6238/SN+억/NR
원	원/NNB
가운데	가운데/NNG
1392억	1392/SN+억/NR
원은	원/NNB+은/JX
국고	국고/NNG
보조금을	보조금/NNG+을/JKO
받아	받/VV+아/EC
충당할	충당/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.359.3.4
2011년부터 권역별로 공사에 들어가 2014년까지 완공하기로 했다.

2011년부터	2011/SN+년/NNB+부터/JX
권역별로	권역/NNG+별/XSN+로/JKB
공사에	공사/NNG+에/JKB
들어가	들어가/VV+아/EC
